"event_id"|"school_id"|"lastupdate"|"staffid"|"remarks"|"eventremarks"|"regfee"|"payableto"
1|1|"20130912155019"|""|""|""|""|""
1|12|"20130912155032"|""|""|""|""|""
1|4|"20130912155039"|""|""|""|""|""
1|6|"20131107165025"|""|""|""|""|""
2|101|"20140505103303"|""|""|""|""|""
4|250|"20140806101517"|""|""|"All paper should be finished"|"100"|""
4|450|"20140806114414"|"AA00007"|""|""|""|""
4|362|"20140806115034"|"AA00007"|""|""|""|""
5|6|"20141002201631"|"AA00003"|""|""|""|""
8|345|"20150409153436"|"AA00003"|""|""|""|""
6|6|"20150707120851"|"AA00003"|""|""|""|""
9|264|"20150708124105"|"AA00063"|""|""|""|""
11|18|"20160928181552"|""|""|""|""|""
11|438|"20160928181602"|""|""|""|""|""
11|435|"20160928181610"|""|""|""|""|""
12|686|"20170217104639"|"AA00070"|""|""|""|""
13|192|"20170217110736"|"AA00070"|""|""|""|""
15|688|"20171130173013"|"AA00061"|""|""|""|""
16|686|"20171130175105"|"AA00061"|""|""|""|""
17|377|"20180202160757"|"AA00075"|""|""|""|""
18|383|"20180202171117"|"AA00075"|""|""|""|""
21|524|"20180222143752"|"AA00075"|""|""|""|""
20|431|"20180214152812"|"AA00079"|""|""|""|""
19|9|"20180202171829"|"AA00075"|""|""|""|""
24|78|"20180227121750"|"AA00079"|""|""|""|""
22|30047|"20180224161532"|"AA00079"|""|""|""|""
25|247|"20180227121947"|"AA00079"|""|""|""|""
22|115|"20180224161558"|"AA00079"|""|""|""|""
23|15|"20180224161836"|"AA00079"|""|""|""|""
26|591|"20180313111525"|"AA00079"|""|""|""|""
31|599|"20180611172231"|"AA00079"|""|""|""|""
28|574|"20180505160243"|"AA00079"|""|""|""|""
30|6|"20180611172248"|"AA00079"|""|""|""|""
27|570|"20180505160306"|"AA00079"|""|""|""|""
35|89|"20180724182754"|"AA00079"|""|""|""|""
36|30010|"20180810125015"|"AA00079"|""|""|""|""
37|534|"20180813152707"|"AA00079"|""|""|""|""
39|214|"20181023145924"|"AA00079"|""|""|""|""
38|285|"20180907172018"|"AA00079"|""|""|""|""
45|17|"20190316115615"|"AA00079"|""|""|""|""
40|136|"20181029160633"|"AA00079"|""|""|""|""
41|302|"20181124101949"|"AA00079"|""|""|""|""
42|30003|"20190202105517"|"AA00079"|""|""|""|""
43|383|"20190226110028"|"AA00079"|""|""|""|""
51|1|"20190719180124"|"AA00079"|""|""|""|""
46|172|"20190423174259"|"AA00079"|""|""|""|""
49|328|"20190503155957"|"AA00079"|""|""|""|""
47|607|"20190423174630"|"AA00079"|""|""|""|""
50|528|"20190601181456"|"AA00079"|""|""|""|""
48|431|"20190423174644"|"AA00079"|""|""|""|""
52|686|"20190719180316"|"AA00079"|""|""|""|""
53|544|"20190719181624"|"AA00079"|""|""|""|""
59|431|"20191112154858"|"AA00079"|""|""|""|""
54|362|"20190719182211"|"AA00079"|""|""|""|""
57|585|"20190803110719"|"AA00079"|""|""|""|""
55|30010|"20190720101810"|"AA00079"|""|""|""|""
58|110|"20190911172447"|"AA00079"|""|""|""|""
56|199|"20190730112200"|"AA00079"|""|""|""|""
61|247|"20191224121937"|"AA00079"|""|""|""|""
62|383|"20200122181025"|"AA00079"|""|""|""|""
64|12|"20220110005006"|"AA00007"|""|""|""|""
77|686|"20240619145009"|"AA00007"|""|""|""|""
79|1|"20250531144555"|"AA00007"|""|""|""|""
79|2|"20250531144604"|"AA00007"|""|""|""|""
