"school_id"|"examyear"|"grade"|"results"|"lastupdate"|"staffid"|"remarks"|"examtype"
250|"2013"|"A* - B"|"70"|"20130906115808"|"AA00025"|""|"A Level"
250|"2013"|""|"37"|"20130906115814"|"AA00025"|""|"IB"
261|"2013"|"A* - B"|"64"|"20130906115306"|"AA00025"|""|"A Level"
103|"2013"|"A* - A"|"78"|"20130905102328"|"AA00025"|""|"GCSE"
364|"2013"|"A*"|"16.4"|"20130905171730"|"AA00040"|""|"GCSE"
364|"2013"|"A* - A"|"35.6"|"20130905171738"|"AA00040"|""|"GCSE"
364|"2013"|"A*"|"3.5"|"20130905171744"|"AA00040"|""|"A Level"
364|"2013"|"A* - A"|"27.9"|"20130905171749"|"AA00040"|""|"A Level"
364|"2013"|"A* - B"|"53.5"|"20130905171758"|"AA00040"|""|"A Level"
541|"2013"|"A*"|"24"|"20130905180708"|"AA00040"|""|"GCSE"
367|"2013"|"A* - B"|"78"|"20130905181027"|"AA00040"|""|"A Level"
462|"2012"|"A* - A"|"85"|"20140531172119"|"AA00044"|""|"GCSE"
373|"2013"|"A* - A"|"50"|"20130905182003"|"AA00040"|""|"A Level"
373|"2013"|"A* - B"|"75"|"20130905182014"|"AA00040"|""|"A Level"
462|"2012"|"A*"|"55"|"20140531172306"|"AA00044"|""|"GCSE"
381|"2013"|"A* - B"|"84"|"20130905182757"|"AA00040"|""|"A Level"
10|"2013"|"A*"|"36"|"20130906103138"|"AA00025"|""|"GCSE"
10|"2013"|"A* - A"|"69"|"20130906103145"|"AA00025"|""|"GCSE"
10|"2013"|"A*"|"16"|"20130906103154"|"AA00025"|""|"A Level"
10|"2013"|"A* - A"|"55"|"20130906103202"|"AA00025"|""|"A Level"
10|"2013"|"A* - B"|"82"|"20130906103209"|"AA00025"|""|"A Level"
544|"2013"|"A*"|"31.9"|"20130906103832"|"AA00025"|""|"GCSE"
544|"2013"|"A* - A"|"62.3"|"20130906103840"|"AA00025"|""|"GCSE"
544|"2013"|"A*"|"19.67"|"20130906103848"|"AA00025"|""|"A Level"
544|"2013"|"A* - A"|"58.61"|"20130906103858"|"AA00025"|""|"A Level"
544|"2013"|"A* - B"|"81.15"|"20130906103906"|"AA00025"|""|"A Level"
544|"2013"|""|"36"|"20130906103915"|"AA00025"|""|"IB"
412|"2013"|"A* - A"|"43"|"20130906104125"|"AA00025"|""|"GCSE"
464|"2013"|"A*"|"8"|"20130906104445"|"AA00025"|""|"A Level"
464|"2013"|"A* - A"|"43"|"20130906104451"|"AA00025"|""|"A Level"
464|"2013"|"A* - B"|"74"|"20130906104457"|"AA00025"|""|"A Level"
464|"2013"|"A*"|"25"|"20130906104507"|"AA00025"|""|"GCSE"
464|"2013"|"A* - A"|"56"|"20130906104514"|"AA00025"|""|"GCSE"
570|"2013"|"A*"|"10"|"20130906105303"|"AA00025"|""|"A Level"
462|"2011"|"A*"|"50"|"20140531172351"|"AA00044"|""|"GCSE"
570|"2013"|""|"33"|"20130906105346"|"AA00025"|""|"IB"
462|"2011"|"A* - A"|"80"|"20140531172357"|"AA00044"|""|"GCSE"
511|"2013"|"A*"|"14.6"|"20130906112003"|"AA00025"|""|"A Level"
511|"2013"|"A* - A"|"47.5"|"20130906112009"|"AA00025"|""|"A Level"
511|"2013"|"A* - B"|"76.7"|"20130906112016"|"AA00025"|""|"A Level"
507|"2013"|"A*"|"18.2"|"20130906112234"|"AA00025"|""|"GCSE"
507|"2013"|"A* - A"|"46.5"|"20130906112240"|"AA00025"|""|"GCSE"
482|"2013"|"A*"|"15"|"20130906112956"|"AA00025"|""|"GCSE"
