"aa_id"|"event"|"lastupdate"|"staffid"|"remarks"|"email_sent"
"S006433"|"TOP SCHOOLS WEEKEND 2012"|"20120501"|""|""|"N"
"S004517"|"TOP SCHOOLS WEEKEND 2012"|"20120501"|""|""|"N"
"S004701"|"TOP SCHOOLS WEEKEND 2012"|"20120501"|""|""|"N"
"S008518"|"TOP SCHOOLS WEEKEND 2012"|"20120501"|""|""|"N"
"S007422"|"TOP SCHOOLS WEEKEND 2012"|"20120501"|""|""|"N"
"S009644"|"TOP SCHOOLS WEEKEND 2012"|"20120501"|""|""|"N"
"S009188"|"TOP SCHOOLS WEEKEND 2012"|"20120501"|""|""|"N"
"S007808"|"TOP SCHOOLS WEEKEND 2012"|"20120501"|""|""|"N"
"S009573"|"TOP SCHOOLS WEEKEND 2012"|"20120501"|""|""|"N"
"S007052"|"TOP SCHOOLS WEEKEND 2012"|"20120501"|""|""|"N"
"S006491"|"TOP SCHOOLS WEEKEND 2012"|"20120501"|""|""|"N"
"S007184"|"TOP SCHOOLS WEEKEND 2012"|"20120501"|""|""|"N"
"S009383"|"TOP SCHOOLS WEEKEND 2012"|"20120501"|""|""|"N"
"S009615"|"TOP SCHOOLS WEEKEND 2012"|"20120501"|""|""|"N"
"S005019"|"TOP SCHOOLS WEEKEND 2012"|"20120501"|""|""|"N"
"S009570"|"TOP SCHOOLS WEEKEND 2012"|"20120501"|""|""|"N"
"S008065"|"TOP SCHOOLS WEEKEND 2012"|"20120501"|""|""|"N"
"S008018"|"TOP SCHOOLS WEEKEND 2012"|"20120501"|""|""|"N"
"S005219"|"TOP SCHOOLS WEEKEND 2012"|"20120501"|""|""|"N"
"S009340"|"TOP SCHOOLS WEEKEND 2012"|"20120501"|""|""|"N"
"S004060"|"TOP SCHOOLS WEEKEND 2012"|"20120501"|""|""|"N"
"S008617"|"TOP SCHOOLS WEEKEND 2012"|"20120501"|""|""|"N"
"S007979"|"TOP SCHOOLS WEEKEND 2012"|"20120501"|""|""|"N"
"S008876"|"TOP SCHOOLS WEEKEND 2012"|"20120501"|""|""|"N"
"S009616"|"TOP SCHOOLS WEEKEND 2012"|"20120501"|""|""|"N"
"S008878"|"TOP SCHOOLS WEEKEND 2012"|"20120501"|""|""|"N"
"S009187"|"TOP SCHOOLS WEEKEND 2012"|"20120501"|""|""|"N"
"S007485"|"TOP SCHOOLS WEEKEND 2012"|"20120501"|""|""|"N"
"S005943"|"TOP SCHOOLS WEEKEND 2012"|"20120501"|""|""|"N"
"S008959"|"TOP SCHOOLS WEEKEND 2012"|"20120501"|""|""|"N"
"S009429"|"TOP SCHOOLS WEEKEND 2012"|"20120501"|""|""|"N"
"S006103"|"TOP SCHOOLS WEEKEND 2012"|"20120501"|""|""|"N"
"S007820"|"TOP SCHOOLS WEEKEND 2012"|"20120501"|""|""|"N"
"S008967"|"TOP SCHOOLS WEEKEND 2012"|"20120501"|""|""|"N"
"S008115"|"TOP SCHOOLS WEEKEND 2012"|"20120501"|""|""|"N"
"S008116"|"TOP SCHOOLS WEEKEND 2012"|"20120501"|""|""|"N"
"S009159"|"TOP SCHOOLS WEEKEND 2012"|"20120501"|""|""|"N"
"S009631"|"TOP SCHOOLS WEEKEND 2012"|"20120501"|""|""|"N"
"S009227"|"TOP SCHOOLS WEEKEND 2012"|"20120501"|""|""|"N"
"S008701"|"TOP SCHOOLS WEEKEND 2012"|"20120501"|""|""|"N"
"S008282"|"TOP SCHOOLS WEEKEND 2012"|"20120501"|""|""|"N"
"S008253"|"TOP SCHOOLS WEEKEND 2012"|"20120501"|""|""|"N"
"S009164"|"TOP SCHOOLS WEEKEND 2012"|"20120501"|""|""|"N"
"S009597"|"TOP SCHOOLS WEEKEND 2012"|"20120501"|""|""|"N"
"S006721"|"TOP SCHOOLS WEEKEND 2012"|"20120501"|""|""|"N"
"S008950"|"TOP SCHOOLS WEEKEND 2012"|"20120501"|""|""|"N"
"S008215"|"TOP SCHOOLS WEEKEND 2012"|"20120501"|""|""|"N"
"S008993"|"TOP SCHOOLS WEEKEND 2012"|"20120501"|""|""|"N"
"S007453"|"TOP SCHOOLS WEEKEND 2012"|"20120501"|""|""|"N"
"S007522"|"TOP SCHOOLS WEEKEND 2012"|"20120501"|""|""|"N"
"S008872"|"TOP SCHOOLS WEEKEND 2012"|"20120501"|""|""|"N"
"S008246"|"TOP SCHOOLS WEEKEND 2012"|"20120501"|""|""|"N"
"S009641"|"TOP SCHOOLS WEEKEND 2012"|"20120501"|""|""|"N"
"S009608"|"TOP SCHOOLS WEEKEND 2012"|"20120501"|""|""|"N"
"S007629"|"TOP SCHOOLS WEEKEND 2012"|"20120501"|""|""|"N"
"S007309"|"TOP SCHOOLS WEEKEND 2012"|"20120501"|""|""|"N"
"S009521"|"TOP SCHOOLS WEEKEND 2012"|"20120501"|""|""|"N"
"S007708"|"TOP SCHOOLS WEEKEND 2012"|"20120501"|""|""|"N"
"S008670"|"TOP SCHOOLS WEEKEND 2012"|"20120501"|""|""|"N"
"S005739"|"TOP SCHOOLS WEEKEND 2012"|"20120501"|""|""|"N"
"S008621"|"TOP SCHOOLS WEEKEND 2012"|"20120501"|""|""|"N"
"S008620"|"TOP SCHOOLS WEEKEND 2012"|"20120501"|""|""|"N"
"S007179"|"TOP SCHOOLS WEEKEND 2012"|"20120501"|""|""|"N"
"S009399"|"TOP SCHOOLS WEEKEND 2012"|"20120501"|""|""|"N"
"S007475"|"TOP SCHOOLS WEEKEND 2012"|"20120501"|""|""|"N"
"S009592"|"TOP SCHOOLS WEEKEND 2012"|"20120501"|""|""|"N"
"S030278"|"TOP SCHOOLS WEEKEND 2013"|"20130829181421"|"AA00020"|""|"N"
