"aa_id"|"exam"|"results"|"maxscore"|"lastupdate"|"staffid"|"remarks"|"course"
"S045197"|"AA Test Eng"|"72"|"100"|"20241113170939"|"AA00011"|"A"|"Year 10"
"S030313"|"AA Test Maths"|"93"|"100"|"20130904165209"|"AA00011"|""|"Year 12"
"S044918"|"AA Test Maths"|"56"|"100"|"20240722114859"|"AA00011"|"A"|"Year 10"
"S030314"|"AA Test Maths"|"100"|"100"|"20130904171006"|"AA00038"|""|"Year 12"
"S044918"|"AA Test Eng"|"96"|"100"|"20240722115056"|"AA00011"|"A"|"Year 10"
"S012251"|"AA Test Maths"|"69"|"100"|"20130914170328"|"AA00038"|""|"Year 12"
"S043752"|"AA Test Eng"|"86"|"100"|"20250301115708"|"AA00107"|"A"|"Year 9"
"S043752"|"AA Test Maths"|"72"|"100"|"20250301115719"|"AA00107"|"A"|"Year 9"
"S030319"|"AA Test Maths"|"85"|"100"|"20130905143330"|"AA00025"|""|"Year 12"
"S012040"|"AA Test Maths"|"50"|"100"|"20130905162548"|"AA00011"|""|"Year 10"
"S043865"|"AA Test Eng"|"98"|"100"|"20240827121739"|"AA00098"|"A"|"Year 8"
"S008050"|"AA Test Maths"|"96"|"100"|"20130905183843"|"AA00011"|""|"Year 10"
"S030321"|"AA Test Maths"|"77"|"100"|"20130906154202"|"AA00025"|""|"Year 12"
"S030245"|"AA Test Maths"|"65"|"100"|"20130906162052"|"AA00025"|""|"Year 12"
"S044355"|"AA Test Eng"|"78"|"100"|"20250301120416"|"AA00136"|"7B"|"Year 7"
"S030323"|"AA Test Maths"|"77"|"100"|"20130906164408"|"AA00025"|""|"Year 9"
"S044355"|"AA Test Maths"|"44"|"100"|"20250301120442"|"AA00136"|"7B"|"Year 7"
"S030322"|"AA Test Maths"|"92"|"100"|"20130906170817"|"AA00011"|""|"Year 12"
"S033220"|"AA Test Maths"|"84"|"100"|"20151020111157"|"AA00038"|""|"Year 9"
"S043865"|"AA Test Maths"|"88"|"100"|"20240827123514"|"AA00098"|"A"|"Year 8"
"S044914"|"AA Test Eng"|"86"|"100"|"20240722171324"|"AA00107"|"B"|"Year 10"
"S044914"|"AA Test Maths"|"92"|"100"|"20240722171328"|"AA00107"|"B"|"Year 10"
"S044826"|"AA Test Eng"|"90"|"100"|"20240722190930"|"AA00100"|""|"Year 8"
"S030283"|"AA Test Maths"|"100"|"100"|"20130902114629"|"AA00011"|""|"Year 12"
"S044826"|"AA Test Maths"|"16"|"100"|"20240722190943"|"AA00100"|""|"Year 8"
"S044807"|"AA Test Eng"|"96"|"100"|"20240723153057"|"AA00107"|"A"|"Year 10"
"S044807"|"AA Test Maths"|"40"|"100"|"20240723153106"|"AA00107"|"A"|"Year 10"
"S030305"|"AA Test Maths"|"100"|"100"|"20130902143930"|"AA00038"|""|"Year 9"
"S034985"|"AA Test Maths"|"89"|"100"|"20170724152926"|"AA00011"|""|"Year 10"
"S045314"|"AA Test Eng"|"96"|"100"|"20250301181818"|"AA00011"|"B"|"Year 10"
"S043774"|"AA Test Maths"|"88"|"100"|"20240724104622"|"AA00011"|"B"|"Year 12"
"S030307"|"AA Test Maths"|"100"|"100"|"20130902171802"|"AA00011"|""|"Year 9"
"S030308"|"AA Test Maths"|"90"|"100"|"20130902173926"|"AA00038"|""|"Year 9"
"S043774"|"AA Test Eng"|"84"|"100"|"20240914191042"|"AA00098"|"B"|"Year 12"
"S044919"|"AA Test Eng"|"76"|"100"|"20240724111812"|"AA00011"|"A"|"Year 9"
"S042608"|"AA Test Eng"|"94"|"100"|"20241115171819"|"AA00011"|"A"|"Year 8"
"S030264"|"AA Test Maths"|"84"|"100"|"20130903152839"|"AA00011"|""|"Year 9"
"S042608"|"AA Test Maths"|"72"|"100"|"20241115171835"|"AA00011"|"A"|"Year 8"
"S044919"|"AA Test Maths"|"92"|"100"|"20240724111826"|"AA00011"|"A"|"Year 9"
"S043714"|"AA Test Maths"|"86"|"100"|"20240724112143"|"AA00080"|"A"|"Year 12"
"S030310"|"AA Test Maths"|"68"|"100"|"20130903162905"|"AA00025"|""|"Year 8"
"S030282"|"AA Test Maths"|"96"|"100"|"20130903163336"|"AA00011"|""|"Year 10"
"S045271"|"AA Test Eng"|"80"|"100"|"20250308141738"|"AA00011"|"A"|"Year 12"
"S030286"|"AA Test Maths"|"96"|"100"|"20130903175442"|"AA00038"|""|"Year 10"
"S045271"|"AA Test Maths"|"32"|"100"|"20250308141753"|"AA00011"|"A"|"Year 12"
