"aa_id"|"school_id"|"course"|"entryyear"|"referral"|"registerdate"|"lastupdate"|"staffid"|"aa_remark"|"result_remark"|"remark_to_school"|"eventdate"|"eventtime"|"enroll_status"|"enroll_sub_status"|"coursedetail"|"s_detail"|"scholarship"|"event"
"S001487"|12|"Year 9"|"201009"|"N"|"20090812"|"20090812000000"|""|""|""|""|""|""|"Awaiting Interview"|" "|""|""|0|""
"S001912"|336|"Year 12"|"201009"|"N"|"20090813"|"20090813000000"|""|""|""|""|""|""|"Awaiting Response (S)"|" "|""|""|0|""
"S001912"|247|""|"201009"|"N"|"20090813"|"20090813000000"|""|""|""|""|""|""|"Awaiting Response (S)"|" "|""|""|0|""
"S001869"|16|"Year 12"|"201009"|"N"|"20090814"|"20090814000000"|""|""|""|""|""|""|"Awaiting Interview"|" "|""|""|0|""
"S001869"|3|"Year 12"|"201009"|"N"|"20090814"|"20090814000000"|""|""|""|""|""|""|"Awaiting Interview"|" "|""|""|0|""
"S001869"|11|"Year 12"|"201009"|"N"|"20090814"|"20090814000000"|""|""|""|""|""|""|"Waiting List"|" "|""|""|0|""
"S001869"|9|"Year 12"|"201009"|"N"|"20090814"|"20090814000000"|""|""|""|""|""|""|"Waiting List"|" "|""|""|0|""
"S001991"|257|"Year 12"|"201009"|"N"|"20090815"|"20090815000000"|""|""|""|""|""|""|"Awaiting Response (P)"|" "|""|""|0|""
"S001461"|264|"Year 9"|"201009"|"N"|"20090815"|"20090815000000"|""|""|""|""|""|""|"Awaiting Response (S)"|" "|""|""|0|""
"S001461"|345|"Year 9"|"201009"|"N"|"20090815"|"20090815000000"|""|""|""|""|""|""|"Awaiting Response (S)"|" "|""|""|0|""
"S001669"|6|"Year 12"|"201009"|"N"|"20090815"|"20090815000000"|""|""|""|""|""|""|"Awaiting Interview"|" "|""|""|0|""
"S001463"|12|"Year 12"|"201009"|"N"|"20090815"|"20090815000000"|""|""|""|""|""|""|"Awaiting Response (P)"|" "|""|""|0|""
