"aa_id"|"school_id"|"depositdate"|"amount"|"discount"|"lastupdate"|"staffid"|"remarks"|"commission"
"S010172"|457|"20130813"|8500|""|""|""|""|"Y"
"S011528"|373|"20130705"|9000|"0"|""|""|""|"Y"
"S011116"|313|"20130813"|5000|""|""|""|""|"Y"
"S011447"|197|"20130813"|6199|""|""|"AA00036"|""|"Y"
"S009615"|430|"20130816"|2000|""|""|""|""|"Y"
"S009925"|607|"20130709"|11905|""|""|"AA00007"|""|"Y"
"S012064"|88|"20130710"|1700|""|""|""|""|"Y"
"S012233"|607|"20130711"|2250|""|""|""|""|"Y"
"S012139"|291|"20130711"|4229.5|""|""|""|""|"Y"
"S012240"|604|"20130711"|10175|""|""|""|""|"Y"
"S012090"|115|"20130712"|1500|""|""|""|""|"Y"
"S011945"|15|"20130715"|9920|""|""|""|""|"Y"
"S012305"|130|"20130816"|1000|""|""|""|""|"Y"
"S009622"|381|"20130718"|10615|""|""|""|""|"Y"
"S006337"|12|"20130817"|1500|""|""|""|""|"Y"
"S009525"|34|"20130723"|0|""|""|""|"deposit is not required"|"Y"
"S012015"|55|"20130817"|2066|""|""|""|""|"Y"
"S012427"|607|"20130723"|2250|""|""|""|""|"Y"
"S012331"|464|"20130723"|8660|""|""|""|""|"Y"
"S012330"|464|"20130723"|8660|""|""|""|""|"Y"
"S009788"|634|"20130823"|3000|""|""|""|""|"Y"
"S009411"|130|"20130823"|1000|""|""|""|""|"Y"
"S012290"|517|"20130824"|0|""|""|""|"paid one yr school fee. cannot claim comm as std is EU, college charge home fee"|"N"
"S011451"|517|"20130801"|1000|""|""|""|""|"Y"
"S010969"|611|"20130801"|800|""|""|""|""|"Y"
"S011374"|101|"20130801"|9000|""|""|""|""|"Y"
"S011760"|306|"20130801"|9870|""|""|""|""|"Y"
"S009629"|423|"20130801"|750|""|""|""|""|"Y"
"S009747"|330|"20130801"|3500|""|""|""|""|"Y"
"S009806"|655|"20130801"|800|""|""|""|""|"Y"
"S010259"|258|"20130801"|9000|""|""|""|""|"Y"
"S007052"|313|"20130801"|5000|""|""|""|""|"Y"
"S011824"|377|"20130801"|1000|""|""|""|""|"Y"
"S009861"|89|"20130801"|2000|""|""|""|""|"Y"
"S011395"|457|"20130801"|8840|""|""|""|""|"Y"
"S010847"|103|"20130801"|9348|""|""|""|""|"Y"
"S010893"|257|"20130801"|500|""|""|""|""|"Y"
"S009187"|21|"20130801"|15000|""|""|""|""|"Y"
"S010211"|11|"20130801"|9795|""|""|""|""|"Y"
"S011310"|18|"20130801"|9735|""|""|""|""|"Y"
"S011564"|68|"20130801"|1135|""|""|""|""|"Y"
"S007708"|12|"20130801"|1500|""|""|""|""|"Y"
"S009480"|544|"20130801"|1000|""|""|""|""|"Y"
"S007130"|20|"20130801"|7683|""|""|""|""|"Y"
"S009403"|50|"20130801"|9017|""|""|""|""|"Y"
"S011106"|9|"20130802"|9996|""|""|""|""|"Y"
"S012424"|140|"20130730"|10320|""|""|"AA00020"|""|"Y"
"S010061"|141|"20130802"|1000|""|""|""|""|"Y"
"S006417"|101|"20130802"|9000|""|""|""|""|"Y"
"S009609"|493|"20130802"|2000|""|""|""|""|"Y"
"S011706"|71|"20130802"|4100|""|""|""|""|"Y"
"S011307"|381|"20130802"|10989|""|""|""|""|"Y"
"S009098"|136|"20130802"|1000|""|""|""|""|"Y"
"S011034"|250|"20130802"|9499|""|""|""|""|"Y"
"S010125"|1|"20130802"|10350|""|""|""|""|"Y"
"S010937"|17|"20130802"|4380|""|""|""|""|"Y"
"S009664"|533|"20130802"|11380|""|""|""|""|"Y"
"S010004"|3|"20130802"|9665|""|""|""|""|"Y"
"S011030"|592|"20130802"|8040|""|""|""|""|"Y"
"S006727"|655|"20130802"|8850|""|""|""|""|"Y"
"S011096"|274|"20130802"|9000|""|""|""|""|"Y"
"S011562"|381|"20130802"|10615|""|""|""|""|"Y"
"S009559"|575|"20130802"|7000|"50%"|""|""|""|"Y"
"S008768"|575|"20130802"|7000|""|""|""|""|"Y"
"S001430"|101|"20130802"|9000|""|""|"AA00002"|"1st cheque GBP 4000, 2nd cheque: 5000"|"Y"
"S009851"|15|"20130802"|9920|""|""|""|""|"Y"
"S006490"|457|"20130802"|8500|""|""|""|""|"Y"
"S005922"|101|"20130802"|9000|""|""|""|""|"Y"
"S009597"|251|"20130802"|8950|""|""|""|""|"Y"
"S010095"|511|"20130802"|4000|""|""|""|""|"Y"
"S012009"|58|"20130802"|10050|""|""|""|""|"Y"
"S010093"|20|"20130802"|7863|""|""|""|""|"Y"
"S005443"|533|"20130802"|10380|""|""|""|""|"Y"
"S006302"|12|"20130802"|1500|""|""|""|""|"Y"
"S009294"|40|"20130802"|10000|""|""|""|""|"Y"
"S009294"|172|"20130802"|3660|""|""|""|"GBP 3660 Full fee"|"Y"
"S008156"|22|"20130802"|10143|""|""|""|""|"Y"
"S011712"|36|"20130802"|2000|""|""|""|""|"Y"
"S009663"|13|"20130802"|3777|""|""|""|""|"Y"
"S007744"|17|"20130802"|4380|""|""|""|""|"Y"
"S002666"|1|"20130802"|10350|""|""|""|""|"Y"
"S007409"|381|"20130802"|10615|""|""|""|""|"Y"
"S012593"|685|"20130808"|1650|""|""|"AA00007"|""|"Y"
"S012453"|570|"20130802"|2000|""|""|"AA00002"|""|"Y"
"S012544"|55|"20130828"|5042|""|""|""|""|"Y"
"S006407"|55|"20130828"|4970|""|""|""|""|"Y"
"S007091"|652|"20130830"|1250|""|""|""|""|"Y"
"S008135"|526|"20130831"|350|""|""|""|""|"Y"
"S011392"|172|"20130831"|366|""|""|""|""|"Y"
"S007275"|670|"20130831"|300|""|""|""|""|"Y"
"S011528"|661|"20130831"|400|""|""|""|""|"Y"
"S011372"|661|"20130831"|400|""|""|""|""|"Y"
"S011645"|661|"20130813"|400|""|""|"AA00003"|"Summer 2013 deposit by Wendy"|"Y"
"S007419"|41|"20130902"|3000|""|""|""|""|"Y"
"S030204"|115|"20130902"|1550|""|""|""|""|"Y"
"S007419"|634|"20130902"|3000|""|""|""|""|"Y"
"S030163"|139|"20130904"|100|""|""|""|""|"Y"
"S030242"|39|"20130904"|250|""|""|""|""|"Y"
"S010896"|3|"20130905"|9995|""|""|""|""|"Y"
"S005458"|472|"20130906"|9895|""|""|""|""|"Y"
"S012451"|88|"20130808"|1700|""|""|""|""|"Y"
"S011585"|261|"20130803"|9150|""|""|"AA00027"|""|"Y"
