"aa_id"|"infotype"|"info"|"lastupdate"|"staffid"|"remarks"
"S000001"|"Password"|"Password:
12345
don't use this password
54321"|"20120526144420"|""|""
"S007155"|"hello"|"I love England"|"20120623023610"|""|""
"S006680"|"Testing fsjdhfjshdfkjsh skjdhfkdsjh fkjdsh fkjdsh f"|"sdfsdf
sdfsd
fsd
fsd
fsdf"|"20120623212427"|""|""
"S012366"|"English Standard"|"EXCELLENT"|"20130709111329"|"AA00025"|""
"S010234"|"English Standard"|"ABOVE AVERAGE"|"20130724151457"|"AA00038"|""
"S012366"|"Character"|"Sporty, modest, Optimistic, easy going, organized"|"20130709111345"|"AA00025"|""
"S012366"|"Special Talents"|"Computer Skills, sports"|"20130709111351"|"AA00025"|""
"S010234"|"Interests / Hobbies"|"Play sports , Listen music"|"20130724151511"|"AA00038"|""
"S012366"|"Know AA From"|"Friend's recommendation"|"20130709111421"|"AA00025"|""
"S012366"|"Received News from AA"|"YES"|"20130709111438"|"AA00025"|""
"S012364"|"English Standard"|"EXCELLENT"|"20130709111652"|"AA00025"|""
"S012364"|"Interests / Hobbies"|"Playing bridge and debating"|"20130709111658"|"AA00025"|""
"S012364"|"Character"|"calm, diligent, reserved, logical"|"20130709111704"|"AA00025"|""
"S012364"|"Guardian in UK"|"close relatives"|"20130709111728"|"AA00025"|""
"S012364"|"Know AA From"|"through friends"|"20130709111735"|"AA00025"|""
"S012364"|"Received News from AA"|"YES"|"20130709111740"|"AA00025"|""
"S012368"|"English Standard"|"ABOVE AVERAGE"|"20130709111825"|"AA00025"|""
"S012368"|"Interests / Hobbies"|"singing and dancing"|"20130709111832"|"AA00025"|""
"S012368"|"Character"|"outgoing"|"20130709111837"|"AA00025"|""
"S012467"|"School Preferred"|"Headington School, Roedean School, Cheltenham Ladies College, Headington School, Downehouse School, Oundle School, Royal High School of Bath"|"20130906124833"|"AA00011"|""
"S012368"|"Other Requirement"|"boarding"|"20130709111852"|"AA00025"|""
"S012368"|"Preferred School Type"|"GIRLS"|"20130709111905"|"AA00025"|""
"S012368"|"Max Budget per Term"|"8000"|"20130709111912"|"AA00025"|""
"S012368"|"School Preferred"|"Headington; Badminton ; Epsom"|"20130709111919"|"AA00025"|""
"S012368"|"Reasons to Study in UK"|"escape from DSE"|"20130709111926"|"AA00025"|""
"S012368"|"Know AA From"|"refer by elder schoolmate"|"20130709111933"|"AA00025"|""
"S012368"|"Received News from AA"|"YES"|"20130709111939"|"AA00025"|""
"S012365"|"English Standard"|"ABOVE AVERAGE"|"20130709112017"|"AA00025"|""
"S012365"|"Interests / Hobbies"|"science subjects"|"20130709112023"|"AA00025"|""
