"aa_id"|"event"|"school_id"|"eventsubject"|"qualification"|"piece"|"composer"|"eventscore"|"offer"|"piority"|"lastupdate"|"staffid"|"remarks"
"S009796"|"TOP SCHOOLS WEEKEND 2012"||""|""|""|""|""|""|0|"20120825005546"|"AA00007"|""
"S006433"|"TOP SCHOOLS WEEKEND 2012"||""|""|""|""|""|""|0|"20120825223003"|"AA00006"|""
"S006433"|"TOP SCHOOLS WEEKEND 2012"||""|""|""|""|""|""|0|"20120825223003"|"AA00006"|""
"S006433"|"TOP SCHOOLS WEEKEND 2012"||""|""|""|""|""|""|0|"20120825223003"|"AA00006"|""
"S009664"|"TOP SCHOOLS WEEKEND 2012"||""|""|""|""|""|""|0|"20120825223003"|"AA00006"|""
"S009612"|"TOP SCHOOLS WEEKEND 2012"||""|""|""|""|""|""|0|"20120825223003"|"AA00006"|""
"S007422"|"TOP SCHOOLS WEEKEND 2012"||""|""|""|""|""|""|0|"20120825223003"|"AA00006"|""
"S007422"|"TOP SCHOOLS WEEKEND 2012"||""|""|""|""|""|""|0|"20120825223003"|"AA00006"|""
"S010049"|"TOP SCHOOLS WEEKEND 2012"||""|""|""|""|""|""|0|"20120825223003"|"AA00006"|""
"S011367"|"HARROW SCHOOL Y9 SEP2015 ENTRY SETTING PAPER (CE)"||""|""|""|""|""|""|0|"20130914121642"|"AA00007"|""
"S009860"|"TOP SCHOOLS WEEKEND 2013"||""|""|""|""|""|"Y"|0|"20130925175228"|""|""
"S012632"|"TOP SCHOOLS WEEKEND 2013"||""|""|""|""|""|"N"|0|"20130925175228"|""|""
"S007808"|"TOP SCHOOLS WEEKEND 2012"||""|""|""|""|""|""|0|"20120825223003"|"AA00006"|""
"S009188"|"TOP SCHOOLS WEEKEND 2012"||""|""|""|""|""|""|0|"20120825223003"|"AA00006"|""
"S009822"|"TOP SCHOOLS WEEKEND 2013"||""|""|""|""|""|"Y"|0|"20130925175228"|""|""
"S009544"|"TOP SCHOOLS WEEKEND 2012"||""|""|""|""|""|""|0|"20120825223003"|"AA00006"|""
"S009544"|"TOP SCHOOLS WEEKEND 2012"||""|""|""|""|""|""|0|"20120825223003"|"AA00006"|""
"S009544"|"TOP SCHOOLS WEEKEND 2012"||""|""|""|""|""|""|0|"20120825223003"|"AA00006"|""
"S009340"|"TOP SCHOOLS WEEKEND 2012"||""|""|""|""|""|""|0|"20120825223003"|"AA00006"|""
"S011704"|"TOP SCHOOLS WEEKEND 2013"||""|""|""|""|""|"Y"|0|"20130925175228"|""|""
"S012282"|"TOP SCHOOLS WEEKEND 2013"||""|""|""|""|""|"Y"|0|"20130925175228"|""|""
"S011938"|"TOP SCHOOLS WEEKEND 2013"||""|""|""|""|""|"Y"|0|"20130925175228"|""|""
"S009723"|"TOP SCHOOLS WEEKEND 2012"||""|""|""|""|""|""|0|"20120825223003"|"AA00006"|""
"S030186"|"TOP SCHOOLS WEEKEND 2013"||""|""|""|""|""|"Y"|0|"20130925175228"|""|""
"S010249"|"TOP SCHOOLS WEEKEND 2013"||""|""|""|""|""|"N"|0|"20130925175228"|""|""
"S008057"|"TOP SCHOOLS WEEKEND 2013"||""|""|""|""|""|"Y"|0|"20130925175228"|""|""
"S008050"|"HARROW SCHOOL Y9 SEP2015 ENTRY SETTING PAPER (CE)"||" "|" "|" "|" "|" "|" "|0|"20130914121642"|"AA00007"|" "
"S012595"|"TOP SCHOOLS WEEKEND 2013"||""|""|""|""|""|"Y"|0|"20130925175228"|""|""
"S008428"|"TOP SCHOOLS WEEKEND 2013"||""|""|""|""|""|"Y"|0|"20130925175228"|""|""
"S011372"|"TOP SCHOOLS WEEKEND 2013"||""|""|""|""|""|"Y"|0|"20130925175228"|""|""
"S030183"|"HARROW SCHOOL Y9 SEP2015 ENTRY SETTING PAPER (CE)"||""|""|""|""|""|""|0|"20130914121642"|"AA00007"|""
"S030301"|"TOP SCHOOLS WEEKEND 2013"||""|""|""|""|""|"Y"|0|"20130925175228"|""|""
"S007990"|"TOP SCHOOLS WEEKEND 2013"||""|""|""|""|""|"Y"|0|"20130925175228"|""|""
"S012101"|"TOP SCHOOLS WEEKEND 2013"||""|""|""|""|""|"N"|0|"20130925175228"|""|""
"S005065"|"TOP SCHOOLS WEEKEND 2012"||""|""|""|""|""|""|0|"20120825223003"|"AA00006"|""
