"event_id"|"eventname"|"eventstartdate"|"eventenddate"|"eventlocation"|"starttime"|"endtime"|"duration"|"lastupdate"|"staffid"|"remarks"
12|"The College of Richard Collyer Seminar (24 Feb 2017)"|"20170224"|"20170224"|"Academic Asia Office
14/F, China Taiping Tower Phase II, 8 Sunning Road, Causeway Bay, Hong Kong
香港銅鑼灣新寧道8號中國太平大廈2期14樓"|"180000"|"190000"|60|"20170217104614"|"AA00070"|"*N/A"
3|"Pre-Departure Briefing 2014"|"20140705"|"20140705"|"Jockey Club Auditorium
The Hong Kong Polytechnic University, Hung Hom, Kowloon
九龍 紅磡 香港理工大學 賽馬會綜藝館"|"200000"|"220000"|120|"20140605125414"|"AA00003"|"Conditions 規則：
Free admission. Each ticket entitles admittance of one person only. 憑票免費入場，每票只限一人。
Late comers will only be admitted at appropriate times without causing disturbance to performance. 遲到觀眾需待適當時候方可入場。
No foods and beverages, or anything considered dangerous are allowed to be brought into the Auditorium. 所有人士不得攜帶食物及危險物品進場，包括樽裝或罐裝之飲品，金屬罐或利器等。
No smoking and eating are allowed in the premises of Jockey Club Auditorium. 場內不准飲食，不准吸煙。
Unauthorized photo-taking, audio recording and/or filming are strictly prohibited in the Auditorium. 除特許人員外，場內嚴禁攝影、錄音或錄影，違者可被送官究治。
The management has the absolute discretion to ask any person to leave the Auditorium if such person behaves in a noisy, disorderly or objectionable manner. 任何觀眾若違反大會規則或騷擾他人欣賞節目，工作人員有權勸諭該觀眾離場。
The organizer reserves the right to add, withdraw or substitute artists and/or vary advertised programmes without prior notice. 主辦機構保留增刪演出者名單及修改節目內容之權利，而不作另行通告。
Holder of the valid-for-the-day ticket can enjoy a privilege parking rate at $15/hour from 0700-0100 at the PolyU Car Park. 憑此門票可於節目當日上午7時至凌晨1時，以優惠價每小時十五元使用理大停車場。"
2|"Cardiff Sixth Form College-Parents Meeting (16 May 2014 Friday)"|"20140516"|"20140516"|"Academic Asia, Room 2001, Hang Lung Centre, 2-20 Paterson Street, Causeway Bay, Hong Kong"|"183000"|"203000"|120|"20140505103021"|""|""
7|"Pre-Departure Briefing 2015"|"20150719"|"20150719"|"Jockey Club Auditorium
The Hong Kong Polytechnic University, Hung Hom, Kowloon
九龍 紅磡 香港理工大學 賽馬會綜藝館"|"200000"|"220000"|120|"20150617163259"|"AA00032"|"Conditions 規則：
Free admission. Each ticket entitles admittance of one person only. 憑票免費入場，每票只限一人。
Late comers will only be admitted at appropriate times without causing disturbance to performance. 遲到觀眾需待適當時候方可入場。
No foods and beverages, or anything considered dangerous are allowed to be brought into the Auditorium. 
所有人士不得攜帶食物及危險物品進場，包括樽裝或罐裝之飲品，金屬罐或利器等。
No smoking and eating are allowed in the premises of Jockey Club Auditorium. 場內不准飲食，不准吸煙。
Unauthorized photo-taking, audio recording and/or filming are strictly prohibited in the Auditorium. 除特許人員外，場內嚴禁攝影、錄音或錄影，違者可被送官究治。
The management has the absolute discretion to ask any person to leave the Auditorium if such person behaves in a noisy, disorderly or objectionable manner. 任何觀眾若違反大會規則或騷擾他人欣賞節目，工作人員有權勸諭該觀眾離場。
The organizer reserves the right to add, withdraw or substitute artists and/or vary advertised programmes without prior notice. 
主辦機構保留增刪演出者名單及修改節目內容之權利，而不作另行通告。
Holder of the valid-for-the-day ticket can enjoy a privilege parking rate at $15/hour from 0700-0100 at the PolyU Car Park. 憑此門票可於節目當日上午7時至凌晨1時，以優惠價每小時十五元使用理大停車場。"
8|"Oundle School Seminar (17 APR 2015)"|"20150417"|"20150417"|"Academic Asia Office
14/F, China Taiping Tower Phase II, 8 Sunning Road, Causeway Bay, Hong Kong
香港銅鑼灣新寧道8號中國太平大廈2期14樓"|"170000"|"190000"|120|"20150409153648"|"AA00003"|"*N/A"
6|"HARROW SCHOOL Y9 SEP2015 ENTRY SETTING PAPER (CE)"|"20150601"|"20150604"|"EXAM VENUE: ACADEMIC ASIA
14/F, China Taiping Tower Phase II, 8 Sunning Road, Causeway Bay, Hong Kong"|"100000"|"235000"|10|"20150225220140"|""|""
23|"Woldingham School Afternoon Tea Reception (21 Apr 2018)"|"20180421"|"20180421"|"Kowloon Room, Kowloon Shangri-La,
64 Mody Road, Tsim Sha Tsui East, Hong Kong"|"150000"|"163000"|90|"20180224161820"|"AA00079"|""
15|"Packwood Haugh School Seminar (23 March 2018)"|"20180323"|"20180323"|"Academic Asia Office
14/F, China Taiping Tower Phase II, 8 Sunning Road, Causeway Bay, Hong Kong
香港銅鑼灣新寧道8號中國太平大廈2期14樓"|"183000"|"193000"|60|"20180202130904"|"AA00061"|"N/A"
21|"Taunton School Patron's Programme - Examination (18 March 2018)"|"20180318"|"20180318"|"Academic Asia Office
14/F, China Taiping Tower Phase II, 8 Sunning Road, Causeway Bay, Hong Kong
香港銅鑼灣新寧道8號中國太平大廈2期14樓"|"103000"|"130000"|150|"20180222144245"|"AA00075"|"AA Test   10:30-12:00
Interview 13:00-18:00"
17|"Queen Margaret's School Seminar (9 March 2018)"|"20180309"|"20180309"|"Academic Asia Office
14/F, China Taiping Tower Phase II, 8 Sunning Road, Causeway Bay, Hong Kong
香港銅鑼灣新寧道8號中國太平大廈2期14樓"|"183000"|"193000"|60|"20180202160518"|"AA00075"|"N/A"
27|"Warminster School Seminar (1 June 2018)"|"20180601"|"20180601"|"Academic Asia Office
14/F, China Taiping Tower Phase II, 8 Sunning Road, Causeway Bay, Hong Kong
香港銅鑼灣新寧道8號中國太平大廈2期14樓"|"183000"|"193000"|60|"20180504153429"|"AA00079"|""
25|"John Leggott College (15 Mar 2018)"|"20180315"|"20180315"|"Academic Asia Office
14/F, China Taiping Tower Phase II, 8 Sunning Road, Causeway Bay, Hong Kong
香港銅鑼灣新寧道8號中國太平大廈2期14樓"|"183000"|"193000"|60|"20180227122318"|"AA00079"|""
11|"Sherborne Schools Joint Seminar (14 OCT 2016)"|"20161014"|"20161014"|"Academic Asia Office
14/F, China Taiping Tower Phase II, 8 Sunning Road, Causeway Bay, Hong Kong
香港銅鑼灣新寧道8號中國太平大廈2期14樓"|"180000"|"200000"|120|"20160928181451"|"AA00007"|"*N/A"
34|"Shrewsbury School Seminar (22 July 2018)"|"20180722"|"20180722"|"6/F Recital Theatre, Congregation House, 
119 Leighton Road, Causeway Bay, Hong Kong.
香港銅鑼灣禮頓道119號
公理堂大樓6樓 演奏廳"|"153000"|"163000"|60|"20180629112702"|"AA00079"|""
10|"Pre-Departure Briefing 2016"|"20160716"|"20160716"|"Theatre 1, 1/F, Hong Kong Convention and Exhibition Centre (Old Wing), 1 Harbour Road, Wanchai, Hong Kong
香港 灣仔 港灣道1號 會議展覽中心舊翼1樓 演講廳1"|"200000"|"220000"|120|"20160622123102"|"AA00062"|"Conditions 規則：
Free admission. Each ticket entitles admittance of one person only. 憑票免費入場，每票只限一人。
Late comers will only be admitted at appropriate times without causing disturbance to performance. 遲到觀眾需待適當時候方可入場。
No foods and beverages, or anything considered dangerous are allowed to be brought into the HKCEC Theatre 1. 
所有人士不得攜帶食物及危險物品進場，包括樽裝或罐裝之飲品，金屬罐或利器等。
No smoking and eating are allowed in the premises of HKCEC Theatre 1. 場內不准飲食，不准吸煙。
Unauthorized photo-taking, audio recording and/or filming are strictly prohibited in the HKCEC Theatre 1. 除特許人員外，場內嚴禁攝影、錄音或錄影，違者可被送官究治。
The management has the absolute discretion to ask any person to leave the HKCEC Theatre 1 if such person behaves in a noisy, disorderly or objectionable manner. 任何觀眾若違反大會規則或騷擾他人欣賞節目，工作人員有權勸諭該觀眾離場。
The organizer reserves the right to add, withdraw or substitute artists and/or vary advertised programmes without prior notice. 
主辦機構保留增刪演出者名單及修改節目內容之權利，而不作另行通告。"
