"expo_id"|"exponame"|"expostartdate"|"expoenddate"|"expolocation"|"starttime"|"endtime"|"duration"|"lastupdate"|"staffid"|"remarks"
5|"UK EDUCATION EXPO (FEB 2015)"|"20150214"|"20150215"|"INTERVIEW VENUE: N101-112, 1/F, Hong Kong Convention and Exhibition Centre (New Wing), 1 Harbour Road, Wanchai, Hong Kong
面試地點：香港灣仔港灣道香港會議展覽中心（新翼）1樓 N101-112室"|"110000"|"180000"|20|"20141204133830"|"AA00003"|"*To be confirmed"
1|"UK EDUCATION EXPO (OCT 2013)"|"20131019"|"20131020"|"INTERVIEW VENUE: S221-S230, 2/F, HONG KONG CONVENTION AND EXHIBITION CENTRE (OLD WING), HARBOUR ROAD, WANCHAI, HONG KONG 
香港灣仔港灣道香港會議展覽中心（舊翼）2樓 S221-S230室"|"104000"|"180000"|20|"20131002133441"|"AA00003"|""
4|"UK EDUCATION EXPO (OCT 2014) - WHITGIFT SCHOOL INTERVIEW"|"20141025"|"20141026"|"INTERVIEW VENUE: S221-S230, 2/F, HONG KONG CONVENTION AND EXHIBITION CENTRE (OLD WING), HARBOUR ROAD, WANCHAI, HONG KONG 
面試地點：香港灣仔港灣道香港會議展覽中心（舊翼）2樓 S221-S230室"|"103000"|"180000"|15|"20141009105938"|"AA00003"|"* To be confirmed"
2|"UK EDUCATION EXPO (FEB 2014)"|"20140222"|"20140223"|"INTERVIEW VENUE: S421-S430, 4/F, HONG KONG CONVENTION AND EXHIBITION CENTRE (OLD WING), HARBOUR ROAD, WANCHAI, HONG KONG 
香港灣仔港灣道香港會議展覽中心（舊翼）4樓 S421-S430室"|"104000"|"180000"|20|"20140222183800"|"AA00003"|""
3|"UK EDUCATION EXPO (OCT 2014)"|"20141025"|"20141026"|"INTERVIEW VENUE: S221-S230, 2/F, HONG KONG CONVENTION AND EXHIBITION CENTRE (OLD WING), HARBOUR ROAD, WANCHAI, HONG KONG 
面試地點：香港灣仔港灣道香港會議展覽中心（舊翼）2樓 S221-S230室"|"102000"|"182000"|20|"20141025192245"|"30012"|"* To be confirmed"
23|"UK SCHOOLS PRESENTATION AND INTERVIEW WEEK 2021"|"20211011"|"20211015"|"VIRTUAL"|"160000"|"200000"|10|"20220927115547"|"AA00079"|"*To be confirmed"
6|"UK EDUCATION EXPO (OCT 2015)"|"20151024"|"20151025"|"INTERVIEW VENUE: S421-S430, 4/F, HONG KONG CONVENTION AND EXHIBITION CENTRE (OLD WING), HARBOUR ROAD, WANCHAI, HONG KONG 
面試地點：香港灣仔港灣道香港會議展覽中心（舊翼）4樓 S421-S430室"|"102000"|"182000"|20|"20150624192648"|"AA00003"|"*To be confirmed"
21|"UK EDUCATION EXPO (FEB 2021) - Cancelled"|"20210203"|"20210213"|"VIRTUAL"|"170000"|"220000"|15|"20210615180949"|"AA00079"|"* please see application procedure"
22|"UK EDUCATION EXPO (Jun-Jul 2021)"|"20210628"|"20210710"|"VIRTUAL"|"160000"|"210000"|10|"20220927115623"|"AA00079"|""
18|"UK EDUCATION EXPO (for Testing only)"|"20230204"|"20230205"|"testing"|"100000"|"170000"|10|"20230213173422"|"AA00079"|"testing"
20|"UK EDUCATION EXPO (OCT 2020)"|"20201024"|"20201106"|"VIRTUAL"|"170000"|"220000"|20|"20220927115701"|"AA00079"|"* please see application procedure"
15|"UK EDUCATION EXPO (OCT 2019)"|"20191019"|"20191020"|"INTERVIEW VENUE: S221-S230, 2/F, HONG KONG CONVENTION AND EXHIBITION CENTRE (OLD WING), HARBOUR ROAD, WANCHAI, HONG KONG 
面試地點：香港灣仔港灣道香港會議展覽中心（舊翼）2樓 S221-S230室"|"100000"|"170000"|10|"20220927115801"|"AA00079"|"* please see application procedure"
29|"UK EDUCATION EXPO (OCT 2025)"|"20251011"|"20251012"|"TBC"|"100000"|"180000"|10|"20241214112805"|"AA00082"|"TBC"
17|"UK EDUCATION EXPO (OCT 2019) - Music Audition"|"20191019"|"20191020"|"INTERVIEW VENUE: S221-S230, 2/F, HONG KONG CONVENTION AND EXHIBITION CENTRE (OLD WING), HARBOUR ROAD, WANCHAI, HONG KONG 
面試地點：香港灣仔港灣道香港會議展覽中心（舊翼）2樓 S221-S230室"|"100000"|"170000"|30|"20220927115842"|"AA00079"|"TBC"
16|"UK EDUCATION EXPO (OCT 2019) - WHITGIFT SCHOOL INTERVIEW"|"20191019"|"20191020"|"INTERVIEW VENUE: S221-S230, 2/F, HONG KONG CONVENTION AND EXHIBITION CENTRE (OLD WING), HARBOUR ROAD, WANCHAI, HONG KONG 
面試地點：香港灣仔港灣道香港會議展覽中心（舊翼）2樓 S221-S230室"|"100000"|"170000"|15|"20220927115905"|"AA00079"|""
24|"UK EDUCATION EXPO (Feb 2023)"|"20230211"|"20230212"|"INTERVIEW VENUE: S421-S430, 4/F, HONG KONG CONVENTION AND EXHIBITION CENTRE (OLD WING), HARBOUR ROAD, WANCHAI, HONG KONG 
面試地點：香港灣仔港灣道香港會議展覽中心（舊翼）4樓 S421-S430室"|"110000"|"180000"|10|"20230213144000"|"AA00079"|"* please see application procedure"
7|"UK EDUCATION EXPO (FEB 2016)"|"20160227"|"20160228"|"INTERVIEW VENUE: S221-S230, 2/F, HONG KONG CONVENTION AND EXHIBITION CENTRE (OLD WING), HARBOUR ROAD, WANCHAI, HONG KONG 
面試地點：香港灣仔港灣道香港會議展覽中心（舊翼）2樓 S221-S230室"|"102000"|"182000"|20|"20201024171440"|"AA00079"|"*To be confirmed"
