"musicaudition_id"|"school_id"|"lastupdate"|"staffid"|"remarks"|"confirmed"|"schoolconfirmed"|"applicationdeadline"|"applicationdeadlineremarks"|"regfee"|"payableto"
5|4|"20120630224021"|""|""|"N"|"0"|"20120630"|""|""|"                                                                                                                                                                                                                                                          "
5|6|"20120630224047"|""|""|"N"|"0"|"20120630"|""|""|"                                                                                                                                                                                                                                                          "
5|7|"20120630224117"|""|""|"N"|"0"|"20120630"|""|""|"                                                                                                                                                                                                                                                          "
5|533|"20120630224137"|""|""|"N"|"0"|"20120630"|""|""|"                                                                                                                                                                                                                                                          "
5|11|"20120630224150"|""|""|"N"|"0"|"20120630"|""|""|"                                                                                                                                                                                                                                                          "
5|13|"20120630224221"|""|""|"N"|"0"|"20120630"|""|""|"                                                                                                                                                                                                                                                          "
5|22|"20120630224240"|""|""|"N"|"0"|"20120630"|""|""|"                                                                                                                                                                                                                                                          "
5|12|"20120630224250"|""|""|"N"|"0"|"20120630"|""|""|"                                                                                                                                                                                                                                                          "
6|4|"20130926192523"|""|"* Enclosed please find the Music Scholarship Note and Entry Form, if you are interested in applying for music scholarship, please complete the Music Entry Form and return to Academic Asia with the Reg Form and Fee."|"N"|"0"|""|""|""|"                                                                                                                                                                                                                                                          "
6|6|"20130703190132"|"AA00003"|""|"N"|"0"|""|""|""|"                                                                                                                                                                                                                                                          "
6|7|"20130926193520"|""|"* Enclosed please find the Music Scholarship Application Form, if you are interested in applying for music scholarship, please complete the Form and return to Academic Asia with the Reg Form and Fee."|"N"|"0"|""|""|""|"                                                                                                                                                                                                                                                          "
6|22|"20130926193921"|""|"* Enclosed please find the Music Scholarship Application Form, if you are interested in applying for music scholarship, please complete the Form and return to Academic Asia with the Reg Form and Fee."|"N"|"0"|""|""|""|"                                                                                                                                                                                                                                                          "
6|12|"20130926194036"|""|"* There is no need to complete any music scholarship form."|"N"|"0"|""|""|""|"                                                                                                                                                                                                                                                          "
6|13|"20130926194038"|""|"* There is no need to complete any music scholarship form."|"N"|"0"|""|""|""|"                                                                                                                                                                                                                                                          "
6|11|"20130927115935"|"AA00002"|"* Enclosed please find the Music Scholarship Application Form and Guidance Notes (For Year 9 only), if you are interested in applying for music scholarship, please complete the Form and return to Academic Asia with the Reg Form and Fee."|"N"|"0"|""|""|""|"                                                                                                                                                                                                                                                          "
6|533|"20130927152737"|"AA00007"|"* If you are interested in applying for music scholarship, please complete the Music Scholarship Application Form and return to Academic Asia with the Reg Form and Fee. 

Please note the Music Scholarship Application Form for Y12 is not available at the moment. The Form will be ready in a few days time, please login to check and download the form for completion in a few days time. Thank you."|"N"|"0"|""|""|""|"                                                                                                                                                                                                                                                          "
7|4|"20140626222002"|"AA00003"|""|"N"|"0"|""|""|""|"                                                                                                                                                                                                                                                          "
7|6|"20140626222032"|"AA00003"|""|"N"|"0"|""|""|""|"                                                                                                                                                                                                                                                          "
7|7|"20140626222040"|"AA00003"|""|"N"|"0"|""|""|""|"                                                                                                                                                                                                                                                          "
7|533|"20140626222053"|"AA00003"|""|"N"|"0"|""|""|""|"                                                                                                                                                                                                                                                          "
7|9|"20140626222102"|"AA00003"|""|"N"|"0"|""|""|""|"                                                                                                                                                                                                                                                          "
7|11|"20140626222109"|"AA00003"|""|"N"|"0"|""|""|""|"                                                                                                                                                                                                                                                          "
7|12|"20140626222116"|"AA00003"|""|"N"|"0"|""|""|""|"                                                                                                                                                                                                                                                          "
7|13|"20140626222124"|"AA00003"|""|"N"|"0"|""|""|""|"                                                                                                                                                                                                                                                          "
8|4|"20150702222410"|""|""|"N"|"0"|""|""|""|"                                                                                                                                                                                                                                                          "
8|6|"20150702222426"|""|""|"N"|"0"|""|""|""|"                                                                                                                                                                                                                                                          "
8|7|"20150702222436"|""|""|"N"|"0"|""|""|""|"                                                                                                                                                                                                                                                          "
8|533|"20150702222449"|""|""|"N"|"0"|""|""|""|"                                                                                                                                                                                                                                                          "
8|9|"20150702222502"|""|""|"N"|"0"|""|""|""|"                                                                                                                                                                                                                                                          "
8|11|"20150702222508"|""|""|"N"|"0"|""|""|""|"                                                                                                                                                                                                                                                          "
8|12|"20150702222515"|""|""|"N"|"0"|""|""|""|"                                                                                                                                                                                                                                                          "
8|21|"20150808112732"|"AA00007"|""|"N"|"0"|""|""|""|"                                                                                                                                                                                                                                                          "
9|4|"20160626175002"|"AA00007"|""|"N"|"0"|""|""|""|"                                                                                                                                                                                                                                                          "
9|6|"20160626175010"|"AA00007"|""|"N"|"0"|""|""|""|"                                                                                                                                                                                                                                                          "
9|533|"20160626175023"|"AA00007"|""|"N"|"0"|""|""|""|"                                                                                                                                                                                                                                                          "
8|13|"20150702223140"|""|""|"N"|"0"|""|""|""|"                                                                                                                                                                                                                                                          "
9|11|"20160626175032"|"AA00007"|""|"N"|"0"|""|""|""|"                                                                                                                                                                                                                                                          "
9|12|"20160626175038"|"AA00007"|""|"N"|"0"|""|""|""|"                                                                                                                                                                                                                                                          "
9|13|"20160626175044"|"AA00007"|""|"N"|"0"|""|""|""|"                                                                                                                                                                                                                                                          "
9|7|"20160706114051"|""|""|"N"|"0"|""|""|""|"                                                                                                                                                                                                                                                          "
10|7|"20170929113608"|"AA00007"|"Applicants to Music Scholarship will be required to complete a music scholarship application form, the form is not available yet, once received, we will send to you right away."|"N"|"0"|""|""|""|"                                                                                                                                                                                                                                                          "
10|6|"20170726204018"|"AA00007"|""|"N"|"0"|""|""|""|"                                                                                                                                                                                                                                                          "
12|533|"20190926111018"|"AA00029"|"* Enclosed please find the Music Scholarship Gudiance Notes and Scholarship Application Form, if you are interested in applying for music scholarship, please complete the Music Scholarship Application Form and return to Academic Asia with the Reg Form and Fee."|"N"|"0"|""|""|""|"                                                                                                                                                                                                                                                          "
10|12|"20170726204031"|"AA00007"|""|"N"|"0"|""|""|""|"                                                                                                                                                                                                                                                          "
10|11|"20170929141859"|""|"Please see registration procedure."|"N"|"0"|""|""|""|"                                                                                                                                                                                                                                                          "
11|6|"20180306162202"|"AA00061"|""|"N"|"0"|""|""|""|"                                                                                                                                                                                                                                                          "
10|384|"20170726204059"|"AA00007"|""|"N"|"0"|""|""|""|"                                                                                                                                                                                                                                                          "
12|7|"20190926111029"|"AA00029"|"*Please see registration procedure."|"N"|"0"|""|""|""|"                                                                                                                                                                                                                                                          "
10|4|"20170928223031"|""|"* Enclosed please find the Music Scholarship Note and Scholarship Entry Form, if you are interested in applying for music scholarship, please complete the Music Scholarship Entry Form and return to Academic Asia with the Reg Form and Fee."|"N"|"0"|""|""|""|"                                                                                                                                                                                                                                                          "
10|533|"20170928223129"|""|"* Enclosed please find the Music Scholarship Note and Scholarship Entry Form, if you are interested in applying for music scholarship, please complete the Music Scholarship Entry Form and return to Academic Asia with the Reg Form and Fee."|"N"|"0"|""|""|""|"                                                                                                                                                                                                                                                          "
10|13|"20170928223220"|""|"* Enclosed please find the Music Scholarship Entry Form, if you are interested in applying for music scholarship, please complete the Music Scholarship Entry Form and return to Academic Asia with the Reg Form and Fee."|"N"|"0"|""|""|""|"                                                                                                                                                                                                                                                          "
11|384|"20180306162230"|"AA00061"|""|"N"|"0"|""|""|""|"                                                                                                                                                                                                                                                          "
11|12|"20180306162243"|"AA00061"|""|"N"|"0"|""|""|""|"                                                                                                                                                                                                                                                          "
11|4|"20180928155312"|""|"* Enclosed please find the Music Scholarship Note and Scholarship Entry Form, if you are interested in applying for music scholarship, please complete the Music Scholarship Entry Form and return to Academic Asia with the Reg Form and Fee."|"N"|"0"|""|""|""|"                                                                                                                                                                                                                                                          "
11|7|"20180928155354"|""|"Applicants to Music Scholarship will be required to complete a music scholarship application form, the form is not available yet, once received, we will send to you right away."|"N"|"0"|""|""|""|"                                                                                                                                                                                                                                                          "
