"scheduledate"|"scheduletimeslot"|"staffid"|"aa_id"|"remarks"|"scheduletype"|"scheduleaction"|"school_id"
"20250428"|40|"AA00007"|"S044226"|"call mum to talk about offers, via wechat"|"Consultation"|""|0
"20250429"|35|"AA00113"|""|"Tutor Interview - Starry CHOW"|""|""|0
"20250429"|36|"AA00113"|""|"Tutor Interview - Starry CHOW"|""|""|0
"20250428"|30|"AA00007"|"S043212"|"ftf with parents"|"Consultation"|"Show Up"|0
"20250428"|29|"AA00007"|"S043212"|"ftf with parents"|"Consultation"|"Show Up"|0
"20250428"|28|"AA00007"|"S043212"|"ftf with parents"|"Consultation"|"Show Up"|0
"20250428"|27|"AA00007"|"S043212"|"ftf with parents"|"Consultation"|"Show Up"|0
"20250430"|37|"AA00113"|""|"Call Michelle HO - 6703 0818 
UNI"|"Meeting"|""|0
"20250430"|38|"AA00113"|""|"Call Michelle HO - 6703 0818 
UNI"|"Meeting"|""|0
"20250429"|37|"AA00113"|""|""|""|""|0
"20250429"|38|"AA00113"|""|""|""|""|0
"20250502"|9|"AA00007"|"S043949"|"call mum talk about uni choice, update Battie, maybe interested in our uni service but want to talk to b first"|"Consultation"|""|0
"20250502"|10|"AA00007"|"S043949"|"call mum talk about uni choice, update Battie, maybe interested in our uni service but want to talk to b first"|"Consultation"|""|0
"20250428"|36|"AA00007"|"S045472"|"(Confirmed)

finish at 5:30 pm"|"AA Test"|"Show Up"|0
"20250428"|37|"AA00007"|"S045472"|"(Confirmed)

finish at 5:30 pm"|"AA Test"|"Show Up"|0
"20250428"|38|"AA00007"|"S045472"|"(Confirmed)

finish at 5:30 pm"|"AA Test"|"Show Up"|0
"20250429"|9|"AA00115"|"S045477"|"f2f con only (Confirmed)

Reports are uploaded. File at reception"|"AA Test"|""|0
"20250429"|10|"AA00115"|"S045477"|"f2f con only (Confirmed)

Reports are uploaded. File at reception"|"AA Test"|""|0
"20250429"|11|"AA00115"|"S045477"|"f2f con only (Confirmed)

Reports are uploaded. File at reception"|"AA Test"|""|0
"20250429"|12|"AA00115"|"S045477"|"f2f con only (Confirmed)

Reports are uploaded. File at reception"|"AA Test"|""|0
"20250428"|9|"AA00084"|""|"Job Interview - Education Consultant
Alex Liu  (Shakespeare)

finish at 10:50 am"|"Interview"|"Show Up"|0
"20250428"|10|"AA00084"|""|"Job Interview - Education Consultant
Alex Liu  (Shakespeare)

finish at 10:50 am"|"Interview"|"Show Up"|0
"20250428"|11|"AA00084"|""|"Job Interview - Education Consultant
Alex Liu  (Shakespeare)

finish at 10:50 am"|"Interview"|"Show Up"|0
"20240814"|43|"AA00111"|""|""|""|""|0
"20250428"|12|"AA00084"|""|"Job Interview - Education Consultant
Alex Liu  (Shakespeare)

finish at 10:50 am"|"Interview"|"Show Up"|0
"20250428"|25|"AA00084"|""|"Job Interview - Education Consultant
Queenie Chung  (Shakespeare)"|""|""|0
"20250428"|26|"AA00084"|""|"Job Interview - Education Consultant
Queenie Chung  (Shakespeare)"|""|""|0
"20250428"|27|"AA00084"|""|"Job Interview - Education Consultant
Queenie Chung  (Shakespeare)"|""|""|0
"20250428"|28|"AA00084"|""|"Job Interview - Education Consultant
Queenie Chung  (Shakespeare)"|""|""|0
"20250428"|25|"AA00084"|"S044894"|""|""|""|0
"20250428"|12|"AA00113"|"S045121"|""|""|"Show Up"|0
"20250428"|11|"AA00113"|"S045121"|""|""|"Show Up"|0
"20250428"|10|"AA00113"|"S045121"|""|""|"Show Up"|0
"20250428"|9|"AA00113"|"S045121"|""|""|"Show Up"|0
"20250428"|39|"AA00007"|"S044226"|"call mum to talk about offers, via wechat"|"Consultation"|""|0
"20250426"|33|"AA00007"|""|"ftf meeting, reserved for 9745 8000, Mrs Lee, she is on biz trip so no time to fill out enquiry form. 

fyi. 

Mrs Lee has a boy and a girl. They both go to ISF.
DOB: boy April 12, 2013
DOB: girl Sep 6th, 2014

she and her husband are thinking about sending their kids when they are older, may not be year 9"|"Others"|"Show Up"|0
"20250426"|34|"AA00007"|""|"ftf meeting, reserved for 9745 8000, Mrs Lee, she is on biz trip so no time to fill out enquiry form. 

fyi. 

Mrs Lee has a boy and a girl. They both go to ISF.
DOB: boy April 12, 2013
DOB: girl Sep 6th, 2014

she and her husband are thinking about sending their kids when they are older, may not be year 9"|"Others"|"Show Up"|0
"20250428"|31|"AA00007"|""|"Consultation meeting"|"Others"|""|0
"20250428"|32|"AA00007"|""|"Consultation meeting"|"Others"|""|0
"20250428"|33|"AA00007"|""|"Consultation meeting"|"Others"|""|0
"20250428"|34|"AA00007"|""|"Consultation meeting"|"Others"|""|0
"20250428"|31|"AA00098"|""|"Consultation meeting"|"Others"|""|0
"20250503"|25|"AA00084"|"S045490"|"Face con only (Confirmed)
File at reception."|"AA Test"|"Show Up"|0
"20250503"|26|"AA00084"|"S045490"|"Face con only (Confirmed)
File at reception."|"AA Test"|"Show Up"|0
"20250503"|27|"AA00084"|"S045490"|"Face con only (Confirmed)
File at reception."|"AA Test"|"Show Up"|0
"20250428"|32|"AA00098"|""|"Consultation meeting"|"Others"|""|0
"20250428"|33|"AA00098"|""|"Consultation meeting"|"Others"|""|0
"20250428"|34|"AA00098"|""|"Consultation meeting"|"Others"|""|0
