"school_id"|"banktype"|"currency"|"bankname"|"bankacc"|"bankaddress"|"ibankacc"|"swift"|"sortcode"|"ibanno"|"remarks"|"lastupdate"|"staffid"|"billingname"
576|"Registration Fee"|"GBP"|"Barclays Bank"|"63689018"|"1 Churchill Place, London, E145HP"|"Bright Scholar (BCS) Management Limited"|"BARCGB22"|"20-17-27"|"GB96BARC20172763689018"|"Payments should be made using the following reference: PUPIL SURNAME, PUPIL FORENAME"|"20201125103348"|"AA00078"|""
209|"Course"|"GBP"|"Lloyds TSB Bank Plc"|"04070236"|""|"Guildford College of F and HE"|""|"30-93-74"|""|""|"20130525"|""|"Guildford College Group"
412|"Course"|"GBP"|"HSBC"|"71599682"|"8 Victoria Street, London, SW1H 0NJ"|"Royal Hospital School"|"MIDGBL22"|"40-07-13"|"GB40MIDL40071371599682"|"Please quote your child's name so that payment can be allocated correctly."|"20140411151527"|"AA00044"|"Royal Hospital School"
576|"Course"|"GBP"|"Barclays Bank PLC"|"23410617"|"Kettering Branch, 8 Market Place, Kettering, Northants, NN16 0AX"|"United Church Schools Trust School Fees Account"|"BARCGB22"|"20-45-77"|"GB61BARC 2045 7790 5765 06"|""|"20160405153924"|"AA00044"|"Bournemouth Collegiate School"
652|"Course"|"GBP"|"Barclays Bank Plc"|"50223050"|"PO Box 95, 1 North End, Croydon CR9 1RN"|"Cambridge Tutors Educational Trust Ltd"|"BARCGB22"|"20-24-61"|"GB07BARC20246150223050"|"*For payments made directly to school bank account, please ensure parents give the student's name as a reference*"|"20141121183553"|"AA00032"|"Cambridge Tutors College"
552|"Course"|"GBP"|"The Royal Bank of Scotland PLC"|"23121304"|"London City Office, 62/63 Threadneedle Street, London EC2R 8LA"|"Thornton College"|"-"|"16-00-15"|"GB03RBOS16001523121304"|""|"20200725175234"|"AA00078"|"Thornton College"
375|"Course"|"GBP"|"-"|"-"|"-"|"-"|"-"|"-"|"-"|""|"20141002231405"|""|"Queen Elizabeth’s Academy Trust"
59|"Course"|"GBP"|"National Westminster Bank Plc"|"59013869"|"High Street, Cranbrook, Kent, TN17 3EJ"|"Bethany School Limited"|"NWBKGB2L"|"60-06-18"|"GB61NWBK60061859013869"|"20191228: Sterling cheque / banker's draft made payable to Bethany School"|"20191228144952"|"AA00078"|"Bethany School"
43|"Course"|"GBP"|"National Westminster Bank Plc"|"74037609"|"Barnard Castle Branch, 28 Market Place, Barnard Castle, Co Durham, DL12 8PT"|"Barnard Castle School"|"NWBKGB2L"|"51-61-33"|"GB74NWBK51613374037609"|""|"20130525"|""|"Barnard Castle School"
49|"Course"|"GBP"|"Co-operative Bank"|"65060072"|"London City Office, 80 Cornhill, London, EC3V 3NJ"|"The Bedford Charity R/C No. 204817"|"CPBKGB22"|"08-02-28"|"GB62CPBK08022865060072"|"When making a payment by bank transfer, please include your account reference and the pupil's name."|"20130525"|""|"Bedford Preparatory School"
30011|"Course"|"GBP"|"Lloyds TSB Bank Plc"|"00407305"|"PO Box 1000, BX1 1LT"|"Duff Miller and Company (London Tutors) Ltd"|"LOYDGB21027"|"30-95-74"|"GB13-LOYD-3095-7400-4073-05"|""|"20141217182759"|"AA00032"|"Astrum Colleges - Duff Miller"
480|"Course"|"GBP"|"National Westminster Bank Plc"|"08823669"|"PO Box 306, 11 The Parade, Canterbury, Kent, CT1 2DT"|"St. Edmund's School"|"NWBKGB2L"|"60-04-27"|"GB03NWBK60042708823669"|""|"20200314173815"|"AA00078"|"St Edmund's School"
377|"Course"|"GBP"|"Barclays Bank PLC"|"13049779"|"25 James Street, Harrogate, HG1 1QX"|"Queen Margaret's School York Ltd"|"BARCGB22"|"20-03-53"|"GB98BARC20035313049779"|""|"20180112105837"|"AA00078"|""
681|"Course"|"GBP"|"Lloyds TSB Bank Plc"|"00197303"|"Corn Street, PO Box 1000, Bristol, BX1 1LT,"|"Hartpury College"|"LOYDGB21017"|"30-00-01"|"GB88LOYD30000100197303"|""|"20160615111451"|"AA00044"|"Hartpury College"
68|"Course"|"GBP"|"National Westminster Bank Plc"|"18015298"|"91-93 Harborough Road, Kingsthorpe, Northampton, NN2 7FD"|"Bosworth Independent College"|"NWBKGB2L"|"54-10-53"|"GB80NWBK54105318015298"|""|"20130525"|""|"Bosworth Independent College"
62|"Course"|"GBP"|"Lloyds Bank"|"29311168"|"37 Market Place, Warminster, Wiltshire, BA12 9BD, England"|"Bishopstrow College Limited"|"LOYDGB21294"|"30 99 13"|"GB72LOYD30991329311168"|"Advice to payee:[name of student and invoice number]"|"20210317103127"|"AA00078"|""
76|"Course"|"GBP"|"National Westminster Bank Plc"|"20622597"|"Brentwood High Street Branch, Po Box 86, 46 High Street, CM14 4AN"|"Brentwood School"|""|"60-03-25"|"GB07NWBK60032520622597"|"Student FULL Name"|"20130525"|""|"Brentwood School"
3|"Course"|"GBP"|"Lloyds TSB Bank Plc"|"00101252"|"112 High Street, Bromsgrove, Worcestershire, England B61 8EZ"|"Bromsgrove School"|"LOYDGB21178"|"30-91-36"|"GB45LOYD30913600101252"|""|"20130525"|""|"Bromsgrove School Enterprises Ltd"
88|"Course"|"GBP"|"Lloyds TSB Bank Plc"|"62990460"|""|""|"LOYDGB21299"|"30-99-78"|"GB91LOYD30997862990460"|""|"20130525"|""|"Burford School"
201|"Course"|"GBP"|"-"|"42802180"|"-"|"Gosfield School"|"-"|"60-09-29"|"-"|"20180621: Cheques made payable to Gosfield School Ltd; Reference: Pupil's name"|"20180621112505"|"AA00078"|""
101|"Course"|"GBP"|"Lloyds TSB Bank Plc"|"00122109"|"1, Queen Street, Cardiff, CF10 2AF, UK"|"Cardiff Sixth Form College"|"LOYDGB21143"|"30-91-63"|"GB15LOYD30916300122109"|""|"20130525"|""|"Cardiff Sixth Form College"
102|"Course"|"GBP"|"National Westminster Bank Plc"|"10041443"|"Main Street, Kirkby Lonsdale, Via Carnforth, Lancashire"|"Casterton School"|"NWBKGB2L"|"01-04-81"|"GB62NWBK01048110041443"|""|"20130525"|""|"Casterton School"
497|"Registration Fee"|"GBP"|"Lloyds Bank plc"|"37246460"|"Bracknell"|"St Mary’s School Ascot"|"LOYDGB21653"|"30 63 54"|"GB71 LOYD 3063 5437 2464 60"|""|"20210112120604"|"AA00078"|""
340|"Course"|"GBP"|"HSBC"|"81174312"|"114 High Street, Stourbeidge, DY8 1DZ"|"Old Swinford Hospital"|"MIDLGB2111T"|"40-43-17"|"GB02MIDL40431781174312"|""|"20151214103207"|"AA00007"|"Old Swinford Hospital"
