"school_id"|"examyear"|"grade"|"results"|"lastupdate"|"staffid"|"remarks"|"examtype"
4|"2012"|""|"63"|"20130402161014"|"AA00007"|""|"Pre - U"
4|"2012"|"Pass"|"3"|"20130403095402"|"AA00007"|""|"Pre - U"
4|"2012"|"Merit"|"33"|"20130403095414"|""|""|"Pre - U"
47|"2012"|"A* - B"|"31.0"|"20130508100555"|""|""|"A Level"
47|"2012"|"A* - A"|"29.0"|"20130508100603"|""|""|"A Level"
631|"2012"|"A*"|"32.0"|"20130618165208"|""|""|"GCSE"
631|"2012"|"A* - A"|"58.0"|"20130618165212"|""|""|"GCSE"
631|"2012"|"74"|"58.0"|"20130618165228"|"AA00025"|""|"GCSE"
631|"2012"|"A* - A"|"74"|"20130618165236"|"AA00025"|""|"GCSE"
631|"2012"|"A*"|"45"|"20130618165249"|"AA00025"|""|"GCSE"
691|"2012"|"A* - A"|"31"|"20130709122524"|"AA00025"|""|"A Level"
691|"2012"|"A* - B"|"59"|"20130709122528"|"AA00025"|""|"A Level"
11|"2013"|"A* - A"|"49"|"20130816152640"|"AA00025"|""|"A Level"
11|"2013"|"A*"|"16"|"20130816152655"|"AA00025"|""|"A Level"
646|"2013"|"A*"|"52.5"|"20130816161053"|"AA00040"|""|"A Level"
646|"2013"|"A*"|"28"|"20130816161128"|"AA00040"|""|"A Level"
320|"2013"|"A* - B"|"72"|"20130817101933"|"AA00025"|""|"A Level"
596|"2013"|"A*"|"18.42"|"20130819112015"|"AA00040"|""|"A Level"
522|"2013"|"A* - A"|"48"|"20130819172021"|"AA00040"|""|"A Level"
522|"2013"|"A* - A"|"-"|"20130819172428"|"AA00040"|""|"A Level"
549|"2013"|""|"41.8"|"20130819181809"|"AA00025"|""|"IB"
504|"2013"|"A* - A"|"36"|"20130819182253"|"AA00040"|""|"A Level"
258|"2011"|"A* - A"|"68.1"|"20130821181234"|""|""|"A Level"
192|"2012"|"A* - A"|"80.0"|"20130821182540"|""|""|"A Level"
599|"2013"|"A* - A"|"35"|"20130822175715"|"AA00040"|""|"A Level"
508|"2013"|"A* - A"|"15"|"20130822182621"|"AA00040"|""|"A Level"
462|"2013"|"A* - A"|"45"|"20130823101540"|"AA00040"|""|"A Level"
494|"2013"|"A* - A"|"40"|"20130823102000"|"AA00040"|""|"A Level"
286|"2013"|"A*"|"69"|"20130831101710"|"AA00025"|""|"GCSE"
