"school_id"|"financialyear"|"description"|"feetype"|"fee"|"payable"|"startdate"|"enddate"|"lastupdate"|"staffid"|"remarks"
134|"2012"|"Deposit"|"Deposit"|500|"Culford School"|""|""|"20120806190150"|""|""
21|"2012"|"Register Fee"|"Register Fee"|300|"Brighton College
"|""|""|"20120806190149"|""|""
21|"2012"|"Register Fee"|"Register Fee"|350|"Brighton College"|""|""|"20121211104009"|"AA00032"|""
634|"2012"|"Deposit"|"Deposit"|2000|""|""|""|"20120806190152"|""|""
30000|"2013-14"|"Y8"|"Course"|5290|""|""|""|"20130326101302"|"AA00025"|"£11,370 for EU passport holders and £15,870 for non-EU passport holders"
68|"2013-14"|"Y13"|"Course"|8667|""|""|""|"20130326171029"|"AA00025"|""
68|"2013-14"|"Y12"|"Course"|8667|""|""|""|"20130326171023"|"AA00025"|""
68|"2013-14"|"Y11"|"Course"|8667|""|""|""|"20130326171016"|"AA00025"|""
68|"2013-14"|"Y10"|"Course"|8667|""|""|""|"20130326102112"|"AA00025"|""
101|"2012-13"|"Year 12"|"Course"|7500|"Cardiff Sixth Form College"|""|""|"20120806190419"|""|""
549|"2012-13"|"Year 12"|"Course"|4700|"The Stephen Perse Foundation"|""|""|"20120806190428"|""|""
680|"2012-13"|"Year 12"|"Course"|8600|"Earlscliffe"|""|""|"20120806190430"|""|""
101|"2012-13"|"Year 12"|"Course"|7500|"Cardiff Sixth Form College"|""|""|"20130327193423"|""|"Sept 2013 the total annual payment is £27,000.00. Payment is twice a year Single Room - £13,500.00 in first week of August, and first week of January, Studio Flat - £14,850.00 in August and February. Jan intake 2014 £10,000.00 per term - paid at once therefore £20,000.00 becomes due in December for single room and £21,800.00 for studio flat. The second year (applying only to the January intake), it has three terms each totalling £10,000.00 but paid in two instalments of £15,000.00 in August and £15,000.00 in January for a Single room and £16,350 in February and £16,350.00 in August for a Studio Flat. September 2013 onwards there will be a charge of £500.00 per annum for students over 18 year in order to provide Out-of-hours-Warden-Service."
101|"2012-13"|"Year 12"|"Course"|7500|"Cardiff Sixth Form College"|""|""|"20130403163022"|"AA00007"|"1. testing
2. testing"
556|"2012-13"|"Year 8"|"Course"|7750|"Trinity School"|""|""|"20120806190428"|""|""
556|"2013-14"|"Year 7"|"Course"|7960|""|""|""|"20130405113413"|"AA00025"|""
556|"2013-14"|"Year 8"|"Course"|7960|""|""|""|"20130405113420"|"AA00025"|""
556|"2013-14"|"Year 8"|"Course"|7960|""|""|""|"20130405113502"|"AA00025"|""
556|"2013-14"|"Year 9"|"Course"|7960|""|""|""|"20130405113425"|"AA00025"|""
556|"2013-14"|"Year 8"|"Course"|7960|""|""|""|"20130405113504"|"AA00025"|"Trinity School"
556|"2013-14"|"Year 9"|"Course"|7960|"Trinity School"|""|""|"20130405113507"|"AA00025"|""
