"aa_id"|"course"|"tutor"|"startdate"|"enddate"|"totalhour"|"lastupdate"|"staffid"|"remarks"|"email_sent"
"S044393"|"Helix"|"Giles"|"20250701"|"20270701"|"2 Years"|"20250702102001"|"AA00007"|""|"N"
"S045360"|"Helix"|"Giles"|"20250709"|"20250709"|"."|"20250709133323"|"AA00007"|""|"N"
"S044393"|"AA Summer Camp 2025"|"AA"|"20250731"|"20250813"|"2 weeks"|"20250709134339"|"AA00007"|""|"N"
"S044269"|"AA Summer Camp 2025"|"AA"|"20250731"|"20250813"|"2 weeks"|"20250726164054"|"AA00136"|"."|"N"
"S044047"|"AA Summer Camp 2025"|"AA"|"20250731"|"20250813"|"2 weeks"|"20250726165959"|"AA00144"|"."|"N"
"S045522"|"AA Summer Camp 2025"|"AA"|"20250731"|"20250813"|"2 weeks"|"20250726170035"|"AA00144"|"."|"N"
"S045288"|"AA Summer Camp 2025"|"AA"|"20250731"|"20250813"|"2 weeks"|"20250726170122"|"AA00144"|"."|"N"
"S044648"|"AA Summer Camp 2025"|"AA"|"20250731"|"20250813"|"2 weeks"|"20250726170138"|"AA00097"|""|"N"
"S044753"|"AA Summer Camp 2025"|"AA"|"20250731"|"20250813"|"2 weeks"|"20250726170157"|"AA00144"|"."|"N"
"S045759"|"AA Summer Camp 2025"|"AA"|"20250731"|"20250813"|"2 weeks"|"20250726170211"|"AA00097"|""|"N"
"S044125"|"AA Summer Camp 2025"|"AA"|"20250731"|"20250813"|"2 weeks"|"20250726170227"|"AA00144"|"."|"N"
"S045760"|"AA Summer Camp 2025"|"AA"|"20250731"|"20250813"|"2 weeks"|"20250726170240"|"AA00097"|""|"N"
"S044802"|"AA Summer Camp 2025"|"AA"|"20250731"|"20250813"|"2 weeks"|"20250726170302"|"AA00144"|"."|"N"
"S045761"|"AA Summer Camp 2025"|"AA"|"20250731"|"20250813"|"2 weeks"|"20250726170310"|"AA00097"|""|"N"
"S045762"|"AA Summer Camp 2025"|"AA"|"20250731"|"20250813"|"2 weeks"|"20250726170332"|"AA00097"|""|"N"
"S045568"|"AA Summer Camp 2025"|"AA"|"20250731"|"20250813"|"2 weeks"|"20250726170332"|"AA00144"|"."|"N"
"S045540"|"AA Summer Camp 2025"|"AA"|"20250731"|"20250813"|"2 weeks"|"20250726170359"|"AA00144"|"."|"N"
"S043789"|"AA Summer Camp 2025"|"AA"|"20250731"|"20250813"|"2 weeks"|"20250726170434"|"AA00144"|"."|"N"
"S045763"|"AA Summer Camp 2025"|"AA"|"20250731"|"20250813"|"2 weeks"|"20250726170853"|"AA00144"|"."|"N"
"S045515"|"AA Summer Camp 2025"|"AA"|"20250731"|"20250813"|"2 weeks"|"20250726171046"|"AA00144"|"."|"N"
"S044626"|"AA Summer Camp 2025"|"AA"|"20250731"|"20250813"|"2 weeks"|"20250728145914"|"AA00136"|"."|"N"
"S045335"|"AA Summer Camp 2025"|"AA"|"20250731"|"20250813"|"2 weeks"|"20250728150101"|"AA00136"|"."|"N"
"S044838"|"AA Summer Camp 2025"|"AA"|"20250731"|"20250813"|"2 weeks"|"20250728150131"|"AA00136"|"."|"N"
"S045768"|"AA Summer Camp 2025"|"AA"|"20250731"|"20250813"|"2 weeks"|"20250728152054"|"AA00136"|"."|"N"
"S045769"|"AA Summer Camp 2025"|"AA"|"20250731"|"20250813"|"2 weeks"|"20250728152601"|"AA00136"|"."|"N"
"S045770"|"AA Summer Camp 2025"|"AA"|"20250731"|"20250813"|"2 weeks"|"20250728153022"|"AA00136"|"."|"N"
"S045079"|"AA Summer Camp 2025"|"AA"|"20250731"|"20250813"|"2 weeks"|"20250728153546"|"AA00136"|"."|"N"
