"aa_id"|"enquiryaction"|"contactrefused"|"enquirylog"|"lastupdate"|"staffid"
"S044422"|""|" "|""|"20250210171938"|"AA00011"
"S045325"|""|" "|""|"20250213150411"|"AA00107"
"S045336"|""|" "|""|"20250218115923"|"AA00107"
"T013597"|""|" "|""|"20250219094403"|"AA00136"
"S045342"|""|" "|""|"20250219135924"|"AA00011"
"S045337"|""|" "|""|"20250220105633"|"AA00011"
"S045347"|""|" "|""|"20250221165630"|"AA00107"
"S043728"|""|" "|""|"20250222102908"|"AA00107"
"S045351"|""|" "|""|"20250222105952"|"AA00107"
"S045349"|""|" "|""|"20250222121806"|"AA00107"
"S045349"|""|" "|""|"20250222121958"|"AA00107"
"S045361"|""|" "|""|"20250224165715"|"AA00136"
"S045356"|""|" "|""|"20250224171340"|"AA00011"
"S045355"|""|" "|""|"20250225154818"|"AA00136"
"S045364"|""|" "|""|"20250228142651"|"AA00011"
"S045364"|""|" "|""|"20250228142914"|"AA00011"
"T013611"|""|" "|""|"20250303151443"|"AA00136"
"T013611"|""|" "|""|"20250303151449"|"AA00136"
"T013612"|""|" "|""|"20250303151616"|"AA00136"
"S045371"|""|" "|""|"20250303151720"|"AA00136"
"T013614"|"Left Message to Con Team"|" "|"From iSlash Lai Mei LAM (S042577) 5169 3381"|"20250303170354"|"AA00107"
"S044786"|""|" "|""|"20250304102259"|"AA00107"
"S044786"|""|" "|""|"20250304133158"|"AA00107"
"S045372"|"Oral & Con Booked"|" "|""|"20250304134729"|"AA00107"
"S045370"|"Oral & Con Booked"|" "|""|"20250304135912"|"AA00107"
"S045366"|"Oral & Con Booked"|" "|""|"20250304155208"|"AA00107"
"S045364"|""|" "|""|"20250307105837"|"AA00011"
"S045373"|"Oral & Con Booked"|" "|""|"20250310122630"|"AA00136"
"S045373"|"Oral & Con Booked"|" "|""|"20250310122717"|"AA00136"
"S045374"|"Oral & Con Booked"|" "|""|"20250310122717"|"AA00136"
"S045373"|"Oral & Con Booked"|" "|""|"20250310122854"|"AA00136"
"T013622"|"Oral & Con Booked"|" "|""|"20250310122859"|"AA00136"
"T013653"|"Oral & Con Booked"|" "|""|"20250310124214"|"AA00136"
"T013654"|"Oral & Con Booked"|" "|""|"20250310124215"|"AA00136"
"T013686"|""|" "|""|"20250311104234"|"AA00136"
"T013687"|""|" "|""|"20250311104234"|"AA00136"
"S045375"|"Oral & Con Booked"|" "|""|"20250311172913"|"AA00136"
"S045376"|"Oral & Con Booked"|" "|""|"20250311174839"|"AA00136"
"S045389"|""|" "|""|"20250312104747"|"AA00011"
"S045389"|""|" "|""|"20250312104814"|"AA00011"
"S045379"|""|" "|""|"20250313104418"|"AA00011"
"S045379"|""|" "|""|"20250313104534"|"AA00011"
"S045380"|""|" "|""|"20250314112327"|"AA00011"
"S045380"|""|" "|""|"20250314112412"|"AA00011"
"S045396"|""|" "|""|"20250314151827"|"AA00011"
"S045397"|""|" "|""|"20250314151827"|"AA00011"
"S045396"|""|" "|""|"20250314151921"|"AA00011"
"S045397"|""|" "|""|"20250314151941"|"AA00011"
"S045356"|""|" "|""|"20250315111450"|"AA00011"
"S045542"|""|" "|""|"20250315153215"|"AA00011"
"S045382"|"Oral & Con Booked"|" "|""|"20250317110722"|"AA00136"
"S045382"|"Oral & Con Booked"|" "|""|"20250317110735"|"AA00136"
"T013696"|"Oral & Con Booked"|" "|""|"20250317114513"|"AA00139"
"S045385"|"Oral & Con Booked"|" "|""|"20250317134159"|"AA00136"
"S045384"|"Oral & Con Booked"|" "|""|"20250317134159"|"AA00136"
"S045385"|"Oral & Con Booked"|" "|""|"20250317134211"|"AA00136"
"T013699"|"Oral & Con Booked"|" "|""|"20250317134213"|"AA00136"
"S045387"|""|" "|""|"20250318101742"|"AA00139"
"S045388"|""|" "|""|"20250318153025"|"AA00139"
"S045390"|"Oral & Con Booked"|" "|""|"20250319133820"|"AA00136"
"T013703"|"Oral & Con Booked"|" "|""|"20250319133820"|"AA00136"
"S045390"|"Oral & Con Booked"|" "|""|"20250319133832"|"AA00136"
"S045391"|"Oral & Con Booked"|" "|""|"20250319133833"|"AA00136"
"S044604"|""|" "|""|"20250319151954"|"AA00011"
"S044605"|""|" "|""|"20250319152120"|"AA00011"
"S045393"|""|" "|""|"20250320105613"|"AA00011"
"S045386"|""|" "|""|"20250320141700"|"AA00011"
"S045398"|""|" "|""|"20250321174014"|"AA00011"
"S042658"|""|" "|""|"20250322100846"|"AA00011"
"S044888"|""|" "|""|"20250324102945"|"AA00011"
"S045467"|""|" "|""|"20250324150306"|"AA00011"
"S045456"|""|" "|""|"20250324163529"|"AA00011"
"S045456"|""|" "|""|"20250324163610"|"AA00011"
"S045417"|""|" "|""|"20250324171628"|"AA00011"
"S045402"|"Oral & Con Booked"|" "|""|"20250325150917"|"AA00136"
"S045416"|""|" "|""|"20250327151618"|"AA00011"
"S045419"|""|" "|""|"20250329150015"|"AA00011"
"T013719"|""|" "|""|"20250331145359"|"AA00011"
"S045420"|"Oral & Con Booked"|" "|""|"20250401110406"|"AA00136"
"S045462"|""|" "|""|"20250402142321"|"AA00011"
"S045462"|""|" "|""|"20250402142326"|"AA00011"
"S044348"|""|" "|""|"20250405114104"|"AA00011"
"S045464"|""|" "|""|"20250407121145"|"AA00011"
"S045364"|""|" "|""|"20250407122655"|"AA00011"
"S045461"|"Oral & Con Booked"|" "|""|"20250407165256"|"AA00136"
"S045337"|""|" "|""|"20250409104649"|"AA00011"
"S045400"|""|" "|""|"20250410170601"|"AA00011"
"S045465"|""|" "|""|"20250410182331"|"AA00011"
"S045463"|""|" "|""|"20250410185351"|"AA00139"
"S045463"|""|" "|""|"20250410185502"|"AA00011"
"S045463"|""|" "|""|"20250410185531"|"AA00011"
"S045466"|""|" "|""|"20250411134731"|"AA00011"
"S044866"|""|" "|""|"20250411151859"|"AA00011"
"S045477"|"Oral & Con Booked"|" "|""|"20250412094438"|"AA00136"
"S045468"|""|" "|""|"20250412170736"|"AA00011"
"S045470"|"AA Test + Oral & Con Booked"|" "|""|"20250414103443"|"AA00136"
"S045469"|"Oral & Con Booked"|" "|""|"20250414135404"|"AA00136"
"S045470"|""|" "|""|"20250417113257"|"AA00011"
"S045482"|""|" "|""|"20250425114327"|"AA00011"
"S045481"|""|" "|""|"20250425132722"|"AA00011"
"S045469"|""|" "|""|"20250425174027"|"AA00011"
"S045490"|""|" "|""|"20250426141226"|"AA00011"
"S045472"|""|" "|""|"20250426144607"|"AA00011"
"S044671"|""|" "|""|"20250430114840"|"AA00011"
"S044815"|""|" "|""|"20250502101913"|"AA00011"
"S044815"|""|" "|""|"20250502102036"|"AA00011"
"S045537"|""|" "|""|"20250502111535"|"AA00011"
"S045489"|""|" "|""|"20250503105258"|"AA00011"
"S045511"|""|" "|""|"20250503182644"|"AA00011"
"S045491"|""|" "|""|"20250506162515"|"AA00139"
"S045491"|""|" "|""|"20250506162612"|"AA00139"
"S045491"|""|" "|""|"20250506162619"|"AA00139"
"S045491"|""|" "|""|"20250507102447"|"AA00011"
"T013746"|""|" "|""|"20250508141007"|"AA00011"
"S045503"|""|" "|""|"20250508144428"|"AA00011"
"S045510"|""|" "|""|"20250510113404"|"AA00136"
"S045510"|""|" "|""|"20250510113438"|"AA00136"
"S045510"|""|" "|""|"20250510113457"|"AA00136"
"S045513"|""|" "|""|"20250513120027"|"AA00098"
"T013753"|"Oral & Con Booked"|" "|""|"20250513150231"|"AA00136"
"S045516"|""|" "|""|"20250514134846"|"AA00011"
"S045518"|""|" "|""|"20250515103216"|"AA00139"
"S045518"|""|" "|""|"20250515103223"|"AA00139"
"S045494"|""|" "|""|"20250515104453"|"AA00011"
"S045523"|""|" "|""|"20250515161956"|"AA00011"
"S045521"|"Oral & Con Booked"|" "|""|"20250516103249"|"AA00136"
"S045521"|"Oral & Con Booked"|" "|""|"20250516103255"|"AA00136"
"S045524"|""|" "|""|"20250519122306"|"AA00011"
"S042089"|""|" "|""|"20250519151739"|"AA00011"
"S042089"|""|" "|""|"20250519152008"|"AA00011"
"S045515"|""|" "|""|"20250521112622"|"AA00011"
"S045525"|"Oral & Con Booked"|" "|""|"20250521175245"|"AA00136"
"S045529"|""|" "|""|"20250522120503"|"AA00011"
"S045531"|""|" "|""|"20250522134529"|"AA00011"
"S045528"|""|" "|""|"20250523111813"|"AA00011"
"S042089"|""|" "|""|"20250526105158"|"AA00011"
"S045536"|""|" "|""|"20250526125658"|"AA00011"
"S045590"|""|" "|""|"20250526163107"|"AA00011"
"S045590"|""|" "|""|"20250526163113"|"AA00011"
"S045591"|""|" "|""|"20250526163314"|"AA00011"
"S045533"|"Oral & Con Booked"|" "|""|"20250527142236"|"AA00136"
"T013765"|""|" "|""|"20250528103511"|"AA00140"
"S045540"|"Oral & Con Booked"|" "|""|"20250528104328"|"AA00140"
"S045536"|""|" "|""|"20250528113217"|"AA00011"
"S045538"|""|" "|""|"20250528141528"|"AA00011"
"S045539"|"Oral & Con Booked"|" "|""|"20250528161128"|"AA00136"
"S045541"|""|" "|""|"20250602105618"|"AA00097"
"S045543"|"Oral & Con Booked"|" "|""|"20250602174942"|"AA00136"
"S045543"|"Oral & Con Booked"|" "|""|"20250602174945"|"AA00136"
"S045545"|"Oral & Con Booked"|" "|""|"20250604104234"|"AA00140"
"S045545"|"Oral & Con Booked"|" "|""|"20250604104240"|"AA00140"
"S045564"|"Oral & Con Booked"|" "|""|"20250606145741"|"AA00136"
