"aa_id"|"event"|"lastupdate"|"staffid"|"remarks"|"email_sent"
"S007907"|"MUSIC AUDITION-TOP SCHOOLS WEEKEND 2012"|"20120703163503"|"AA00029"|""|"N"
"S007907"|"MUSIC AUDITION-TOP SCHOOLS WEEKEND 2012"|"20120703163727"|"AA00029"|""|"N"
"S008740"|"TOP SCHOOLS WEEKEND 2012"|"20120501"|""|""|"N"
"S008740"|"TOP SCHOOLS WEEKEND 2012"|"20120501"|""|""|"N"
"S008740"|"TOP SCHOOLS WEEKEND 2012"|"20120501"|""|""|"N"
"S008740"|"TOP SCHOOLS WEEKEND 2012"|"20120501"|""|""|"N"
"S008740"|"TOP SCHOOLS WEEKEND 2012"|"20120501"|""|""|"N"
"S008740"|"TOP SCHOOLS WEEKEND 2012"|"20120501"|""|""|"N"
"S008740"|"TOP SCHOOLS WEEKEND 2012"|"20120501"|""|""|"N"
"S008740"|"TOP SCHOOLS WEEKEND 2012"|"20120501"|""|""|"N"
"S005373"|"MUSIC AUDITION-TOP SCHOOLS WEEKEND 2012"|"20120501"|""|""|"N"
"S005373"|"MUSIC AUDITION-TOP SCHOOLS WEEKEND 2012"|"20120501"|""|""|"N"
"S006302"|"TOP SCHOOLS WEEKEND 2012"|"20120501"|""|""|"N"
"S007865"|"MUSIC AUDITION-TOP SCHOOLS WEEKEND 2012"|"20120501"|""|""|"N"
"S007865"|"MUSIC AUDITION-TOP SCHOOLS WEEKEND 2012"|"20120501"|""|""|"N"
"S007522"|"MUSIC AUDITION-TOP SCHOOLS WEEKEND 2012"|"20120706143310"|"AA00031"|""|"N"
"S009180"|"MUSIC AUDITION-TOP SCHOOLS WEEKEND 2012"|"20120704114516"|"AA00002"|""|"N"
"S008740"|"MUSIC AUDITION-TOP SCHOOLS WEEKEND 2012"|"20120703190811"|"AA00002"|""|"N"
"S007865"|"MUSIC AUDITION-TOP SCHOOLS WEEKEND 2012"|"20120704123726"|"AA00002"|""|"N"
"S009655"|"MUSIC AUDITION-TOP SCHOOLS WEEKEND 2012"|"20120706151114"|"AA00031"|""|"N"
"S009099"|"TOP SCHOOLS WEEKEND 2012 TUESDAY"|"20120914182055"|"AA00003"|""|"N"
"S009099"|"TOP SCHOOLS WEEKEND 2012 TUESDAY"|"20120915160957"|"AA00003"|""|"N"
"S002294"|"TOP SCHOOLS WEEKEND 2012 TUESDAY"|"20120915162640"|"AA00003"|""|"N"
"S009403"|"TOP SCHOOLS WEEKEND 2012"|"20120501"|""|""|"N"
"S006417"|"TOP SCHOOLS WEEKEND 2012"|"20120501"|""|""|"N"
"S008642"|"TOP SCHOOLS WEEKEND 2012"|"20120501"|""|""|"N"
"S009098"|"TOP SCHOOLS WEEKEND 2012"|"20120501"|""|""|"N"
"S007824"|"TOP SCHOOLS WEEKEND 2012"|"20120501"|""|""|"N"
"S008470"|"TOP SCHOOLS WEEKEND 2012"|"20120501"|""|""|"N"
