"aa_id"|"consultant"|"priority"|"lastupdate"|"staffid"|"remarks"
"S011860"|"AA00007"|"N"|"20130316173901"|""|""
"S011873"|"AA00007"|"N"|"20130320100303"|""|""
"S006451"|"AA00004"|"1"|"20120806190240"|""|""
"S009294"|"AA00002"|"2"|"20130321113851"|"AA00025"|""
"S005630"|""|"N"|"20130313193638"|"AA00003"|""
"S009294"|"AA00002"|"4"|"20130321121650"|"AA00003"|""
"S009294"|"AA00020"|"2"|"20130321113851"|"AA00025"|""
"S009294"|"AA00029"|"3"|"20130321113851"|"AA00025"|""
"S009294"|"AA00002"|"2"|"20130321122320"|""|""
"S009294"|"AA00002"|"2"|"20130321122320"|""|""
"S003750"|"AA00020"|"3"|"20120806190221"|""|""
"S003750"|"AA00002"|"2"|"20120806190221"|""|""
"S003750"|"AA00006"|"1"|"20120806190221"|""|""
"S003750"|"AA00006"|"1"|"20120806190221"|""|""
"S030010"|""|"N"|"20130316113157"|"AA00025"|""
"T000093"|""|"N"|"20130316113046"|"AA00025"|""
"S010106"|"AA00019"|"1"|"20120831154552"|""|""
"S030009"|""|"N"|"20130316112917"|"AA00003"|""
"S030011"|""|"N"|"20130316113213"|"AA00025"|""
"S011919"|"AA00002"|"N"|"20130326160716"|"AA00025"|""
"S011921"|"AA00002"|"N"|"20130327095838"|"AA00025"|""
"S004544"|"AA00004"|"1"|"20120806190227"|""|""
"S011925"|"AA00020"|"N"|"20130328114626"|"AA00025"|""
"T000084"|""|"N"|"20130316113110"|"AA00025"|""
"T000067"|""|"N"|"20130316113040"|"AA00025"|""
"S030024"|""|"N"|"20130328173259"|"AA00027"|""
"T000104"|""|"N"|"20130316113021"|"AA00025"|""
"T000090"|""|"N"|"20130316112958"|"AA00025"|""
"T000091"|""|"N"|"20130316113007"|"AA00025"|""
"T000150"|""|"N"|"20130319104506"|"AA00025"|""
"T000128"|""|"N"|"20130316102212"|"AA00003"|""
"T000102"|""|"N"|"20130316113054"|"AA00025"|""
"T000061"|""|"N"|"20130316113100"|"AA00025"|""
"T000096"|""|"N"|"20130316113105"|"AA00025"|""
"T000085"|""|"N"|"20130316113115"|"AA00025"|""
"T000087"|""|"N"|"20130316113120"|"AA00025"|""
"T000088"|""|"N"|"20130316113125"|"AA00025"|""
"T000089"|""|"N"|"20130316113130"|"AA00025"|""
"T000092"|""|"N"|"20130316113135"|"AA00025"|""
"T000095"|""|"N"|"20130316113146"|"AA00025"|""
"T000094"|""|"N"|"20130316113141"|"AA00025"|""
"T000101"|""|"N"|"20130316113152"|"AA00025"|""
"T000105"|""|"N"|"20130316113202"|"AA00025"|""
"T000099"|""|"N"|"20130316113207"|"AA00025"|""
"S011391"|"AA00006"|"1"|"20130303144904"|""|""
"S011391"|"AA00002"|"2"|"20130303144904"|""|""
"S011391"|"AA00020"|"3"|"20130303144904"|""|""
"S006500"|"AA00002"|"2"|"20120806190240"|""|""
"S006500"|"AA00002"|"4"|"20130408113434"|"AA00027"|""
"S006500"|"AA00006"|"1"|"20120806190240"|""|""
"S008018"|"AA00020"|"1"|"20120806190254"|""|""
"S008018"|"AA00029"|"2"|"20120806190254"|""|""
"S008018"|"AA00019"|"3"|"20120806190254"|""|""
"S011961"|"AA00003"|"1"|"20130410131009"|""|""
"S009977"|"AA00006"|"1"|"20120813190526"|""|""
"S009977"|"AA00002"|"2"|"20120813190526"|""|""
"S009977"|"AA00020"|"3"|"20120813190526"|""|""
"S007869"|"AA00006"|"1"|"20120806190252"|""|""
"S007869"|"AA00006"|"1"|"20120806190252"|""|""
"S007869"|"AA00002"|"2"|"20120806190252"|""|""
"S007869"|"AA00020"|"3"|"20120806190252"|""|""
"S011895"|"AA00019"|"1"|"20130326161205"|""|""
"S006913"|"AA00006"|"1"|"20120806190243"|""|""
"S006913"|"AA00002"|"2"|"20120806190243"|""|""
"S006913"|"AA00020"|"3"|"20120806190243"|""|""
"S004544"|"AA00004"|"1"|"20130328105803"|""|""
"S010989"|"AA00006"|"1"|"20121111190222"|""|""
"S010989"|"AA00002"|"2"|"20121111190222"|""|""
"S010989"|"AA00020"|"3"|"20121111190222"|""|""
"S011963"|"AA00002"|"1"|"20130412130136"|""|""
"S009369"|"AA00006"|"1"|"20120806190310"|""|""
"S009369"|"AA00002"|"2"|"20120806190310"|""|""
"S011376"|"AA00020"|"1"|"20130402130000"|""|""
"S012003"|"AA00019"|"1"|"20130419162426"|""|""
"S012007"|"AA00029"|"1"|"20130420113948"|""|""
"S011961"|""|"4"|"20130420160107"|"AA00036"|""
"S011961"|""|"3"|"20130420160135"|"AA00036"|""
"S011995"|""|"2"|"20130420160123"|"AA00036"|""
"S012012"|"AA00019"|"1"|"20130422112455"|""|""
