"aa_id"|"consultant"|"priority"|"lastupdate"|"staffid"|"remarks"
"S045473"|"AA00129"|"5"|"20250419084713"|"AA00139"|""
"S045474"|"AA00007"|"1"|"20250422160819"|"AA00136"|""
"S045474"|"AA00133"|"2"|"20250422160827"|"AA00136"|""
"S045474"|"AA00084"|"3"|"20250422160834"|"AA00136"|""
"S045474"|"AA00115"|"4"|"20250422160842"|"AA00136"|""
"S045474"|"AA00129"|"5"|"20250422160848"|"AA00136"|""
"S045475"|"AA00007"|"1"|"20250422171129"|"AA00136"|""
"S045475"|"AA00133"|"2"|"20250422171138"|"AA00136"|""
"S045475"|"AA00084"|"3"|"20250422171143"|"AA00136"|""
"S045475"|"AA00115"|"4"|"20250422171154"|"AA00136"|""
"S045475"|"AA00129"|"5"|"20250422171203"|"AA00136"|""
"S045476"|"AA00084"|"1"|"20250423103600"|"AA00136"|""
"S045476"|"AA00007"|"2"|"20250423103610"|"AA00136"|""
"S045476"|"AA00115"|"3"|"20250423103618"|"AA00136"|""
"S045476"|"AA00129"|"4"|"20250423103625"|"AA00136"|""
"S045476"|"AA00133"|"5"|"20250423103631"|"AA00136"|""
"S044190"|"AA00133"|"2"|"20250423120335"|"AA00011"|""
"S044190"|"AA00115"|"4"|"20250423120341"|"AA00011"|""
"S044190"|"AA00129"|"5"|"20250423120348"|"AA00011"|""
"S043921"|"AA00080"|"999"|"20250423155731"|"AA00136"|""
"S043921"|"AA00129"|"4"|"20250423155739"|"AA00136"|""
"S040762"|"AA00082"|"999"|"20250423171323"|"AA00136"|"minor"
"S040762"|"AA00133"|"2"|"20250423171332"|"AA00136"|""
"S045478"|"AA00007"|"1"|"20250423214132"|""|""
"S045478"|"AA00084"|"2"|"20250424100043"|"AA00011"|""
"S045478"|"AA00133"|"3"|"20250424100049"|"AA00011"|""
"S045478"|"AA00129"|"4"|"20250424100054"|"AA00011"|""
"S045478"|"AA00115"|"5"|"20250424100100"|"AA00011"|""
"S045337"|"AA00133"|"3"|"20250424151345"|"AA00011"|""
"S045479"|"AA00115"|"1"|"20250425130643"|"AA00136"|""
"S045479"|"AA00084"|"2"|"20250425130647"|"AA00136"|""
"S045479"|"AA00007"|"3"|"20250425130653"|"AA00136"|""
"S045479"|"AA00133"|"4"|"20250425130701"|"AA00136"|""
"S045479"|"AA00129"|"N"|"20250425130708"|"AA00136"|""
"S045480"|"AA00097"|"1"|"20250425151323"|"AA00011"|""
"S045481"|"AA00084"|"1"|"20250426111129"|"AA00011"|""
"S045481"|"AA00133"|"2"|"20250426111135"|"AA00011"|""
"S045481"|"AA00007"|"3"|"20250426111141"|"AA00011"|""
"S045481"|"AA00115"|"4"|"20250426111147"|"AA00011"|""
