"aa_id"|"examschool"|"examschooltype"|"subject"|"result"|"gov"|"cat"|"qualification"|"piece"|"composer"|"piority"|"lastupdate"|"staffid"|"remarks"|"event"
"S008097"|""|"Music Audition"|"Vocal"|""|"N/A"|""|"ABRSM G8 [result pending] Aug 2012"|"Du bist die Ruh"|"Schubert"|2|"20120908173245"|"AA00003"|""|"MUSIC AUDITION-TOP SCHOOLS WEEKEND 2012"
"S008097"|""|"Music Audition"|"Vocal"|""|"N/A"|""|"Please also see recommendation letter from school music teacher"|""|""|2|"20120908173245"|"AA00003"|""|"MUSIC AUDITION-TOP SCHOOLS WEEKEND 2012"
"S008097"|""|"Music Audition"|"Trumpet"|""|"N/A"|""|"ABRSM G5 [107] Nov 2006"|"Etude (in form of a Cadenza)"|"Paolo Longinotti"|3|"20120908175527"|"AA00003"|""|"MUSIC AUDITION-TOP SCHOOLS WEEKEND 2012"
"S008097"|""|"Music Audition"|"Trumpet"|""|"N/A"|""|"ABRSM G2 [134] Oct 2005"|""|""|3|"20120908175527"|"AA00003"|""|"MUSIC AUDITION-TOP SCHOOLS WEEKEND 2012"
"S007155"|""|"Music Audition"|"Bassoon"|""|"N/A"|""|"ABRSM G6 [125] May 2012"|"Sonatine: 2nd Movement, Aria"|"Tansman"|2|"20120908185509"|"AA00003"|""|"MUSIC AUDITION-TOP SCHOOLS WEEKEND 2012"
"S007146"|""|"Music Audition"|"Violin"|""|"N/A"|""|"ABRSM G7 [130] Nov 2011"|"Violin Concerto in E minor Op.64"|"Felix Mendelssohn-Bartholdy"|1|"20120908191946"|"AA00003"|""|"MUSIC AUDITION-TOP SCHOOLS WEEKEND 2012"
"S007146"|""|"Music Audition"|"Violin"|""|"N/A"|""|"ABRSM G5 [127] Oct 2009"|"Concerto in E major Op.3 No. 12"|"Antonio Vivaldi"|1|"20120908191946"|"AA00003"|""|"MUSIC AUDITION-TOP SCHOOLS WEEKEND 2012"
"S007146"|""|"Music Audition"|"Oboe"|""|"N/A"|""|"ABRSM G7 [126] Apr 2012"|"Konzert VIIg/C1"|"Haydn"|2|"20120908192255"|"AA00003"|""|"MUSIC AUDITION-TOP SCHOOLS WEEKEND 2012"
"S007146"|""|"Music Audition"|"Oboe"|""|"N/A"|""|"ABRSM G4 [116] May 2010"|""|""|2|"20120908192255"|"AA00003"|""|"MUSIC AUDITION-TOP SCHOOLS WEEKEND 2012"
"S009132"|""|"Music Audition"|"Cello"|""|"N/A"|""|"ABRSM G8 [127] Oct 2011"|"Tarantella Op.23"|"William Henry Squire"|1|"20120908194645"|"AA00003"|""|"MUSIC AUDITION-TOP SCHOOLS WEEKEND 2012"
"S009132"|""|"Music Audition"|"Cello"|""|"N/A"|""|"ABRSM G6 [136] Nov 2009"|"Chant du Ménestrel Op.71"|"Alexander Glazunov"|1|"20120908194645"|"AA00003"|""|"MUSIC AUDITION-TOP SCHOOLS WEEKEND 2012"
"S009132"|""|"Music Audition"|"Piano"|""|"N/A"|""|"ABRSM G5 [116] Sep 2009"|""|""|2|"20120908195052"|"AA00003"|""|"MUSIC AUDITION-TOP SCHOOLS WEEKEND 2012"
"S004273"|""|"Music Audition"|"Cello"|""|"N/A"|""|"ABRSM G8 [136] Oct 2011"|"Sonata in E major Op. 38 1st Movement"|"Brahms"|1|"20120908200123"|"AA00003"|""|"MUSIC AUDITION-TOP SCHOOLS WEEKEND 2012"
"S004273"|""|"Music Audition"|"Piano"|""|"N/A"|""|"ABRSM G8 [130] Apr 2011"|""|""|2|"20120908200506"|"AA00003"|""|"MUSIC AUDITION-TOP SCHOOLS WEEKEND 2012"
