"aa_id"|"infotype"|"info"|"lastupdate"|"staffid"|"remarks"
"S012366"|"Received News from AA"|"Friend's recommendation"|"20130709111428"|"AA00025"|""
"S012369"|"Studying in UK"|"Yes,Grandparents at Coventry"|"20130710123014"|"AA00038"|""
"S012430"|"Special Talents"|"Cousins and some of my family members"|"20130716113023"|"AA00025"|""
"S012449"|"Reasons to Study in UK"|"1. want to study in school that can inspire students to broaden their view 
2. quality teaching staffs
3. balanced between academic sports and music"|"20130719110757"|"AA00025"|""
"S012449"|"Reasons to Study in UK"|"1. want to study in school that can inspire students to broaden their view. 2. quality teaching staffs. 3. balanced between academic sports and music"|"20130719110852"|"AA00025"|""
"S012452"|"Preferred School Type"|"Yes, London or southern England"|"20130719155058"|"AA00011"|""
"S012455"|"Received News from AA"|"Kevin is a brother of Natalie Wong Tzee Tsin, who had applied through Academic Asia for her F6 studies with Woldingham School"|"20130720101335"|"AA00025"|""
"S012366"|"Reasons to Study in UK"|"I would like to study in UK for several reasons, first of all, it would be an advantage when applying for HKU since it is a very good school that is competitive. I personally believe that studying in UK will be a good opportunity to meet new friends and study in a new environment. UK boarding schools seem to provide a loving and warm atmosphere where I would enjoy my time there while making me a more independent person in general."|"20130709111412"|"AA00025"|""
"S012366"|"Reasons to Study in UK"|"I would like to study in UK for several reasons, first of all, it would be an advantage when applying for HKU since it is a very good school that is competitive. 
I personally believe that studying in UK will be a good opportunity to meet new friends and study in a new environment. 
UK boarding schools seem to provide a loving and warm atmosphere where I would enjoy my time there while making me a more independent person in general."|"20130720173513"|"AA00011"|""
"S012366"|"School Preferred"|"Charterhouse School Bradfield College Caterham School St. Edwards Oxford"|"20130709111400"|"AA00025"|""
"S012366"|"Interests / Hobbies"|"Track and Field, Soccer(football), Tennis, Cross Country. Art, Design Technology, Reading, Travelling"|"20130709111338"|"AA00025"|""
"S012366"|"Interests / Hobbies"|"Track and Field, Soccer(football), Tennis, 
Cross Country. Art, Design Technology, 
Reading, Travelling"|"20130720173635"|"AA00011"|""
"S012366"|"Reasons to Study in UK"|"I would like to study in UK for several reasons, 
first of all, it would be an advantage when applying for 
HKU since it is a very good school that is competitive. 
I personally believe that studying in UK will be a 
good opportunity to meet new friends and study in 
a new environment. 
UK boarding schools seem to provide a 
loving and warm atmosphere where I would 
enjoy my time there while making me a more 
independent person in general."|"20130720173554"|"AA00011"|""
"S012366"|"School Preferred"|"Charterhouse School Bradfield College 
Caterham School St. Edwards Oxford"|"20130720173611"|"AA00011"|""
"S012366"|"Reasons to Study in UK"|"I would like to study in UK for several reasons, first of all, it would be an advantage when applying for HKU since it is a very good school that is competitive. I personally believe that studying in UK will be a good opportunity to meet new friends and study in a new environment. UK boarding schools seem to provide a 
loving and warm atmosphere where I would enjoy my time there while making me a more independent person in general."|"20130720173856"|"AA00011"|""
"S012366"|"Reasons to Study in UK"|"I would like to study in UK for several reasons, first of all, it would be an advantage when applying for HKU since it is a very good school that is competitive. I personally believe that studying in UK will be a good opportunity to meet new friends and study in a new environment. UK boarding schools seem to provide a 
loving and warm atmosphere where I would enjoy my time there while making me a more independent person in general."|"20130720174014"|"AA00025"|""
