"aa_id"|"case"|"pickupby"|"flightno"|"airline"|"arrivalairport"|"arrivaldate"|"arrivaltime"|"predepart"|"joininst"|"lastupdate"|"staffid"|"remarks"|"journeyno"|"route"
"S007974"|"Y"|"WHG"|"SQ328"|"Singapore Airlines"|"Manchester International Airport"|"20130905"|"0750"|""|""|"20130615153435"|"AA00019"|"Rainky can't return to school until 7/9 so will require homestay for the first 2 nights
Airport transfer and homestay request sent to WHG (15/6/2013)"|0|0
"S011357"|"Y"|"Etherton Education"|"CZ303"|""|"London Heathrow - T4"|"20130708"|"19:05"|""|""|"20130703103928"|"AA00002"|""|0|0
"S011357"|"Y"|"Etherton Education"|"CZ303"|""|"London Heathrow - T4"|"20130708"|"19:05"|""|""|"20130703103944"|"AA00002"|""|0|0
"S011357"|"Y"|"Etherton Education"|"CZ303"|""|"London Heathrow - T4"|"20130708"|"19:05"|""|""|"20130703104218"|"AA00002"|"cfm"|0|0
"S009294"|"Y"|"Etherton Education"|"CX255"|""|"London Heathrow"|"20130805"|"19:05"|""|""|"20130703112911"|"AA00036"|""|0|0
"S009294"|"N"|""|"CX255"|""|"London Heathrow"|"20130805"|"19:05"|""|""|"20130703112919"|"AA00036"|""|0|0
"S009294"|"N"|""|"CX255"|""|"London Heathrow"|"20130805"|"19:05"|""|""|"20130703112924"|"AA00036"|""|0|0
"S009294"|"Y"|"Etherton Education"|"CX255"|""|"London Heathrow"|"20130805"|"19:05"|""|""|"20130703113020"|"AA00036"|""|0|0
"S009294"|"Y"|"Etherton Education"|"CX255"|""|"London Heathrow"|"20130805"|"19:05"|""|""|"20130703113022"|"AA00036"|""|0|0
"S009294"|"N"|""|"CX255"|""|"London Heathrow"|"20130805"|"06:20"|""|""|"20130703113900"|"AA00036"|""|0|0
"S009294"|"N"|""|"CX255"|""|"London Heathrow"|"20130805"|"06:20"|""|""|"20130703113902"|"AA00036"|""|0|0
"S009294"|"Y"|"Francessa Palmer"|"CX255"|""|"London Heathrow"|"20130805"|"06:20"|""|""|"20130703114619"|"AA00036"|"Francessa Palmer: 07894806973
Arriveal Terminal : 3"|0|0
"S009294"|"Y"|"Francessa Palmer"|"CX255"|""|"London Heathrow"|"20130805"|"06:20"|""|""|"20130703114620"|"AA00036"|"Francessa Palmer: 07894806973
Arriveal Terminal : 3"|0|0
"S009294"|"Y"|"Francessa Palmer"|"CX255"|""|"London Heathrow"|"20130805"|"06:20"|""|""|"20130703114641"|"AA00036"|"Francessa Palmer: 07894806973
Arriveal Terminal : 3"|0|0
"S009294"|"Y"|"Francessa Palmer (Etherton Education)"|"CX255"|""|"London Heathrow - T3"|"20130805"|"06:20"|""|""|"20130703114859"|"AA00036"|"Francessa Palmer: 07894806973"|0|0
"S009294"|"Y"|"Francessa Palmer (Etherton Education)"|"CX255"|""|"London Heathrow - T3"|"20130805"|"06:20"|""|""|"20130703114901"|"AA00002"|"Francessa Palmer: 07894806973"|0|0
"S011357"|"Y"|"Etherton Education"|"CZ303"|""|"London Heathrow - T4"|"20130708"|"19:05"|""|""|"20130703104221"|"AA00002"|"cfm"|0|0
"S011357"|"Y"|"Etherton Education (Francessa Palmer)"|"CZ303"|""|"London Heathrow - T4"|"20130708"|"19:05"|""|""|"20130703114956"|"AA00002"|"Francessa Palmer: 07894806973"|0|0
"S005817"|"Y"|"School"|""|""|""|"20130702"|""|""|""|"20130702104805"|"AA00019"|"p wants sch to arrange pick up for Tommy, Mrs Chan and Tommy's sister"|0|0
"S005817"|"Y"|"School"|""|""|""|"20130702"|""|""|""|"20130703122113"|"AA00019"|"p wants sch to arrange pick up for Tommy, Mrs Chan and Tommy's sister.
3 Jul 13: request sent to sch

1st Journey
Date: 4th Sep 2013
Time: 10am
Location: Heathrow Terminal 5 -> School
Remark: Total number of passenger = 3 (Tommy, Mrs Chan and Tommy’s sister). The family will travel to Heathrow Terminal 5 to meet with the pick-up taxi/ coach.

2nd Journey
Date: 4th Sep 2013
Time: 3:30pm
Location: School -> Heathrow Terminal 5
Remark: Total number of passenger = 2 (Mrs Chan and Tommy’s sister). Please help to arrange a taxi to bring Mrs Chan and Tommy’s sister back to the airport."|0|0
