"aa_id"|"case"|"pickupby"|"flightno"|"airline"|"arrivalairport"|"arrivaldate"|"arrivaltime"|"predepart"|"joininst"|"lastupdate"|"staffid"|"remarks"|"journeyno"|"route"
"S011015"|"N"|""|""|""|""|"20130523"|""|""|""|"20130523133922"|"AA00002"|"does not need to arrange pickup. P will bring student to sch (D 23/5)"|0|0
"S030928"|"Y"|"School"|"Cathay Pacific CX255"|"0"|"London Heathrow T3"|"20140902"|"0620"|"family acknowledged confirmation"|""|"20140901114135"|"AA00032"|""|50|1
"S011357"|"Y"|"Etherton Education (Francessa Palmer)"|"CZ303"|""|"London Heathrow - T4"|"20130708"|"19:05"|""|""|"20130703140917"|"AA00002"|"Francessa Palmer: 07894806973
confirmed"|0|0
"S007974"|"Y"|"WHG"|"SQ328"|"Singapore Airlines"|"Manchester International Airport"|"20130905"|"0750"|""|""|"20130615153655"|"AA00019"|"Rainky can't return to school until 7/9 so will require homestay for the first 2 nights
Airport transfer and homestay request sent to WHG (15/6/2013)"|0|0
"S009294"|"Y"|"Francessa Palmer (Etherton Education)"|"CX255"|""|"London Heathrow - T3"|"20130805"|"06:20"|""|""|"20130703140935"|"AA00002"|"Francessa Palmer: 07894806973
confirmed"|0|0
"S004037"|"Y"|"St. Felix"|"CX237"|""|"London Heathrow Airport- Terminal 3"|"20130902"|"06:20"|""|""|"20130703151651"|"AA00036"|""|0|0
"S005817"|"Y"|"School"|""|""|""|"20130702"|""|""|""|"20130703192336"|"AA00019"|"p wants sch to arrange pick up for Tommy, Mrs Chan and Tommy's sister.
3 Jul 13: request sent to sch

1st Journey
Date: 3rd Sep 2013
Time: 10am
Location: Heathrow Terminal 5 -> School
Remark: Total number of passenger = 3 (Tommy, Mrs Chan and Tommy’s sister). The family will travel to Heathrow Terminal 5 to meet with the pick-up taxi/ coach.

2nd Journey
Date: 4th Sep 2013
Time: 3:30pm
Location: School -> Heathrow Terminal 5
Remark: Total number of passenger = 2 (Mrs Chan and Tommy’s sister). Please help to arrange a taxi to bring Mrs Chan and Tommy’s sister back to the airport."|0|0
"S011961"|"Y"|"Discovery Summer"|"CX255"|"Cathay Pacific"|"Heathrow"|"20130724"|"0620"|""|""|"20130704115926"|"AA00033"|"Enrolled to UM services"|0|0
"S011995"|"Y"|"Discovery Summer"|"CX251"|"Cathay Pacific"|"Heathrow"|"20130705"|"0540"|""|""|"20130704152606"|"AA00033"|"Enrolled to UM"|0|0
"S012036"|"Y"|"Discovery Summer"|"CX255"|"Cathay Pacific"|"Heathrow"|"20130731"|"0622"|""|""|"20130704160649"|"AA00033"|"Dad will wait in airport with kids until 9am pick up time"|0|0
"S012037"|"Y"|"Discovery Summer"|"CX255"|"Cathay Pacific"|"Heathrow"|"20130731"|"0622"|""|""|"20130704161247"|"AA00033"|"Dad will wait in airport with kids until 9am pick up time"|0|0
"S012057"|"Y"|"Discovery Summer-Private Transfer"|"CX239"|"Cathay Pacific"|"Heathrow"|"20130717"|"1615"|""|""|"20130704162301"|"AA00033"|"Sharing taxi with another student on arrival"|0|0
