"expo_id"|"school_id"|"applyyear"|"entranceexamdate"|"confirmed"|"applicationdeadline"|"lastupdate"|"staffid"|"remarks"
12|110|"Year 10"|"20181027"|"Y"|""|""|"AA00032"|""
12|110|"Year 12"|"20181027"|"Y"|""|""|"AA00032"|""
12|110|"Year 9"|"20181027"|"Y"|""|""|"AA00032"|""
12|20|"Year 10"|"20181027"|"Y"|""|""|""|"If you are Offered a place without further testing:

•Your consultant-in-charge will send you the offer document once available.
•Please download the school Registration Form and Confidential Report from the link below.
•Complete the school Registration Form and email to your consultant-in-charge with the acceptance document you will soon receive before the Acceptance Deadline stated on the offer letter.
•Since you have already paid HK$500 registration fee at the Expo, you are NOT required to pay the registration fee mentioned in the form.
•The Confidential Report is for your school teacher’s completion. Please return the completed report to your consultant-in-charge. 

If you are Encouraged to Take Exam:

•Exam will be held on Sat 27th Oct 2018.
•We will send you the exam details and timetable very soon.
•Please download the school Registration Form and Confidential Report from the link below.
•Complete the school Registration Form and return to your consultant-in-charge on the exam day.
•Since you have already paid HK$500 registration fee at the Expo, you are NOT required to pay the registration fee mentioned in the form.
•The Confidential Report is for your school teacher’s completion. Please return the completed report to your consultant-in-charge."
12|20|"Year 12"|"20181027"|"Y"|""|""|""|"If you are Offered a place without further testing:

•Your consultant-in-charge will send you the offer document once available.
•Please download the school Registration Form, Sixth Form Subject Choices Form, and Confidential Report from the link below.
•Complete the school Registration Form and Sixth Form Subject Choices Form, and email to your consultant-in-charge with the acceptance document you will soon receive before the Acceptance Deadline stated on the offer letter.
•Since you have already paid HK$500 registration fee at the Expo, you are NOT required to pay the registration fee mentioned in the form.
•The Confidential Report is for your school teacher’s completion. Please return the completed report to your consultant-in-charge. 

If you are Encouraged to Take Exam:

•Exam will be held on Sat 27th Oct 2018.
•We will send you the exam details and timetable very soon.
•Please download the school Registration Form, Sixth Form Subject Choices Form, and Confidential Report from the link below.
•Complete the school Registration Form and Sixth Form Subject Choices Form, and email to your consultant-in-charge ASAP, with the hard copy returned on the exam day.
•Since you have already paid HK$500 registration fee at the Expo, you are NOT required to pay the registration fee mentioned in the form.
•The Confidential Report is for your school teacher’s completion. Please return the completed report to your consultant-in-charge."
12|20|"Year 9"|"20181027"|"Y"|""|""|""|"If you are Encouraged to Take Exam:

•Exam will be held on Sat 27th Oct 2018.
•We will send you the exam details and timetable very soon.
•Please download the school Registration Form and Confidential Report from the link below.
•Complete the school Registration Form and return to your consultant-in-charge on the exam day.
•Since you have already paid HK$500 registration fee at the Expo, you are NOT required to pay the registration fee mentioned in the form.
•The Confidential Report is for your school teacher’s completion. Please return the completed report to your consultant-in-charge."
15|50|"Year 12"|"20191112"|"Y"|""|""|""|""
15|50|"Year 10"|"20191112"|"Y"|""|""|""|""
15|50|"Year 9"|"20191112"|"Y"|""|""|""|""
15|110|"Year 10"|"20191110"|"Y"|""|""|"AA00007"|""
15|110|"Year 12"|"20191110"|"Y"|""|""|"AA00007"|""
15|110|"Year 9"|"20191110"|"Y"|""|""|"AA00007"|""
15|687|"Year 12"|"20191109"|"Y"|""|""|"AA00007"|""
15|687|"Year 10"|"20191109"|"Y"|""|""|"AA00007"|""
15|687|"Year 9"|"20191109"|"Y"|""|""|"AA00007"|""
27|687|"Year 10"|"20241102"|"Y"|""|""|"AA00082"|""
27|687|"Year 12"|"20241102"|"Y"|""|""|"AA00082"|""
27|687|"Year 9"|"20241102"|"Y"|""|""|"AA00082"|""
