"expo_id"|"school_id"|"lastupdate"|"staffid"|"remarks"|"eventremarks"|"regfee"|"payableto"
1|17|"20130825123521"|"AA00003"|""|""|""|""
1|274|"20130825123756"|"AA00003"|""|""|""|""
1|687|"20130825124001"|"AA00003"|""|""|""|""
1|381|"20130911174256"|"AA00003"|""|""|""|""
1|29|"20131003230606"|"AA00003"|""|""|""|""
1|47|"20131012173502"|"AA00003"|""|""|""|""
1|50|"20131012173609"|"AA00003"|""|""|""|""
1|472|"20131012173623"|"AA00003"|""|""|""|""
1|58|"20131012173632"|"AA00003"|""|""|""|""
3|49|"20141111210010"|"AA00003"|""|""|""|""
1|103|"20131012173650"|"AA00003"|""|""|""|""
8|150|"20160916111356"|"AA00070"|""|""|"500"|""
1|655|"20131012173712"|"AA00003"|""|""|""|""
1|134|"20131012173720"|"AA00003"|""|""|""|""
1|150|"20131012173737"|"AA00003"|""|""|""|""
1|250|"20131012173748"|"AA00003"|""|""|""|""
1|251|"20131012173756"|"AA00003"|""|""|""|""
1|258|"20131012173810"|"AA00003"|""|""|""|""
1|313|"20131012173823"|"AA00003"|""|""|""|""
1|322|"20131012173831"|"AA00003"|""|""|""|""
1|413|"20131012173841"|"AA00003"|""|""|""|""
1|380|"20131012173858"|"AA00003"|""|""|""|""
1|524|"20131012173906"|"AA00003"|""|""|""|""
1|597|"20131012173918"|"AA00003"|""|""|""|""
8|543|"20160923130645"|"AA00070"|""|""|"500"|""
1|110|"20140117152730"|"AA00007"|""|""|"500"|""
1|59|"20140117152739"|"AA00007"|""|""|"500"|""
1|101|"20140123153427"|""|""|""|"500"|""
2|36|"20140124111720"|"AA00003"|""|""|"500"|""
2|53|"20140124111802"|"AA00003"|""|""|"500"|""
2|68|"20140124111813"|"AA00003"|""|""|"500"|""
2|576|"20140124111823"|"AA00003"|""|""|"500"|""
2|101|"20140124111834"|"AA00003"|""|""|"500"|""
2|655|"20140124111844"|"AA00003"|""|""|"500"|""
2|150|"20140124111854"|"AA00003"|""|""|"500"|""
2|167|"20140124111907"|"AA00003"|""|""|"500"|""
2|196|"20140124111921"|"AA00003"|""|""|"500"|""
2|197|"20140124111930"|"AA00003"|""|""|"500"|""
2|214|"20140124111939"|"AA00003"|""|""|"500"|""
2|248|"20140124111949"|"AA00003"|""|""|"500"|""
2|259|"20140124112000"|"AA00003"|""|""|"500"|""
2|643|"20140124112015"|"AA00003"|""|""|"500"|""
2|268|"20140124112211"|"AA00003"|""|""|"500"|""
2|394|"20140124112543"|"AA00003"|""|""|"500"|""
2|404|"20140124112601"|"AA00003"|""|""|"500"|""
2|423|"20140124112611"|"AA00003"|""|""|"500"|""
2|554|"20140124112622"|"AA00003"|""|""|"500"|""
