"statustype"|"statusfor"
"Location Preference"|"infotype"
"Preferred School Type"|"infotype"
"Max Budget per Term"|"infotype"
"Religion Requirement"|"infotype"
"Other Requirement"|"infotype"
"School Preferred"|"infotype"
"School Applied Before"|"infotype"
"Reasons to Study in UK"|"infotype"
"Know AA From"|"infotype"
"Received News from AA"|"infotype"
"Guardian Type"|"infotype"
"Training"|"aaschedule"
"Walk-In"|"source"
"Walk-In (Friends)"|"source"
"Newspaper"|"source"
"MTR"|"source"
"Website"|"source"
"Direct Mail"|"source"
"Referral (School)"|"source"
"May Expo 09"|"source"
"Top Schools 09"|"source"
"Oct Expo 09"|"source"
"Focus"|"source"
"Top School 10"|"source"
"EduWise"|"source"
"Top Schools 10 (WL)"|"source"
"OCT EXPO 10"|"source"
"Top Schools 11"|"source"
"Top Schools 12"|"source"
"Top Schools 13"|"source"
"May Expo 11"|"source"
"Oct Expo 11"|"source"
"Top Schools 11 (WL)"|"source"
"June Expo 12"|"source"
"Oct Expo 12"|"source"
"Feb Expo 13"|"source"
"Top Schools 14"|"source"
"Oct Expo 13"|"source"
"Role-Play"|"aaschedule"
"NO AA"|"aaschedule"
"chinese_few"|"keyword"
"math"|"keyword"
"econ"|"keyword"
"itin requested"|"pickupstatus"
"Family self-arrange"|"pickupstatus"
"value_for_money"|"keyword"
"Golf"|"keyword"
"BI (L)"|"optionaldocumentname"
"AA Test_Math and Grammar (L)"|"optionaldocumentname"
"AA Test_Essay (L)"|"optionaldocumentname"
"uni_link"|"keyword"
"down_to_earth"|"keyword"
"chess_ex"|"keyword"
"politics"|"keyword"
"activities_ex"|"keyword"
"satellite_school"|"keyword"
"ACCOMMODATION"|"schoolnote"
"busy_life"|"keyword"
"traditional"|"keyword"
"academic_push"|"keyword"
"sports_ex"|"keyword"
"CH- HK Bursary"|"source"
"AA Test"|"aaschedule"
"Skype"|"aatest"
"Video Interview"|"aatest"
"School"|"aatest"
"Meeting"|"aatest"
"Redo AA"|"aaschedule"
"Consultation"|"aaschedule"
"Document"|"aaschedule"
"Exam"|"aaschedule"
"Interview"|"aaschedule"
"Video Interview"|"aaschedule"
"School"|"aaschedule"
"Others"|"aatest"
"AA Test"|"aatest"
"Redo AA"|"aatest"
"Exam"|"aatest"
"football"|"keyword"
"Online Test"|"aatest"
"Relatives / Friends act as Guardian in UK"|"infotype"
"Relatives / Friends Studying in UK"|"infotype"
"All Papers"|"testpaper1"
"Top Schools 15"|"source"
"Top Schools 16"|"source"
"Maths"|"testpaper3"
"Writing"|"testpaper2"
"Others"|"aaschedule"
"Meeting"|"aaschedule"
"English Standard"|"infotype"
"Interests / Hobbies"|"infotype"
"Character"|"infotype"
"Special Talents"|"infotype"
"Learning Difficulties"|"infotype"
"Hum_gd"|"keyword"
"chinese_many"|"keyword"
"itin received"|"pickupstatus"
