"indinterview_id"|"school_id"|"lastupdate"|"staffid"|"remarks"|"eventremarks"|"regfee"|"payableto"
19|534|"20130927110216"|"AA00003"|""|""|""|""
3|6|"20121013104209"|"AA00007"|""|""|""|""
4|286|"20130311195309"|""|""|""|""|""
5|293|"20130416115841"|"AA00003"|""|""|""|""
6|517|"20130427172455"|"AA00003"|""|""|""|""
7|290|"20130427175111"|"AA00003"|""|""|""|""
8|339|"20130502174716"|"AA00003"|""|""|""|""
9|638|"20130503195157"|"AA00003"|""|""|""|""
10|52|"20130507194504"|"AA00003"|""|""|""|""
11|554|"20130510212059"|"AA00003"|""|""|""|""
12|575|"20130511170456"|"AA00003"|""|""|""|""
13|196|"20130613123018"|"AA00003"|""|""|""|""
14|517|"20130619121133"|"AA00003"|""|""|""|""
16|245|"20130705165446"|"AA00003"|""|""|""|""
17|340|"20130822124638"|"AA00003"|""|""|""|""
18|4|"20130826214751"|"AA00003"|""|""|""|""
20|7|"20131003150133"|"AA00003"|""|""|""|""
21|53|"20131007115321"|"AA00003"|""|""|""|""
22|599|"20131008111605"|"AA00003"|""|""|""|""
23|6|"20131014190504"|"AA00003"|""|""|""|""
24|543|"20131022105659"|"AA00003"|""|""|""|""
25|20|"20131022112144"|"AA00003"|""|""|""|""
26|503|"20131023193857"|"AA00003"|""|""|""|""
26|504|"20131023193905"|"AA00003"|""|""|""|""
27|7|"20131023202446"|"AA00003"|""|""|""|""
44|517|"20140531114631"|"AA00003"|""|""|""|""
45|196|"20140603102157"|"AA00003"|""|""|""|""
28|286|"20131024114316"|"AA00003"|""|""|""|""
29|192|"20131107112740"|"AA00003"|""|""|""|""
30|508|"20131128105643"|"AA00003"|""|""|""|""
31|185|"20131216104043"|"AA00003"|""|""|""|""
32|430|"20131220105224"|"AA00003"|""|""|""|""
33|245|"20131221111004"|"AA00003"|""|""|""|""
34|575|"20131224103315"|"AA00003"|""|""|""|""
35|457|"20140117105455"|"AA00003"|""|""|""|""
36|115|"20140125165204"|"AA00003"|""|""|""|""
37|557|"20140206154428"|"AA00003"|""|""|""|""
38|78|"20140217102941"|"AA00003"|""|""|""|""
39|271|"20140219191735"|"AA00003"|""|""|""|""
40|245|"20140307190251"|"AA00003"|""|""|""|""
41|577|"20140313220627"|"AA00003"|""|""|""|""
42|435|"20140326103911"|"AA00003"|""|""|""|""
43|638|"20140423182859"|"AA00003"|""|""|""|""
46|245|"20140604181915"|"AA00003"|""|""|""|""
47|475|"20140619101628"|"AA00003"|""|""|""|""
48|597|"20140702113752"|"AA00003"|""|""|""|""
49|681|"20140709150704"|"AA00003"|""|""|""|""
50|274|"20140717212644"|"AA00003"|""|""|""|""
51|543|"20140722132008"|"AA00003"|""|""|""|""
52|318|"20140808175914"|"AA00003"|""|""|""|""
53|599|"20140827214506"|"AA00003"|""|""|""|""
54|517|"20140905122638"|"AA00003"|""|""|""|""
55|18|"20140905133333"|"AA00003"|""|""|""|""
57|20|"20140918170810"|"AA00003"|""|""|""|""
58|504|"20140920114848"|"AA00003"|""|""|""|""
56|313|"20140912164826"|"AA00003"|""|""|""|""
58|503|"20140920114853"|"AA00003"|""|""|""|""
59|18|"20140928160607"|"AA00003"|""|""|""|""
60|345|"20140930101053"|"AA00003"|""|""|""|""
61|7|"20141007173100"|"AA00003"|""|""|""|""
62|6|"20141008110030"|"AA00003"|""|""|""|""
63|534|"20141008110453"|"AA00003"|""|""|""|""
64|101|"20141008214854"|"AA00003"|""|""|""|""
69|508|"20141202230108"|"AA00003"|""|""|""|""
70|7|"20141220183045"|"AA00003"|""|""|""|""
65|245|"20141030113102"|"AA00003"|""|""|""|""
66|577|"20141102171226"|"AA00003"|""|""|""|""
67|340|"20141107180340"|"AA00003"|""|""|""|""
68|136|"20141111230306"|"AA00007"|""|""|""|""
71|638|"20150216175429"|"AA00003"|""|""|""|""
72|30011|"20150224112134"|"AA00003"|""|""|""|""
74|245|"20150311155314"|"AA00003"|""|""|""|""
73|286|"20150303111839"|"AA00003"|""|""|""|""
75|340|"20150520102206"|"AA00007"|""|""|""|""
77|196|"20150605211114"|"AA00007"|""|""|""|""
76|30011|"20150605211224"|"AA00007"|""|""|""|""
78|517|"20150606121356"|""|""|""|""|""
79|68|"20150608202848"|"AA00007"|""|""|""|""
80|30011|"20150619130216"|"AA00003"|""|""|""|""
81|599|"20150619150227"|"AA00062"|""|""|""|""
