"school_id"|"banktype"|"currency"|"bankname"|"bankacc"|"bankaddress"|"ibankacc"|"swift"|"sortcode"|"ibanno"|"remarks"|"lastupdate"|"staffid"|"billingname"
554|"All"|"GBP"|"Royal Bank of Scotland"|"11927778"|"Long Eaton branch"|"GB14RBOS16242111927778"|"RBOSGB2L"|"16-24-21"|"GB14RBOS16242111927778"|""|"20130528115936"|"AA00025"|""
554|"All"|"GBP"|"Royal Bank of Scotland"|"11927778"|"Long Eaton branch"|"GB14RBOS16242111927778"|"RBOSGB2L"|"16-24-21"|"GB14RBOS16242111927778"|""|"20130528120120"|"AA00025"|""
241|"All"|"GPB"|"Lloyds TSB Bank Plc"|"00399567"|"Cornhill North, Ipswich, Suffolk, IP1 1DG"|""|""|"30-94-55"|""|""|"20130525"|""|""
286|"All"|"GPB"|"Lloyds TSB Bank Plc"|"1896528"|"9 High Street, Yeovil , Somerset, BA20 1RN"|""|"LOYDGB21208"|"30-99-98"|"GB46LOYD30999801896528"|""|"20130525"|""|""
452|"All"|"GBP"|"Barclays Bank Plc"|"60178691"|"Knightsbridge Business Centre, PO Box 32014, London, NW1 2ZG"|""|"BARCGB22"|"20-06-05"|"GB36BARC20060560178691"|"1. Please state the student's full name or the invoice number as the reference. 2. Make sure you pay all bank charges so that St Bede's receives the full amount."|"20130525"|""|""
433|"All"|"GBP"|"Lloyds Bank"|"49338960"|"Shaftesbury School – Barton Hill House Disbursement account"|"GB48 LOYD 3097 4149 3389 60"|"LOYDGB21063"|"30-97-41"|"GB48 LOYD 3097 4149 3389 60"|"All future payments for the Disbursement account should be sent to this account.  If you have already sent funds to the NatWest Bank account please do not worry as this account will remain open until the end of August."|"20130719095316"|"AA00025"|""
22|"All"|"GBP"|"National Westminster Bank Plc"|"44547307"|"44 High Street, Oakham Rutland LE15 6NZ"|""|"NWBKGB2L"|"01-06-34"|"GB98NWBK01063444547307"|"Please remember to include as much detail as possible in the narrative section to ensure that the correct pupil account is credited (for example: Account Ref: SMITH/7023)."|"20130525"|""|""
115|"All"|"GBP"|"Barclays Bank Plc"|"00519286"|"28 Regent Street, Swindon, Wiltshire, SN1 1QB"|"Christ College Brecon"|"BARCGB228018"|"20-84-58"|"GB67BARC20845800519286"|""|"20130525"|""|""
302|"All"|"GBP"|"National Westminster Bank Plc"|"08164312"|"Market Place, Loughborough, Leicestershire, LE11 3NZ"|"Loughborough Grammar School"|""|"60-14-10"|"GB28NWBK60141008164312"|""|"20130525"|""|""
409|"All"|"GBP"|"National Westminster Bank Plc"|"05008204"|""|"The Corporation of Rossall School"|"NWBKGB2L"|"60-08-26"|"GB65NWBK60082605008204"|""|"20130525"|""|""
11|"All"|"GBP"|"Lloyds TSB Bank Plc"|"00497125"|"Shrewsbury Pride Hill Branch, PO Box 6, 1 Pride Hill, Shrewsbury, Shropshire, SY1 1DG"|"Shrewsbury School"|"LOYDGB21301"|"30-97-62"|"GB94LOYD30976200497125"|""|"20130525"|""|""
638|"All"|"GBP"|"National Westminster"|"57036373"|"Bournemouth Branch"|"White House Guardianships"|"NWBKGB2L"|"51-81-20"|"GB86NWBK5181205703 6373"|""|"20130823150816"|"AA00025"|""
433|"All"|"GBP"|"Lloyds Bank"|"49338960"|"Shaftesbury School – Barton Hill House Disbursement account"|""|"LOYDGB21063"|"30-97-41"|"GB48 LOYD 3097 4149 3389 60"|"All future payments for the Disbursement account should be sent to this account.  If you have already sent funds to the NatWest Bank account please do not worry as this account will remain open until the end of August."|"20130719095349"|"AA00025"|""
