"school_id"|"coursename"|"description"|"lastupdate"|"staffid"|"remarks"|"year"|"coursedate"|"name"|"subject"
50|"Year 12"|"For Sept 2012 Entry:

ESOL (1h) [16 Oct 2011] 
English (For Native Speakers ONLY) (1hr30mins) [23 Nov 2011]
Self assessment form for all level (15mins) [16 Oct 2011]

+ 3 subjects papers of student's choice to study at AS level [16 Oct 2011]

Biology (1hr) [16 Oct 2011]
Business Studies (1hr) [16 Oct 2011]
Chemistry - YES Calculator (1hr) [16 Oct 2011]
Computing (1hr) [10 Nov 2011]
Design and Technology (1hr) [21 Nov 2011]
Economics (1hr) [16 Oct 2011]
Geography (1hr) [16 Oct 2011]
History (1hr) [16 Oct 2011]
Mathematics - YES Calculator (1hr) [16 Oct 2011]
Maths (IB) - YES Calculator (1hr) [16 Oct 2011]
Physics (1hr15mins) [16 Oct 2011]
Religious Studies (1hr) [8 Mar 2012]

"|"20120806190414"|""|""|"2012-13"|"20130101"|""|""
42|"Summer"|""|"20130403185441"|"AA00003"|""|"2013-14"|"20130403"|""|""
556|"Pre-6th Form"|""|"20130407164214"|""|""|"2013-14"|"20130407"|""|""
556|"Pre-6th Form"|""|"20130407164551"|""|"Sixth Form Foundation"|"2013-14"|"20130407"|""|""
7|"Year 12"|"For Sept 2012 Entry:

School Assign exam papers to students

General Paper *for ALL Candidates (45mins) [28 Oct 2011] 

Subject papers: 
Biology - YES Calculator (45mins) [28 Oct 2011] 
Chemistry - YES Calculator (45mins) *print periodic table in separated file [28 Oct 2011]
Drama & Theatre Studies (1hr) [28 Oct 2011]
English Literature (45mins) [28 Oct 2011]
Food Technology (45mins) [28 Oct 2011]
Geography (45mins) *print in colour [28 Oct 2011]
History (45mins) [28 Oct 2011]
Latin (45mins) [28 Oct 2011]
Law (45mins) [28 Oct 2011]
Mathematics Section A - YES Calculator (30mins) [28 Oct 2011] 
Mathematics  Section B - NO Calculator (30mins) [28 Oct 2011] 
Mathematics Section C - YES Calculator (30mins) [28 Oct 2011] 
Physics - YES Calculator (45mins) [28 Oct 2011]
Politics (45mins) [28 Oct 2011]
Psychology (45mins) [28 Oct 2011]
Religious Studies (45mins) [28 Oct 2011]

Interview with Mrs. Sharron Herrmann"|"20120806190414"|""|""|"2012-13"|"20130101"|""|""
38|"1 Year AL"|"only provide: Maths, Further Maths, Physics and Chemistry"|"20130410112553"|"AA00007"|""|"2013-14"|"20130410"|""|""
1|"Year 10"|"For Sept 2012 Entry:

Grammar Placement Test (45mins) [9 Dec 2011]
14+ Mathematics - YES Calculator (1hr) [9 Dec 2011]
13+/14+ English Paper (1hr15mins) [9 Dec 2011]
*Verbal Reasoning Test Adult 1 (45mins) [9 Dec 2011]
*Verbal Reasoning Test Adv 10 (1hr) [9 Dec 2011]
*which Verbal Reasoning Test to use for depends on students' date of birth"|"20120806190414"|""|""|"2013-14"|"20130101"|""|""
1|"Year 10"|"COMPULSORY:

Grammar Placement Test 
14+ Mathematics - YES Calculator
13+/14+ English Paper
*Verbal Reasoning Test Adult 1 
*Verbal Reasoning Test Adv 10 
*which Verbal Reasoning Test to use for depends on students' date of birth"|"20130424160514"|"AA00028"|""|"2013-14"|"20130101"|""|""
1|"Year 10"|"COMPULSORY:

Grammar Placement Test 
14+ Mathematics - YES Calculator
13+/14+ English Paper
*Verbal Reasoning Test Adult 1 
*Verbal Reasoning Test Adv 10 
*which Verbal Reasoning Test to use for depends on students' date of birth"|"20130424160539"|"AA00028"|""|"2013-14"|"20130101"|""|""
1|"Year 12"|"For Sept 2012 Entry:

English Essay (30mins) [9 Dec 2011]
Verbal Reasoning Test Adult 1 (45mins) [9 Dec 2011]
Grammar Placement Test (45mins) [9 Dec 2011]

2 Subject Papers of Students' Choice:
Mathematics - YES Calculator (For Local School) (1hr) [9 Dec 2011]
Mathematics - NO Calculator (For International School) (1hr) [9 Dec 2011]
Biology - YES Calculator (1hr) [9 Dec 2011]
Chemistry - YES Calculator (1hr) [9 Dec 2011]
Economics & Business (1hr) [9 Dec 2011]
Geography (1hr) [9 Dec 2011]
History (45mins) [9 Dec 2011]
Physics - YES Calculator (1hr) [9 Dec 2011]

Scholarship Papers:
Mathematics - YES Calculator (1hr) [9 Dec 2011]
Biology - YES Calculator (1hr) [9 Dec 2011]
Chemistry - YES Calculator (1hr) [9 Dec 2011]
Physics - YES Calculator (1hr) [9 Dec 2011]"|"20120806190414"|""|""|"2013-14"|"20130101"|""|""
1|"Year 10"|"COMPULSORY:

Grammar Placement Test 
14+ Mathematics - YES Calculator
13+/14+ English Paper
*Verbal Reasoning Test Adult 1 
*Verbal Reasoning Test Adv 10 
*which Verbal Reasoning Test to use for depends on students' date of birth"|"20130424160628"|"AA00028"|""|"2013-14"|"20130901"|""|""
1|"Year 12"|"COMPULSORY Papers:
English Essay
Verbal Reasoning Test
Grammar Placement Test

Two Subject Papers of Students' Choice:
Mathematics (Higher Paper) - Calculator is allowed
Chemistry - Calculator is allowed
Physics - Calculator is allowed 
Biology - Calculator is allowed 
History
Economics and Business
Geography

Scholarship Papers:
Mathematics - Calculator is allowed  
Chemistry - Calculator is allowed
Physics - Calculator is allowed  
Biology - Calculator is allowed and Use Ruler"|"20130424160816"|"AA00028"|""|"2013-14"|"20130901"|""|""
1|"Year 10"|"COMPULSORY:

Grammar Placement Test 
14+ Mathematics - YES Calculator
13+/14+ English Paper
*Verbal Reasoning Test Adult 1 
*Verbal Reasoning Test Adv 10 
*which Verbal Reasoning Test to use for depends on students' date of birth"|"20130424160841"|"AA00028"|""|"2013-14"|"20130901"|""|""
1|"Year 10"|"COMPULSORY:

Grammar Placement Test 
14+ Mathematics - YES Calculator
13+/14+ English Paper
*Verbal Reasoning Test Adult 1 
*Verbal Reasoning Test Adv 10 
*which Verbal Reasoning Test to use for depends on students' date of birth"|"20130424161030"|"AA00028"|""|"2013-14"|"20130901"|""|""
1|"Year 12"|"COMPULSORY Papers:
English Essay
Verbal Reasoning Test
Grammar Placement Test

Two Subject Papers of Students' Choice:
Mathematics (Higher Paper) - Calculator is allowed
Chemistry - Calculator is allowed
Physics - Calculator is allowed 
Biology - Calculator is allowed 
History
Economics and Business
Geography

Scholarship Papers:
Mathematics - Calculator is allowed  
Chemistry - Calculator is allowed
Physics - Calculator is allowed  
Biology - Calculator is allowed and Use Ruler"|"20130424161018"|"AA00028"|""|"2013-14"|"20130901"|""|""
1|"Year 10"|"COMPULSORY:

Grammar Placement Test 
14+ Mathematics - YES Calculator
13+/14+ English Paper
*Verbal Reasoning Test Adult 1 
*Verbal Reasoning Test Adv 10 
*which Verbal Reasoning Test to use for depends on students' date of birth"|"20130424161039"|"AA00028"|""|"2013-14"|"20130901"|""|""
1|"Year 12"|""|"20130424161457"|"AA00028"|""|"2013-14"|"20130901"|""|""
1|"Year 7"|"For Sept 2012 Entry:

English Paper 1 (45mins) [26 Jan 2012]
English Paper 2 30mins) [26 Jan 2012]
Mathematics - NO Calculator (50mins) [26 Jan 2012]
Verbal Reasoning Test 90 (1hr = 15mins practice + 45mins test) [26 Jan 2012]
"|"20120806190414"|""|""|"2013-14"|"20130101"|""|""
430|"Year 9"|""|"20130525105320"|"AA00028"|""|"2013-14"|"20130101"|""|""
1|"Year 8"|"Verbal Reasoning ADV.10 (45mins)
Maths (50 mins)
Oxford placement Grammer (45 mins)
English Paper 1 - (45mins)
English Paper 2 - Essay (30mins)"|"20120806190414"|""|""|"2013-14"|"20130101"|""|""
1|"Year 8"|""|"20130424163000"|"AA00028"|""|"2013-14"|"20130101"|""|""
1|"Year 8"|""|"20130424163007"|"AA00028"|""|"2013-14"|"20130101"|""|""
1|"Year 9"|"For Sept 2012 Entry:

Grammar Placement Test (45mins) [9 Dec 2011]
13+ Mathematics - YES Calculator (1hr) [9 Dec 2011]
13+/14+ English Paper (1hr15mins) [9 Dec 2011]
*Verbal Reasoning Test Adult 1 (45mins) [9 Dec 2011]
*Verbal Reasoning Test Adv 10 (1hr) [9 Dec 2011]
*Which Verbal Reasoning Test to use for depends on students' date of birth"|"20120806190414"|""|""|"2013-14"|"20130101"|""|""
1|"Year 10"|"For Sept 2012 Entry:

Grammar Placement Test (45mins) [9 Dec 2011]
14+ Mathematics - YES Calculator (1hr) [9 Dec 2011]
13+/14+ English Paper (1hr15mins) [9 Dec 2011]
*Verbal Reasoning Test Adult 1 (45mins) [9 Dec 2011]
*Verbal Reasoning Test Adv 10 (1hr) [9 Dec 2011]
*which Verbal Reasoning Test to use for depends on students' date of birth"|"20120806190414"|""|""|"2012-13"|"20130101"|""|""
1|"Year 7"|"For Sept 2012 Entry:

English Paper 1 (45mins) [26 Jan 2012]
English Paper 2 30mins) [26 Jan 2012]
Mathematics - NO Calculator (50mins) [26 Jan 2012]
Verbal Reasoning Test 90 (1hr = 15mins practice + 45mins test) [26 Jan 2012]"|"20130424162949"|"AA00028"|""|"2013-14"|"20130901"|""|""
1|"Year 9"|"For Sept 2012 Entry:

Grammar Placement Test (45mins) [9 Dec 2011]
13+ Mathematics - YES Calculator (1hr) [9 Dec 2011]
13+/14+ English Paper (1hr15mins) [9 Dec 2011]
*Verbal Reasoning Test Adult 1 (45mins) [9 Dec 2011]
*Verbal Reasoning Test Adv 10 (1hr) [9 Dec 2011]
*Which Verbal Reasoning Test to use for depends on students' date of birth"|"20130424163039"|"AA00028"|""|"2013-14"|"20130901"|""|""
1|"Year 10"|"For Sept 2012 Entry:

Grammar Placement Test (45mins) [9 Dec 2011]
14+ Mathematics - YES Calculator (1hr) [9 Dec 2011]
13+/14+ English Paper (1hr15mins) [9 Dec 2011]
*Verbal Reasoning Test Adult 1 (45mins) [9 Dec 2011]
*Verbal Reasoning Test Adv 10 (1hr) [9 Dec 2011]
*which Verbal Reasoning Test to use for depends on students' date of birth"|"20130424163050"|"AA00028"|""|"2012-13"|"20130901"|""|""
1|"Year 10"|""|"20130424163125"|"AA00028"|""|"2012-13"|"20130901"|""|""
1|"Year 10"|""|"20130424161746"|"AA00028"|""|"2013-14"|"20130901"|""|""
1|"Year 10"|""|"20130424165827"|"AA00028"|""|"2013-14"|"20140901"|""|""
