"school_id"|"financialyear"|"description"|"feetype"|"fee"|"payable"|"startdate"|"enddate"|"lastupdate"|"staffid"|"remarks"
456|"2013-14"|"Year 11"|"Course"|8105|"St. George's School For Girls"|""|""|"20130905164057"|"AA00025"|""
456|"2013-14"|"Year 12"|"Course"|8105|"St. George's School For Girls"|""|""|"20130905164103"|"AA00025"|""
500|"2013-14"|"Year 9"|"Course"|9430|"St. Swithun's School"|""|""|"20130905165750"|"AA00025"|""
500|"2013-14"|"Year 10"|"Course"|9430|"St. Swithun's School"|""|""|"20130905165755"|"AA00025"|""
500|"2013-14"|"Year 11"|"Course"|9430|"St. Swithun's School"|""|""|"20130905165805"|"AA00025"|""
500|"2013-14"|"Year 12"|"Course"|9430|"St. Swithun's School"|""|""|"20130905165813"|"AA00025"|""
134|"2013-14"|"Year 10"|"Course"|9085|"Culford School"|""|""|"20130924103838"|"AA00025"|""
134|"2013-14"|"Year 11"|"Course"|9085|"Culford School"|""|""|"20130924103844"|"AA00025"|""
134|"2013-14"|"Year 12"|"Course"|9085|"Culford School"|""|""|"20130924103848"|"AA00025"|""
134|"2013-14"|"Year 13"|"Course"|9085|"Culford School"|""|""|"20130924103853"|"AA00025"|""
674|"2011-12"|"Year 12"|"Course"|3600|"The Priory Federation of Academies"|""|""|"20130924105205"|"AA00025"|""
598|"2013-14"|"Year 7"|"Course"|11100|""|""|""|"20130905172005"|"AA00025"|""
598|"2013-14"|"Year 8"|"Course"|11100|""|""|""|"20130905172010"|"AA00025"|""
598|"2013-14"|"Year 9"|"Course"|11100|""|""|""|"20130905172015"|"AA00025"|""
598|"2013-14"|"Year 10"|"Course"|11100|""|""|""|"20130905172021"|"AA00025"|""
598|"2013-14"|"Year 11"|"Course"|11100|""|""|""|"20130905172027"|"AA00025"|""
598|"2013-14"|"Year 12"|"Course"|11100|""|""|""|"20130905172032"|"AA00025"|""
598|"2013-14"|"Year 13"|"Course"|11100|""|""|""|"20130905172041"|"AA00025"|""
328|"2013-14"|"Year 7"|"Course"|6283|""|""|""|"20130905104535"|"AA00025"|""
328|"2013-14"|"Year 8"|"Course"|6283|""|""|""|"20130905104540"|"AA00025"|""
328|"2013-14"|"Year 9"|"Course"|8369|""|""|""|"20130905104547"|"AA00025"|""
328|"2013-14"|"Year 10"|"Course"|8369|""|""|""|"20130905104553"|"AA00025"|""
328|"2013-14"|"Year 11"|"Course"|8369|""|""|""|"20130905104559"|"AA00025"|""
328|"2013-14"|"Year 12"|"Course"|8369|""|""|""|"20130905104604"|"AA00025"|""
328|"2013-14"|"Year 13"|"Course"|8369|""|""|""|"20130905104608"|"AA00025"|""
328|"2013-14"|"Deposit"|"Deposit"|750|""|""|""|"20130905104638"|"AA00025"|""
362|"2013-14"|"Year 7"|"Course"|8285|""|""|""|"20130905105723"|"AA00025"|""
362|"2013-14"|"Year 8"|"Course"|8285|""|""|""|"20130905105729"|"AA00025"|""
362|"2013-14"|"Year 9"|"Course"|8670|""|""|""|"20130905105736"|"AA00025"|""
362|"2013-14"|"Year 10"|"Course"|8670|""|""|""|"20130905105741"|"AA00025"|""
362|"2013-14"|"Year 11"|"Course"|8670|""|""|""|"20130905105746"|"AA00025"|""
362|"2013-14"|"Year 12"|"Course"|8960|""|""|""|"20130905105753"|"AA00025"|""
362|"2013-14"|"Year 13"|"Course"|8960|""|""|""|"20130905105801"|"AA00025"|""
363|"2013-14"|"Year 7"|"Course"|7640|""|""|""|"20130905105929"|"AA00025"|""
363|"2013-14"|"Year 8"|"Course"|7640|""|""|""|"20130905105934"|"AA00025"|""
363|"2013-14"|"Year 9"|"Course"|7640|""|""|""|"20130905105939"|"AA00025"|""
363|"2013-14"|"Year 10"|"Course"|7640|""|""|""|"20130905105944"|"AA00025"|""
363|"2013-14"|"Year 11"|"Course"|7640|""|""|""|"20130905105948"|"AA00025"|""
363|"2013-14"|"Year 12"|"Course"|7640|""|""|""|"20130905105957"|"AA00025"|""
363|"2013-14"|"Year 13"|"Course"|7640|""|""|""|"20130905110002"|"AA00025"|""
364|"2013-14"|"Year 7"|"Course"|7815|""|""|""|"20130905110236"|"AA00025"|""
364|"2013-14"|"Year 8"|"Course"|7815|""|""|""|"20130905110243"|"AA00025"|""
364|"2013-14"|"Year 9"|"Course"|7815|""|""|""|"20130905110247"|"AA00025"|""
364|"2013-14"|"Year 10"|"Course"|7815|""|""|""|"20130905110253"|"AA00025"|""
364|"2013-14"|"Year 11"|"Course"|7815|""|""|""|"20130905110257"|"AA00025"|""
364|"2013-14"|"Year 12"|"Course"|7815|""|""|""|"20130905110302"|"AA00025"|""
364|"2013-14"|"Year 13"|"Course"|7815|""|""|""|"20130905110307"|"AA00025"|""
365|"2013-14"|"Year 5"|"Course"|8070|""|""|""|"20130905110615"|"AA00025"|""
365|"2013-14"|"Year 6"|"Course"|8070|""|""|""|"20130905110622"|"AA00025"|""
365|"2013-14"|"Year 7"|"Course"|8070|""|""|""|"20130905110631"|"AA00025"|""
365|"2013-14"|"Year 8"|"Course"|8070|""|""|""|"20130905110636"|"AA00025"|""
29|"2013-14"|"Year 7"|"Course"|3678|""|""|""|"20130905112355"|"AA00025"|""
29|"2013-14"|"Year 8"|"Course"|3678|""|""|""|"20130905112359"|"AA00025"|""
29|"2013-14"|"Year 9"|"Course"|3678|""|""|""|"20130905112421"|"AA00025"|""
29|"2013-14"|"Year 10"|"Course"|3678|""|""|""|"20130905112425"|"AA00025"|""
29|"2013-14"|"Year 11"|"Course"|3678|""|""|""|"20130905112432"|"AA00025"|""
29|"2013-14"|"Year 12"|"Course"|3678|""|""|""|"20130905112437"|"AA00025"|""
29|"2013-14"|"Year 13"|"Course"|3678|""|""|""|"20130905112440"|"AA00025"|""
438|"2013-14"|"Year 9"|"Course"|10555|""|""|""|"20130905161908"|"AA00025"|""
438|"2013-14"|"Year 10"|"Course"|10555|""|""|""|"20130905161916"|"AA00025"|""
438|"2013-14"|"Year 11"|"Course"|10555|""|""|""|"20130905161922"|"AA00025"|""
438|"2013-14"|"Year 12"|"Course"|10555|""|""|""|"20130905161929"|"AA00025"|""
438|"2013-14"|"Year 13"|"Course"|10555|""|""|""|"20130905161937"|"AA00025"|""
479|"2013-14"|"Year 9"|"Course"|8663|"St Edmund's College"|""|""|"20130905163453"|"AA00025"|""
479|"2013-14"|"Year 10"|"Course"|8663|"St Edmund's College"|""|""|"20130905163458"|"AA00025"|""
479|"2013-14"|"Year 11"|"Course"|8663|"St Edmund's College"|""|""|"20130905163507"|"AA00025"|""
479|"2013-14"|"Year 12"|"Course"|8663|"St Edmund's College"|""|""|"20130905163512"|"AA00025"|""
479|"2013-14"|"Year 13"|"Course"|8663|"St Edmund's College"|""|""|"20130905163518"|"AA00025"|""
456|"2013-14"|"Year 7"|"Course"|7690|"St. George's School For Girls"|""|""|"20130905164027"|"AA00025"|""
456|"2013-14"|"Year 8"|"Course"|7690|"St. George's School For Girls"|""|""|"20130905164034"|"AA00025"|""
456|"2013-14"|"Year 9"|"Course"|7690|"St. George's School For Girls"|""|""|"20130905164040"|"AA00025"|""
456|"2013-14"|"Year 10"|"Course"|7690|"St. George's School For Girls"|""|""|"20130905164044"|"AA00025"|""
188|"2013-14"|"Year 12"|"Course"|8590|""|""|""|"20130903173617"|"AA00025"|""
188|"2013-14"|"Year 13"|"Course"|8590|""|""|""|"20130903173622"|"AA00025"|""
672|"2013-14"|"Year 7"|"Course"|3795|""|""|""|"20130903174633"|"AA00025"|""
672|"2013-14"|"Year 8"|"Course"|3795|""|""|""|"20130903174639"|"AA00025"|""
672|"2013-14"|"Year 9"|"Course"|3795|""|""|""|"20130903174647"|"AA00025"|""
672|"2013-14"|"Year 10"|"Course"|3795|""|""|""|"20130903174652"|"AA00025"|""
672|"2013-14"|"Year 11"|"Course"|3795|""|""|""|"20130903174658"|"AA00025"|""
672|"2013-14"|"Year 12"|"Course"|3795|""|""|""|"20130903174705"|"AA00025"|""
672|"2013-14"|"Year 13"|"Course"|3795|""|""|""|"20130903174711"|"AA00025"|""
241|"2013-14"|"Year 9"|"Course"|7763|""|""|""|"20130903175356"|"AA00025"|""
241|"2013-14"|"Year 10"|"Course"|7763|""|""|""|"20130903175402"|"AA00025"|""
241|"2013-14"|"Year 11"|"Course"|7763|""|""|""|"20130903175409"|"AA00025"|""
241|"2013-14"|"Year 12"|"Course"|7763|""|""|""|"20130903175415"|"AA00025"|""
241|"2013-14"|"Year 13"|"Course"|7763|""|""|""|"20130903175422"|"AA00025"|""
241|"2013-14"|"Year 7"|"Course"|6771|""|""|""|"20130903175429"|"AA00025"|""
241|"2013-14"|"Year 8"|"Course"|6771|""|""|""|"20130903175434"|"AA00025"|""
260|"2013-14"|"Year 7"|"Course"|6990|""|""|""|"20130904163457"|"AA00025"|""
260|"2013-14"|"Year 8"|"Course"|6990|""|""|""|"20130904163503"|"AA00025"|""
260|"2013-14"|"Year 9"|"Course"|8725|""|""|""|"20130904163512"|"AA00025"|""
260|"2013-14"|"Year 10"|"Course"|8725|""|""|""|"20130904163517"|"AA00025"|""
260|"2013-14"|"Year 11"|"Course"|8725|""|""|""|"20130904163521"|"AA00025"|""
260|"2013-14"|"Year 12"|"Course"|9125|""|""|""|"20130904163529"|"AA00025"|""
260|"2013-14"|"Year 13"|"Course"|9125|""|""|""|"20130904163535"|"AA00025"|""
260|"2013-14"|"Deposit"|"Deposit"|10000|""|""|""|"20130904163606"|"AA00025"|""
259|"2013-14"|"Registration Fee"|"Registration Fee"|35|"King William's College"|""|""|"20130904164807"|"AA00025"|""
259|"2013-14"|"Deposit"|"Deposit"|1000|"King William's College"|""|""|"20130904164813"|"AA00025"|""
259|"2013-14"|"Year 7"|"Course"|7629|"King William's College"|""|""|"20130904164855"|"AA00025"|""
259|"2013-14"|"Year 8"|"Course"|7629|"King William's College"|""|""|"20130904164902"|"AA00025"|""
259|"2013-14"|"Year 9"|"Course"|8781|"King William's College"|""|""|"20130904164912"|"AA00025"|""
259|"2013-14"|"Year 10"|"Course"|8781|"King William's College"|""|""|"20130904164919"|"AA00025"|""
259|"2013-14"|"Year 11"|"Course"|8781|"King William's College"|""|""|"20130904164924"|"AA00025"|""
259|"2013-14"|"Year 12"|"Course"|9582|"King William's College"|""|""|"20130904164931"|"AA00025"|""
259|"2013-14"|"Year 13"|"Course"|9582|"King William's College"|""|""|"20130904164937"|"AA00025"|""
278|"2013-14"|"Year 7"|"Course"|3000|""|""|""|"20130904171744"|"AA00025"|""
278|"2013-14"|"Year 8"|"Course"|3000|""|""|""|"20130904171755"|"AA00025"|""
278|"2013-14"|"Year 9"|"Course"|3000|""|""|""|"20130904171801"|"AA00025"|""
278|"2013-14"|"Year 10"|"Course"|3000|""|""|""|"20130904171807"|"AA00025"|""
278|"2013-14"|"Year 11"|"Course"|3000|""|""|""|"20130904171812"|"AA00025"|""
278|"2013-14"|"Year 12"|"Course"|3300|""|""|""|"20130904171823"|"AA00025"|""
278|"2013-14"|"Year 13"|"Course"|3300|""|""|""|"20130904171829"|"AA00025"|""
279|"2013-14"|"Year 7"|"Course"|8505|"Langley School (1960) Ltd"|""|""|"20130904172513"|"AA00025"|""
279|"2013-14"|"Year 8"|"Course"|8505|"Langley School (1960) Ltd"|""|""|"20130904172519"|"AA00025"|""
279|"2013-14"|"Year 9"|"Course"|8505|"Langley School (1960) Ltd"|""|""|"20130904172526"|"AA00025"|""
279|"2013-14"|"Year 10"|"Course"|8505|"Langley School (1960) Ltd"|""|""|"20130904172531"|"AA00025"|""
279|"2013-14"|"Year 11"|"Course"|8505|"Langley School (1960) Ltd"|""|""|"20130904172536"|"AA00025"|""
279|"2013-14"|"Year 12"|"Course"|8505|"Langley School (1960) Ltd"|""|""|"20130904172540"|"AA00025"|""
279|"2013-14"|"Year 13"|"Course"|8505|"Langley School (1960) Ltd"|""|""|"20130904172545"|"AA00025"|""
282|"2013-14"|"Year 7"|"Course"|7176|""|""|""|"20130904172734"|"AA00025"|""
282|"2013-14"|"Year 8"|"Course"|7176|""|""|""|"20130904172739"|"AA00025"|""
282|"2013-14"|"Year 9"|"Course"|7176|""|""|""|"20130904172744"|"AA00025"|""
282|"2013-14"|"Year 10"|"Course"|7176|""|""|""|"20130904172751"|"AA00025"|""
282|"2013-14"|"Year 11"|"Course"|7176|""|""|""|"20130904172755"|"AA00025"|""
282|"2013-14"|"Year 12"|"Course"|7176|""|""|""|"20130904172800"|"AA00025"|""
