"school_id"|"detailtype"|"detail"|"case"|"lastupdate"|"staffid"
339|"School"|"school fee is very reasonable
for budget concern parent
for students want equestrian
Ockbrook School is a member of the National Schools Equestrian Association (NSEA), the recognised body for equestrian competition in state and independent Schools"|"N"|"20140411213527"|""
339|"School"|"* school fee is very reasonable
* for budget concern parent
* for students want equestrian
* Ockbrook School is a member of the National Schools Equestrian Association (NSEA), the recognised body for equestrian competition in state and independent Schools"|"N"|"20140411213556"|""
339|"School"|"* school fee is very reasonable
* for budget concern parent
* for students want equestrian
* Ockbrook School is a member of the National Schools Equestrian Association (NSEA), the recognised body for equestrian competition in state and independent Schools
*10 acres"|"N"|"20140411214246"|""
339|"School"|"* 90% UK, 10% international students (HK & Nigeria mainly)"|"Y"|"20140411214813"|""
177|"School"|"The British students are mainly from professional families."|"N"|"20140503194407"|""
177|"School"|"* The British students are mainly from professional families."|"N"|"20140503194418"|""
1|"School"|"Reminder Only"|"N"|"20140404141407"|""
13|"School"|"* less than 10 Oxbridge a year"|"N"|"20140506181119"|""
1|"Guardian"|"

The International Monetary Fund has warned on Hong Kong banks’ rising mainland exposure in a review of the city's economy published on Tuesday. 

The IMF said that Hong Kong banks’ lending to mainland firms and individuals has risen to 19 per cent of their total assets. The figure excludes loans to mainland banks.

“While deepening integration suggests that financial linkages will continue to grow, the large exposure requires close monitoring and cooperation with mainland supervisors,” said the IMF in the report, citing slowing mainland economic growth, rising US interest rates and the possibility asset price shocks.

The Bank for International Settlements says there is US$430 billion in loans outstanding from Hong Kong banks to mainland entities. However, the Hong Kong Monetary Authority clarifies that US$320 billion of this figure relates to routine interbank debt, such as loans from Hong Kong banks to their mainland subsidiaries. Only US$110 billion of that total relates to non-bank debts, said the HKMA.

“Therefore, the US$430 billion figure includes normal bank lending activities and support for mainland companies operating in China. The HKMA doesn't think this is hot money,” said Yokee Wong, an HKMA spokesman."|"Y"|"20140404141304"|""
1|"School"|"Good.
Big Garden.
Many Chinese."|"Y"|"20140404141658"|""
1|"Guardian"|"template only_ The International Monetary Fund has warned on Hong Kong banks’ rising mainland exposure in a review of the city's economy published on Tuesday. 

The IMF said that Hong Kong banks’ lending to mainland firms and individuals has risen to 19 per cent of their total assets. The figure excludes loans to mainland banks.

“While deepening integration suggests that financial linkages will continue to grow, the large exposure requires close monitoring and cooperation with mainland supervisors,” said the IMF in the report, citing slowing mainland economic growth, rising US interest rates and the possibility asset price shocks.

The Bank for International Settlements says there is US$430 billion in loans outstanding from Hong Kong banks to mainland entities. However, the Hong Kong Monetary Authority clarifies that US$320 billion of this figure relates to routine interbank debt, such as loans from Hong Kong banks to their mainland subsidiaries. Only US$110 billion of that total relates to non-bank debts, said the HKMA.

“Therefore, the US$430 billion figure includes normal bank lending activities and support for mainland companies operating in China. The HKMA doesn't think this is hot money,” said Yokee Wong, an HKMA spokesman."|"Y"|"20140506181402"|""
1|"School"|"* A total of 125 boarders are accommodated in 3 houses: 2 for pupils aged 13 to 18 and another for pupils aged 17 and 18."|"N"|"20140504134458"|""
1|"School"|"* A total of 125 boarders are accommodated in 3 houses: 2 for pupils aged 13 to 18 and another for pupils aged 17 and 18."|"N"|"20140504134458"|""
1|"School"|"* A total of 125 boarders are accommodated in 3 houses: 2 for pupils aged 13 to 18 and another for pupils aged 17 and 18."|"N"|"20140506181801"|""
1|"School"|"Sports:
Rugby, Hockey, Tennis, Rowing strong

Other Sports:
Athletics• Badminton • Boat Club • Canoeing • Cricket• Cross-Country• Fencing• Football• Futsal Club• Golf• Hockey• Karate• Real Tennis• Rugby• Sailing• Shooting• Squash• Swimming• Table Tennis• Tennis• Triathlon • Water Polo"|"N"|"20140511224307"|""
1|"School"|"Major Sports:
Rugby, Hockey, Tennis, Rowing strong

Other Sports:
Athletics• Badminton • Boat Club • Canoeing • Cricket• Cross-Country• Fencing• Football• Futsal Club• Golf• Hockey• Karate• Real Tennis• Rugby• Sailing• Shooting• Squash• Swimming• Table Tennis• Tennis• Triathlon • Water Polo

Fencing is good"|"N"|"20140511224541"|""
1|"School"|"* A total of 125 boarders are accommodated in 3 houses: 2 for pupils aged 13 to 18 and another for pupils aged 17 and 18.
* a female head
* about less than 20 Oxbridge every year"|"N"|"20140506182016"|""
1|"School"|"Chess is strong, many students join UK Chess Challenge ‘Megafinal""."|"N"|"20140511225320"|""
1|"School"|"* A total of 125 boarders are accommodated in 3 houses: 2 for pupils aged 13 to 18 and another for pupils aged 17 and 18.
* a female head
* about less than 20 Oxbridge every year
* work experience available in Abingdon Hospital for aspiring medics."|"N"|"20140511224849"|""
1|"School"|"* A total of 125 boarders are accommodated in 3 houses: 2 for pupils aged 13 to 18 and another for pupils aged 17 and 18.
* a female head (Miss Felicity Lusk, An organist; director of music in New Zealand schools)
* about less than 20 Oxbridge every year
* work experience available in Abingdon Hospital for aspiring medics."|"N"|"20140511225548"|""
1|"School"|"Major Sports:
Rugby, Hockey, Tennis, Rowing strong

Other Sports:
Athletics• Badminton • Boat Club • Canoeing • Cricket• Cross-Country• Fencing• Football• Futsal Club• Golf• Hockey• Karate• Real Tennis• Rugby• Sailing• Shooting• Squash• Swimming• Table Tennis• Tennis• Triathlon • Water Polo

Rugby & Rowing camp/Academy

Fencing is good"|"N"|"20140511224624"|""
1|"School"|"* A total of 125 boarders are accommodated in 3 houses: 2 for pupils aged 13 to 18 and another for pupils aged 17 and 18.

* a female head (Miss Felicity Lusk, An organist; director of music in New Zealand schools)

* about less than 20 Oxbridge every year

* work experience available in Abingdon Hospital for aspiring medics."|"N"|"20140511225601"|""
1|"Others"|"For AA Colleagues:
* Dr Ko's sons studied there before."|"N"|"20140506181543"|""
2|"Others"|"For AA Colleagues:

TS_(If parents want to apply before TS, don't stop)"|"N"|"20140511232926"|""
2|"School"|"* 95% boarders are full boarders"|"N"|"20140511233347"|""
2|"School"|"1858
* 95% boarders are full boarders"|"N"|"20140511233741"|""
2|"School"|"1858
* 95% boarders are full boarders
* 3 houses:
Bartlett, for pupils aged between 11-13; Sanderson for pupils aged 13-16; and the sixth form centre. Five pupils aged nine, ten and eleven from the junior school also board in Bartlett."|"N"|"20140511233922"|""
2|"School"|"1858
* 95% boarders are full boarders
* 3 houses:
Bartlett, for pupils aged between 11-13; Sanderson for pupils aged 13-16; and the sixth form centre. Five pupils aged nine, ten and eleven from the junior school also board in Bartlett. Each house has its own character and is led by a housemistress and a team of assistants and tutors. All houses are located on the central campus."|"N"|"20140511233957"|""
2|"School"|"1858
* 95% boarders are full boarders
* 3 houses: Horizontal
Bartlett, for pupils aged between 11-13; Sanderson for pupils aged 13-16; and the sixth form centre. Five pupils aged nine, ten and eleven from the junior school also board in Bartlett. Each house has its own character and is led by a housemistress and a team of assistants and tutors. All houses are located on the central campus."|"N"|"20140511234018"|""
2|"School"|"1858
* 95% boarders are full boarders
* 3 houses: Horizontal
Bartlett, for pupils aged between 11-13; Sanderson for pupils aged 13-16; and the sixth form centre. Five pupils aged nine, ten and eleven from the junior school also board in Bartlett. Each house has its own character and is led by a housemistress and a team of assistants and tutors. All houses are located on the central campus.
* have junior school from 3 -11"|"N"|"20140511234428"|""
2|"School"|"1858
* 95% boarders are full boarders
* Head: Since 2012, Mrs Rebecca Tear (early forties), BSc MA PGCE. Her degree in chemistry. Was deputy head at Wycombe Abbey
* 3 houses: Horizontal
Bartlett, for pupils aged between 11-13; Sanderson for pupils aged 13-16; and the sixth form centre. Five pupils aged nine, ten and eleven from the junior school also board in Bartlett. Each house has its own character and is led by a housemistress and a team of assistants and tutors. All houses are located on the central campus.
* have junior school from 3 -11
* At GCSE, most girls take10 or so subjects"|"N"|"20140511234905"|""
2|"School"|"1858
* 95% boarders are full boarders
* Head: Since 2012, Mrs Rebecca Tear (early forties), BSc MA PGCE. Her degree in chemistry. Was deputy head at Wycombe Abbey
* 3 houses: Horizontal
Bartlett, for pupils aged between 11-13; Sanderson for pupils aged 13-16; and the sixth form centre. Five pupils aged nine, ten and eleven from the junior school also board in Bartlett. Each house has its own character and is led by a housemistress and a team of assistants and tutors. All houses are located on the central campus.
* have junior school from 3 -11
* At GCSE, most girls take10 or so subjects
* SAT training also provided for those hoping to go to American universities"|"N"|"20140511235116"|""
2|"School"|"1858
* 95% boarders are full boarders
* Head: Since 2012, Mrs Rebecca Tear (early forties), BSc MA PGCE. Her degree in chemistry. Was deputy head at Wycombe Abbey
* 3 houses: Horizontal
Bartlett, for pupils aged between 11-13; Sanderson for pupils aged 13-16; and the sixth form centre. Five pupils aged nine, ten and eleven from the junior school also board in Bartlett. Each house has its own character and is led by a housemistress and a team of assistants and tutors. All houses are located on the central campus.
* have junior school from 3 -11
* At GCSE, most girls take10 or so subjects
* SAT training also provided for those hoping to go to American universities
* Art is good, have students join Central St Martin's
*6th: casual"|"N"|"20140512000439"|""
