"school_id"|"infotype"|"info"|"lastupdate"|"staffid"|"remarks"|"ssyear"
391|"Insurance"|"Pupils’ Personal Accident insurance (compulsory charge)-£5.00 per term
Denplan dental insurance scheme (opt out available)-£3.60 per term"|"20140522132722"|"AA00044"|""|"2014-15"
362|"Long Weekend"|"No"|"20150224101251"|""|""|"2015-16"
10|"Holiday Arrangement"|"Families are expected to respect published dates and do not request
early departures or late returns. If there is a need for early departure from school, that you inform me, in writing, as early as possible."|"20140823115407"|"AA00003"|""|"2014-15"
10|"Half Term Arrangement"|"Boarding houses open until midday the following day at Half Terms, in order for girls to catch flights the following day."|"20140823115700"|"AA00003"|""|"2014-15"
674|"Uniform"|"*Academy uniform for Girls
 Details:
 Blazer: Navy with Academy Badge.
 Either: Skirt: Mid Grey (knee length classic style
 with or without vent) or: Trousers: Mid Grey
 (straight, classic style – no stretch fabrics, turn ups
 or flairs).
 Shirt: Sky Blue worn with Academy tie (worn so
 that there is no gap between the bottom of the tie
 and the skirt/trouser waistband).
 Shoes: Black with flat or low heels (less than 5 cm
 from where the heel joins the shoe). No platform
 or ballet style shoes.
 V-necked jumper (optional): Navy Blue
 Socks: Mid Grey if worn with trousers. White if
 worn with skirt. No logos or designs.
 Anorak/coat: Navy Blue. Plain in style, with no
 logos or stripes.
 Tights: Thick grey for girls in Year 7 to Year 9;
 lightweight for girls in Year 10 and Year 11.
 Academy Bag: Navy Blue or Black. Plain in style.
 No other colours allowed
 Scarf: Navy Blue, plain in style.
 Hat: Navy Blue, plain in style.
 Earrings: Spherical Studs only. Plain Gold or
 Silver only.
 Jewellery: No jewellery, other than plain Earrings
 (see above).
 Scrunchies or Alice Band: Navy Blue
 Hair Slides: Navy Blue or the colour of the hair
 Hair styles: Extreme hairstyles (as decided by the
 Academy) or evidence of dye or tints are not
 acceptable
 Muslim Hijab: If worn it must be Navy Blue
 *Academy uniform for Boys
 Details:
 Blazer: Navy with Academy Badge.
 Trousers: Mid Grey (straight, classic style).
 Shirt: Sky Blue worn with Academy tie (worn so
 that there is no gap between the bottom of the
 tie and the trouser waistband).
 Shoes: Black with flat or low heels (less than 5 cm
 from where the heel joins the shoe). No platform
 shoes.
 V-necked jumper (optional): Navy Blue
 Socks: Mid Grey. No logos or designs.
 Anorak/coat: Navy Blue. Plain in style, with no
 logos or stripes.
 Academy Bag: Navy Blue or Black. Plain in style.
 No other colours allowed.
 Scarf: Navy Blue, plain in style.
 Hat: Navy Blue, plain in style.
 Jewellery: No jewellery.
 Hair styles: Extreme hairstyle (as decided by the
 Academy) or evidence of dye or tints are not
 acceptable."|"20130109171309"|"AA00032"|""|" "
197|"Accommodation Remark"|"[23 Aug 2013] there is Wi-Fi in the rooms in the boarding houses. Of course, there are very strong firewalls and security settings"|"20130823094208"|"AA00025"|""|"2013-14"
2|"Uniform"|"sixth form - casual
fifth form or below - formal"|"20121126154705"|"AA00032"|""|" "
457|"Others"|"Direction to College:
Parents can travel to any of the following Portsmouth Stations:
• Fratton Station (Closest to school)
• Portsmouth & Southsea Station
• Portsmouth Harbour
Parents should then get a taxi to the school from the taxi rank outside the stations.
This is probably the easiest way to get to St John’s. [02 March 2012]


The dress code for Sixth form is ""smart business dress"" so a suit for Boys (with tie) and smart skirts, trousers and jackets for Girls. Most students do wear dark colours but there is some flexibility for sixth form students. Some boys wear brown, grey or beige suits and the girls sometimes like to wear colourful blouses with theirs. [02 July 2011]

* For overseas boarders, a deposit of ?660 is payable. Of this, ?660 will be offset against the child's final term's fees and ?,000 will be refunded after the pupil's final term at the college, subject to any outstanding charges - but not at any other time. (07.04.09)

Uniform requirements for Sixth Formers
Sixth Form students at St John's College do not wear school uniform. However, students must wear smart formal outfits during the school day. Students should dress in a manner appropriate to a professional place of work.
Denim and similar materials are not permitted in the attire of our students during the academic day.

Suits 
White or plain coloured shirts 
Ties 
V necked plain jumpers if required 
Dark rain or waterproof jacket (a warm garment is recommended for the winter) 
Brown or black leather shoes 
Suitable clothes/shoes to be worn in the sports hall 
Swimming trunks 
sports equipment (such as a tennis racquet will be useful) 
Gum shields will be needed for anyone involved in contact sports. 
(19 Aug 08)


70% of pupils from GCSE to A-level
100% 6th form leavers go on to higher education
Max Class Size: 24 (Yr7-11), 15 (6th form) 
(25 Apr 08)
access to the internet is not available in individual rooms but there is access in each house via school computers
Duvet and pillow are provided by school (July 08)"|"20130827190258"|"AA00019"|""|"2013-14"
598|"Admissions Info"|"If there are any students applying to Wycombe Abbey for Y9 entry, the school requested students to apply for CE. We can invigilate CE for their students in our exam centre.

For application and exam of other forms, pls discuss with Battie first."|"20140906112542"|"AA00032"|""|"2015-16"
364|"School Area"|"22 acre campus"|"20150102152445"|"AA00032"|""|"2014-15"
364|"Others"|"Boarders: 
Year 7:     4 pax   
Year 9:     2 pax   
Year 12:   6 pax

Day pupils:
Year 7:     2 pax
Year 12:   2 pax"|"20150102154143"|"AA00032"|""|"2015-16"
37|"Uniform"|"Formal (fith form or below)"|"20121126152353"|"AA00032"|""|" "
36|"Uniform"|"Sixth form -suits,
under sixth form - formal"|"20121126151820"|"AA00032"|""|" "
