"school_id"|"infotype"|"info"|"lastupdate"|"staffid"|"remarks"|"ssyear"
457|"Others"|"Direction to College:
Parents can travel to any of the following Portsmouth Stations:
• Fratton Station
• Portsmouth & Southsea Station
• Portsmouth Harbour
Parents should then get a taxi to the school from the taxi rank outside the stations.
This is probably the easiest way to get to St John’s. [02 March 2012]


The dress code for Sixth form is ""smart business dress"" so a suit for Boys (with tie) and smart skirts, trousers and jackets for Girls. Most students do wear dark colours but there is some flexibility for sixth form students. Some boys wear brown, grey or beige suits and the girls sometimes like to wear colourful blouses with theirs. [02 July 2011]

* For overseas boarders, a deposit of ?660 is payable. Of this, ?660 will be offset against the child's final term's fees and ?,000 will be refunded after the pupil's final term at the college, subject to any outstanding charges - but not at any other time. (07.04.09)

Uniform requirements for Sixth Formers
Sixth Form students at St John's College do not wear school uniform. However, students must wear smart formal outfits during the school day. Students should dress in a manner appropriate to a professional place of work.
Denim and similar materials are not permitted in the attire of our students during the academic day.

Suits 
White or plain coloured shirts 
Ties 
V necked plain jumpers if required 
Dark rain or waterproof jacket (a warm garment is recommended for the winter) 
Brown or black leather shoes 
Suitable clothes/shoes to be worn in the sports hall 
Swimming trunks 
sports equipment (such as a tennis racquet will be useful) 
Gum shields will be needed for anyone involved in contact sports. 
(19 Aug 08)


70% of pupils from GCSE to A-level
100% 6th form leavers go on to higher education
Max Class Size: 24 (Yr7-11), 15 (6th form) 
(25 Apr 08)
access to the internet is not available in individual rooms but there is access in each house via school computers
Duvet and pillow are provided by school (July 08)"|"20130111111532"|"AA00032"|""|""
642|"WIFI, ICT, Computer"|"[31 Aug 2013]
There is wireless access around the whole school, giving internet, Skype and other web based application access.

There are no requirements for any versions of windows/Mac/Linux to work with our system. We will however been limited in helping if the laptop is not in English."|"20130831100259"|"AA00025"|""|"2013-14"
21|"Long Weekend Arrangement"|"Cannot Stay"|"20130723170000"|""|""|"2013-14"
110|"Others"|"Bed measurements	                   Fitted sheet	   Flat sheet          Duvet over
UK Single
90 cm × 190 cm (35 in × 75 in)	90 × 190 × 20 cm	180 × 260 cm     135 × 200 cm"|"20130724095907"|"AA00025"|""|"2013-14"
607|"Name Tages"|"[2011] when make name tapes, no need to put down name of house, only need the student's name"|"20130724114022"|"AA00025"|""|"2011-00"
101|"Extra Charges"|"4) Cleaning Fee : All rooms are cleaned once a week. 
a. Laundry is not included – machines are provided in the laundry room which you have to pay for
b. Uniform can be washed and dried."|"20130727115803"|"AA00025"|""|"2013-14"
687|"HK Parent's Contact"|"Steffan Siu Long Yin"|"20130801095702"|"AA00025"|""|"2013-14"
139|"Uniform"|"This can all be bought on site from the School School.  Kate Wood runs the shop and she can be reached at; kwood@deanclose.org.uk.  The shop runs by appointment.  It is closed at the moment but it re-opens at the end of August."|"20130730110159"|"AA00019"|""|"2013-14"
88|"HK Parent's Contact"|"[3 Jun 2010]
SID1778 PUN(POON) I Cheng, Gabriela 

[3 Jun 2010]
SID1778 PUN(POON) I Cheng, Gabriela"|"20121126183410"|"AA00032"|""|""
423|"Half Term Arrangement"|"Can stay half term and exeat, pls read school arrangment sheet at server"|"20130723170000"|""|""|"2013-14"
