"school_id"|"visitdate"|"lastupdate"|"staffid"|"remarks"|"schoolcontact"|"visitlog"|"result"
2|"20120601"|"20120601132504"|""|"First Visit without $"|""|""|""
634|"20150207"|"20150207131622"|""|"Visit to office:
updates:
will have 26 new ensuite single bedroom in Sep2017"|""|""|""
604|"20150130"|"20150130132404"|"AA00007"|"Visit to Office:
* 2015 is school's 140 years anniversary
* from Sep 2015, established ISC, set up Foundation for 6th Form, recruit boys for Foundation for 6th Form and 6th form.
* school is happy to recruit students with age of 17 years old joining ISC for Foundation for 6th Form. The school prefers them to stay and finish AL but can find another school. Students leaving the school at age 20 is acceptable for this school
* 25% int'l students from 12 countries, currently 5 G fr China, 4 G fr HK. school policy: no more than 8 students from same countries
* currently 200 pupils, max 300
* school arrange airport pickup using a good taxi company
* exeat weekend: can stay in school
* 6th form wear Navy Blue suits purchased from school outfitters
* happy to accept AA test but need to skype"|""|""|""
126|"20150306"|"20150306190947"|"AA00054"|"*Around 40% of the students are going to study in the U.K Boarding School in the coming Sept. 

*Core Subjects are 
       -Maths
       -Business Studies
(One subject for a 2 weeks course/Both subjects for a 4 weeks course)

*Elective Subjects are
        -Literature and Art
        -Psychology
        -General Science
        -Computing and IT 
(2 Subjects for 2 weeks course/4 Subjects for 4 weeks course)

*2-week course fees include Return airport transfer from LHR and BRS. (UM need additional charge GBP55 per student)

*3 Full-day excursions: London, Oxford, Salisbury and Stonehenge 

*2 Half-day excursions: Bath, Cardiff

*Clifton Prep offer free 1-2 taster weeks for ideally Age 11"|""|""|""
517|"20150526"|"20150527214752"|"AA00007"|"By B
- will offer 5 scholarships
- college video will be available and the link can be sent to the parents."|""|""|""
570|"20150602"|"20150602121153"|"AA00007"|"Visit to AA:

- 20-25 Asian at school including HK, Thai, China
-in 2 years sixth form, 2/3 do AL, 1/3 do IB (ie about 100 do AL, 50 do IB)
- in IB, students can do Chinese as First Language & English as second language
- from Sep2015, AL students will do 3 AL, EPQ available, not compulsory
- 1 year GCSE course: will take I/GCSE Eng, Math, 3 sciences, Hist or Geog and own language. The students will take lessons with current Y10 & Y11 students (ie mixing with the British)"|""|""|""
210|"20150518"|"20150521142447"|"AA00049"|"Guildford College
-	25 mins drive to London Heathrow
-	1 hour train to London Waterloo
-	Accommodation: Home stay only
-	Course offered: A-level, A-level plus English, Foundation Year, English Language, Summer English etc
-	Students from 42 nationalities 
-	Offer Agents portal for us to receive latest news, courses information, pictures of the colleges.
-	Living standard in Guildford is high, comparable to London"|""|""|""
69|"20150518"|"20150521142527"|"AA00049"|"The Bournemouth and Poole College
-	1 hour 30 mins to London Heathrow
-	1 hour 40 mins to Central London
-	Accommodation: Home stay, usually 30 mins walk or bus distance

Highlighted courses: University of London International Foundation Programme
-	1 year course
-	Must be 17 years old plus minimum IELTS 6.0 with no less than 5.5 in reading and writing. In addition, you must have no less than 85% grade from your final year of high school.
-	Fees £16,960
-	For Sep 2014 entry: total 12 students (4 students progress to UCL, including LSE)
-	For more details: http://www.thecollege.co.uk/international/courses/international-foundation.html"|""|""|""
18|"20150606"|"20150606185307"|""|"Meeting with Sherborne Girls: 

Application Procedure:
Y7,8,12: apply 1 year ahead.
Y9: apply 2 years ahead. 
Y10: check vacancy with school first, normally, school will not have places for Y10

Interviewing in HK:
School will come to HK in Oct/Nov to interview applicants and conduct music audition:
For Y9 (2 years ahead) : interview first, then school will encourage or not for registration, then file in reg form and fee, attend UKiset, then school will offer or not. If offered, it is a firm place. Student will take setting exam paper 1 year ahead.
For Y7, 8 ,10, 12 : UKiset is not compulsory. But helpful to have UKiset 
For Y7,8,12: interview, then school will encourage or not for registration, then file in reg form and fee and attend school entrance exam.
For Y10: pls check place first, if school can consider, arrange student to interview, then school will encourage or not for registration, then file in reg form and fee and attend school entrance exam.
Scholarship for Year 9: it is possible for school to commit swimming and music scholarship 2 years ahead. But for academic scholarship exam, it will take place in Jan before the entry in Sep. (see below for scholarship)
Any students interested to apply for music scholarship and want to attend audition when school is in HK in Oct/Nov. Students details have to be sent to the school by end of Sep. 


Scholarships:
Each student can apply 2 scholarships at the same time, cannot be more than 2. 
1.	Swimming scholarship (a type of sports scholarship): available for Y7,8,9,10,12. But Y10 will be harder to be awarded as scholarship is normally not available for Y10. If your Y10 student want to apply swimming scholarship, this student has to have national times (times: tbc). Head of school said, in the UK, there aren’t many academic schools with good swimming, SG is one of them. Each student will have 14-16 hours training per week.
2.	Organ scholarship (a type of music scholarship): available for Y7,8,9,10,12. But Y10 will be harder to be awarded as scholarship is normally not available for Y10. If you have a good pianist for Sep2015 entry, you can try, minimum G8+ for 6th form, G6+ for lower form. The scholarship will be ranging from 10-15%, if need more, can apply for bursary. The student will have 3 free music lessons per week with 2 instruments free. 
3.	Academic scholarship: available Y7,9,12. 

Reform of AL:
From Sep2015, sixth former will take 3 AL and EPQ, school will not arrange students to take AS exam at the end of first year. For students taking F.Math, they can do 4 AL. 

Head’s words:
Currently, 93% of students are boarders. Most of the pupils in the school are local British. She admitted that there aren’t many international students in her school now. In Sep 2015, there are only 2 HK girls joining Y9. The school is concerned that they should provide a global environment in the school but the school is very popular among UK market especially for Y9."|""|""|""
602|"20160122"|"20160125204546"|"AA00007"|"* 100 people attends academic course
* 80-85% Intl student
* staff: student ratio: 1: 3
* IELTS: 5.5 Al, 5.0 foundation, 4.5 GCSE (guideline only, no need students to actually take IELTS)
* as at today, 4-5 HK, 5-6 mainland
* dress code: black suits"|""|""|""
115|"20160212"|"20160212172606"|"AA00029"|"-Founded in 1541 by Henry VIII
-19% Oversea students in the whole school, HK Biggest group, followed by German.
-Majority of the boarders are Local British, most of the boarders are full boarders.
-School is strong in History, Maths, Art, Drama, Photography and Music.
-There are 5 senior boarding houses in the whole school. Junior boarding houses opened in 2014.
-Brecon is the nearest town which has cinema, cafe, shops and supermarkets.
-The school is three hours' drive from London Heathrow, school offers airport transfers for students to/from Heathrow only.
-Junior boarders share a room in 3, Senior boarders share in 2, boarders get a single room with a sink in final year.
-School has own guardianship arrangement and can recommend local host families for international students. Guardianship fee is around GBP350 per year.
-School fees including EAL lessons- students get 4x 35mins EAL lessons per week during first year. Students can always attend EAL lessons within school hours without extra charges.
-There are 24 Oxbridge placements in the last 10 years."|""|""|""
