"school_id"|"visitdate"|"lastupdate"|"staffid"|"remarks"|"schoolcontact"|"visitlog"|"result"
2|"20120601"|"20120601132454"|""|"First Visit"|""|""|""
604|"20150130"|"20150130131943"|"AA00007"|"Visit to Office:
* 2015 is school's 140 years anniversary
* from Sep 2015, established ISC, set up Foundation for 6th Form, recruit boys for Foundation for 6th Form and 6th form.
* school is happy to recruit students with age of 17 years old joining ISC for Foundation for 6th Form. The school prefers them to stay and finish AL but can find another school. Students leaving the school at age 20 is acceptable for this school"|""|""|""
126|"20150306"|"20150306190116"|"AA00054"|"*Around 40% of the students are going to study in the U.K Boarding School in the coming Sept. 

*Core Subjects are 
       -Maths
       -Business Studies
(Choose one sub for 2 weeks course/Will do both subjects for a 4 weeks course)

*Elective Subjects are"|""|""|""
210|"20150521"|"20150521142426"|"AA00049"|"Guildford College
-	25 mins drive to London Heathrow
-	1 hour train to London Waterloo
-	Accommodation: Home stay only
-	Course offered: A-level, A-level plus English, Foundation Year, English Language, Summer English etc
-	Students from 42 nationalities 
-	Offer Agents portal for us to receive latest news, courses information, pictures of the colleges.
-	Living standard in Guildford is high, comparable to London"|""|""|""
210|"20150521"|"20150521142437"|"AA00049"|"Guildford College
-	25 mins drive to London Heathrow
-	1 hour train to London Waterloo
-	Accommodation: Home stay only
-	Course offered: A-level, A-level plus English, Foundation Year, English Language, Summer English etc
-	Students from 42 nationalities 
-	Offer Agents portal for us to receive latest news, courses information, pictures of the colleges.
-	Living standard in Guildford is high, comparable to London"|""|""|""
511|"20160218"|"20160223105457"|"AA00054"|""|""|""|""
381|"20121207"|"20160411102253"|"AA00007"|"Campus Location:
The school’s postal address is Hatfield, but it is actually nearer to Potters Bar, from which a £5 taxi ride takes one to the school.  Potters Bar is about 35 miles from Heathrow, about 45 – 50 minutes by taxi.
Taxi from Heathrow, or Airport Express to Paddington, and on to Potters Bar by Underground and mainline train.  This public transport journey is a bit complicated and girls apparently always choose to share cars.

Campus:
This is a rural school, set in the countryside about 2 miles from Potters Bar, but local buses are frequent and the school appeared to have a whole fleet of  mini-buses constantly running in and out.

Accommodation:
Boarding is organised by age-group – small shared bedrooms for the younger girls, moving to twin rooms and then singles further up the school.  It is all very modern and pleasant, with plenty of shared common-room space and good bathrooms.  50% of the 400 girls are boarders and flexi-boarders are also provided for, a great improvement on many girls’ schools these days, where boarding is very very small

Facilities:
This is a school which is clearly well-supported by a Foundation Fund!   The buildings and grounds appear very traditional, but inside everything is up-to-date and very well-kept.  Language labs, science labs, new theatre – everything is smart and clean.  Computer facilities are everywhere, the library has a good balance of books/computers.

General:
Examinations:    The school offers only A levels at present.
Uniform:   	        A reasonably short uniform list.  Girls change into home clothes at the end of the school day and the uniform itself is realatively simple. Grey skirts and purple shirts and sweaters. Sixth Form girls wear their own clothes (smart jackets and skirts or trousers!)
Admission:           Via the school’s own entrance tests

Suitable For:
Reasonably academic girls – feeder schools in Hong Kong include St Mary’s Canossian, Marymount and Maryknoll.  The atmosphere is very warm and very tolerant, so most girls would thrive here.

NOT Suitable For:
Girls only interested in work.
Girls who are very, very shy.  The school is very buzzy and a desperately shy girl might feel overwhelmed at times.

AA Comment:
It is nearly 20 years since I last visited Queenswood and it has transformed itself in that time! It is now a modern, lively school with a population of girls who are very polite, but extremely outgoing and lively."|""|""|""
257|"20150427"|"20160412115005"|"AA00039"|"Consultant's visit: 

Campus Location:
The school is 25 mins away from the nearest station – St Neots. The station is very small and there is a taxi station outside the train station. Regular service connects with St Neots and London King’s Cross station every day. It takes less than an hour to reach King’s Cross.

Campus:
The school is located in the village. The surroundings are residential areas.
The school will organise shuttle buses to send the boarders to Cambridge in weekends.

Accommodation:
There are 2 boarding houses which are located on the same street just opposite the school gate. Each boarding house has around 35 students. They are all share rooms from 2 to 4 persons. The rooms are quite spacious and they are clean and tidy. Bathrooms are newly refurbished. Students are allowed to go back to the boarding house for snacks during free time or lunch time. Relationships of the boarding housemasters and students are very close.

Facilities:
The school is about 190 acres, combined with modern and traditional buildings. 
The main school is located in the Kimbolton Castle where the headmaster office located. The castle was mostly used for teaching as well. Students who studies humanities subjects are having their lessons inside the castle. 

New science block is under construction and will be opened in September 2015. This includes 12 science laboratories and five new Maths classrooms (linking to three existing ones). It additionally houses a Digital Learning classroom, ICT server rooms, a greenhouse and technician areas. 
Teaching are not only limited inside the classrooms but also the big grassland in the main campus. Different groups of students are having their lessons during the visit."|""|""|""
549|"20150427"|"20160412123743"|"AA00039"|"Consultant's visit: 

Campus Location:
Stephen Perse Sixth Form College is located near the City of Cambridge. It is about 20mins walk from the Cambridge station. Unlike the Junior and Senior School, the Sixth Form College is allocated separately on the other side of the Cambridge University Botanic Garden.

Campus:
The school is near the residential areas and the sports ground of the school. Most students live in town. Some activities or language lessons may be arranged in the Senior School after school, school will provide regular shuttle buses to transfer the students.

Accommodation:
Students have to arrange home stay on their own

Facilities:
School facilities are all very modern. The school has also rent another building as a new teaching block–The Shaftesbury Building which is just opposite the school main building. Conference rooms and school library has also been set up in the new building
Students can have lunch in the canteen and will be asked to pay for meals as taken.

Suitable For:
Students with good academic result
Independent student with good spoken English

NOT Suitable For:
Students who are shy and relying on others

AA Comment:
The facilities of the school are very modern and the students are all very independent. Staffs and tutors are very friendly and always willing to help even after school, they are happy to stay behind and have private tutorial."|""|""|""
384|"20160511"|"20160530190945"|"AA00007"|"Visited by Battie

Campus Location:
Radley Station is within 15 mins walking distance to Radley College. Train from London Paddington to Radley take 58 min but need to change at Didcot Parkway. Alternatively, direct train from London Paddington to Oxford then half hour taxi. Drive from Heathrow takes 1 hour. 

Campus:
Huge!
700 acres. Registrar told me that it is very easy to remember because the school has 700 students, so 700 acres for 700 students. 
Enclosed campus"|""|""|""
