"aa_id"|"exam"|"results"|"maxscore"|"lastupdate"|"staffid"|"remarks"|"course"
"S007801"|"AA Test Eng"|"45"|""|"20130327192624"|""|""|"Year 12"
"S007801"|"AA Test Eng"|"45"|"50"|"20130327192716"|""|""|"Year 12"
"S007801"|"AA Test Eng"|"45"|"50"|"20130327192734"|""|""|"Year 12"
"S011889"|"AA Test Maths"|"63"|""|"20130405142122"|"AA00035"|""|"Year 9"
"S011848"|"AA Test Eng"|"39"|""|"20130405110809"|"AA00011"|""|"Year 8"
"S011848"|"AA Test Maths"|"81"|""|"20130405110826"|"AA00011"|""|"Year 8"
"S011848"|"AA Test Eng"|"39"|"50"|"20130405143007"|"AA00025"|""|"Year 8"
"S011848"|"AA Test Eng"|"39"|"50"|"20130405143050"|"AA00025"|""|"Year 8"
"S011445"|"AA Test Maths"|"52"|"100"|"20130308002402"|""|""|""
"S011828"|"AA Test Eng"|"43"|"84"|"20130406173608"|"AA00025"|""|"Year 12"
"S011896"|"AA Test Eng"|"45"|""|"20130405114037"|"AA00011"|""|"Year 12"
"S011896"|"AA Test Maths"|"61"|""|"20130405114049"|"AA00011"|""|"Year 12"
"S011947"|"AA Test Eng"|"44"|""|"20130406112819"|"AA00011"|""|"Year 12"
"S011947"|"AA Test Maths"|"84"|""|"20130406112832"|"AA00011"|""|"Year 12"
"S006500"|"AA Test Eng"|"45"|"50"|"20130308002336"|""|""|""
"S006500"|"AA Test Maths"|"97"|"100"|"20130308002336"|""|""|""
"S011962"|"AA Test Eng"|"38"|"57"|"20130413113856"|"AA00011"|""|"Year 10"
"S011962"|"AA Test Eng"|"38"|"38"|"20130413113930"|"AA00011"|""|"Year 10"
"S011698"|"AA Test Eng"|"45"|"96"|"20130413174443"|"AA00011"|""|"Year 12"
"S011954"|"AA Test Eng"|"38"|"50"|"20130406154105"|"AA00011"|""|"Year 10"
"S011954"|"AA Test Maths"|"50"|"100"|"20130406154217"|"AA00011"|""|"Year 10"
"S003533"|"AA Test Eng"|"44"|"50"|"20130308002325"|""|""|""
"S003533"|"AA Test Maths"|"94"|"100"|"20130308002325"|""|""|""
"S011787"|"AA Test Eng"|"34"|"50"|"20130403151712"|"AA00019"|""|"Year 12"
"S011787"|"AA Test Maths"|"64"|"100"|"20130403151743"|"AA00019"|""|"Year 12"
"S009369"|"AA Test Eng"|"46"|"50"|"20130308002356"|""|""|""
"S009369"|"AA Test Maths"|"75"|"100"|"20130308002356"|""|""|""
"S011963"|""|"46"|"50"|"20130419163816"|"AA00036"|""|"English"
"S011963"|""|"46"|"50"|"20130419163846"|"AA00036"|""|""
"S011963"|"AA Test Maths"|"72"|"100"|"20130419163833"|"AA00036"|""|""
"S008153"|"AA Test Eng"|"40"|"40"|"20130420123348"|"AA00011"|""|"Year 12"
"S008153"|"AA Test Maths"|"72"|"72"|"20130420123405"|"AA00011"|""|"Year 12"
"S008849"|"AA Test Maths"|"12"|"12"|"20130417154121"|"AA00011"|""|"English Course"
"S008849"|"AA Test Maths"|"12"|"50"|"20130420153231"|"AA00027"|""|"English Course"
"S008849"|"AA Test Eng"|"28"|"12"|"20130417154107"|"AA00011"|""|"English Course"
"S009580"|"AA Test Eng"|"43"|"50"|"20130308002357"|""|""|""
"S009580"|"AA Test Maths"|"74"|"100"|"20130308002357"|""|""|""
"S009520"|"AA Test Eng"|"47"|"50"|"20130308002357"|""|""|""
"S009520"|"AA Test Maths"|"90"|"100"|"20130308002357"|""|""|""
"S012011"|"AA Test Eng"|"33"|"50"|"20130422113341"|"AA00011"|""|"Year 12"
"S012011"|"AA Test Maths"|"56"|"100"|"20130422113359"|"AA00011"|""|"Year 12"
"S005604"|"AA Test Eng"|"41"|"50"|"20130308002332"|""|""|""
"S005604"|"AA Test Maths"|"40"|"100"|"20130308002332"|""|""|""
"S011945"|"AA Test Eng"|"40"|"50"|"20130405142824"|"AA00025"|""|"Year 9"
"S011945"|"AA Test Maths"|"80"|"100"|"20130405142831"|"AA00025"|""|"Year 9"
"S011737"|"AA Test Eng"|"47"|"50"|"20130308002403"|""|""|""
"S011737"|"AA Test Maths"|"93"|"100"|"20130308002403"|""|""|""
"S009662"|"AA Test Eng"|"35"|"50"|"20130426180257"|"AA00036"|""|""
"S001348"|"AA Test Eng"|"49"|"50"|"20130308002317"|""|""|""
"S001348"|"AA Test Maths"|"82"|"100"|"20130308002317"|""|""|""
"S011999"|"AA Test Eng"|"46"|"46"|"20130420114815"|"AA00011"|""|"Year 10"
"S011999"|"AA Test Maths"|"18"|"18"|"20130420114831"|"AA00011"|""|"Year 10"
"S011999"|"AA Test Eng"|"46"|"50"|"20130427104654"|"AA00011"|""|"Year 10"
"S011999"|"AA Test Maths"|"18"|"100"|"20130427104701"|"AA00011"|""|"Year 10"
"S012009"|"AA Test Eng"|"39"|"50"|"20130420173728"|"AA00027"|""|"Year 12"
"S011979"|"AA Test Eng"|"46"|"50"|"20130427163131"|"AA00025"|""|"Year 10"
"S011979"|"AA Test Maths"|"86"|"100"|"20130413153214"|"AA00025"|""|"Year 10"
"S012039"|"AA Test Eng"|"37"|"50"|"20130427155237"|"AA00036"|""|""
"S012039"|"AA Test Maths"|"60"|"100"|"20130427155246"|"AA00036"|""|""
"S011938"|"AA Test Eng"|"47"|"50"|"20130427142634"|"AA00036"|""|""
"S011938"|"AA Test Maths"|"94"|"100"|"20130427142644"|"AA00036"|""|""
"S007151"|"AA Test Maths"|"97"|"100"|"20130308002338"|""|""|""
"S007151"|"AA Test Eng"|"46"|"50"|"20130308002338"|""|""|""
"S012051"|"AA Test Eng"|"45"|"50"|"20130502150531"|"AA00007"|""|""
"S008057"|"AA Test Eng"|"43"|"50"|"20130308002342"|""|""|""
"S008057"|"AA Test Maths"|"94"|"100"|"20130308002342"|""|""|""
"S011992"|"AA Test Maths"|"68"|"100"|"20130504163226"|"AA00011"|""|"Year 12"
"S007488"|""|"49"|"50"|"20130504170756"|"AA00013"|"Redo"|""
"S007488"|"AA Test Maths"|"77"|"100"|"20130308002339"|""|""|""
"S009827"|"AA Test Eng"|"37"|"50"|"20130308002358"|""|""|""
"S009827"|"AA Test Maths"|"77"|"100"|"20130308002358"|""|""|""
"S006198"|"AA Test Eng"|"17"|"50"|"20130308002335"|""|""|""
"S006198"|"AA Test Maths"|"77"|"100"|"20130308002335"|""|""|""
"S003708"|"AA Test Eng"|"n/a"|"50"|"20130308002325"|""|""|""
"S003708"|"AA Test Maths"|"56"|"100"|"20130308002325"|""|""|""
"S003708"|"AA Test Eng"|"47"|"50"|"20130510164717"|"AA00035"|""|"Year 12"
"S003708"|"AA Test Maths"|"82"|"100"|"20130510164755"|"AA00035"|""|"Year 12"
"S011696"|"AA Test Maths"|"95"|"100"|"20130511113252"|"AA00013"|""|"Year 12"
"S012102"|"AA Test Maths"|"44"|"50"|"20130511124113"|"AA00025"|""|"Year 12"
"S010861"|"AA Test Eng"|"39"|"50"|"20130308002400"|""|""|""
"S010861"|"AA Test Eng"|"39"|"50"|"20130511133728"|"AA00025"|""|""
"S010861"|"AA Test Maths"|"96"|"100"|"20130308002400"|""|""|""
"S007890"|"AA Test Eng"|"40"|"50"|"20130308002341"|""|""|""
"S007890"|"AA Test Maths"|"94"|"100"|"20130308002341"|""|""|""
"S006379"|"AA Test Eng"|"42"|"50"|"20130308002336"|""|""|""
"S006379"|"AA Test Maths"|"50"|"100"|"20130308002336"|""|""|""
"S012018"|"AA Test Maths"|"47"|"100"|"20130508161430"|"AA00025"|""|"Year 7"
"S012084"|"AA Test Maths"|"36"|"96"|"20130516100959"|"AA00011"|""|"Year 12"
"S009571"|"AA Test Eng"|"0"|"50"|"20130308002357"|""|""|""
"S009571"|"AA Test Maths"|"88"|"100"|"20130308002357"|""|""|""
"S011622"|"AA Test Eng"|"39"|"39"|"20130418164247"|"AA00011"|""|"Year 9"
"S011622"|"AA Test Maths"|"52"|"52"|"20130418164308"|"AA00011"|""|"Year 9"
"S005036"|"AA Test Eng"|"46"|"50"|"20130518154448"|"AA00035"|""|"Year 10"
"S005036"|"AA Test Eng"|"46"|"50"|"20130518154555"|"AA00035"|"Re-do"|"Year 10"
"S012097"|"AA Test Maths"|"44"|"100"|"20130511142741"|"AA00011"|""|"Year 12"
"S010982"|"AA Test Maths"|"88"|"100"|"20130308002400"|""|""|""
"S010982"|"AA Test Eng"|"42"|"50"|"20130308002400"|""|""|""
"S012162"|"AA Test Eng"|"29"|"50"|"20130524165707"|"AA00036"|""|"Year 12"
"S009489"|"AA Test Eng"|"43"|"50"|"20130308002357"|""|""|""
"S009489"|"AA Test Maths"|"100"|"100"|"20130308002357"|""|""|""
"S012131"|"AA Test Maths"|"88"|"100"|"20130518152011"|"AA00036"|""|"Year 12"
"S011666"|"AA Test Eng"|"37"|"50"|"20130308002402"|""|""|""
"S011666"|"AA Test Maths"|"24"|"100"|"20130308002402"|""|""|""
"S012131"|"AA Test Maths"|"96"|"100"|"20130525142123"|"AA00020"|""|"Year 12"
"S012131"|"AA Test Eng"|"40"|"50"|"20130518151957"|"AA00036"|""|"Year 12"
"S012131"|"AA Test Maths"|"88"|"100"|"20130525142415"|"AA00020"|""|"Year 12"
"S012101"|"AA Test Eng"|"37"|"50"|"20130525164453"|"AA00038"|""|"Year 12"
"S012101"|"AA Test Maths"|"40"|"100"|"20130511162635"|"AA00013"|""|"Year 12"
"S011783"|"AA Test Maths"|"57"|"100"|"20130528172359"|"AA00038"|""|"Year 10"
"S011783"|"AA Test Maths"|"68"|"100"|"20130529102158"|"AA00038"|""|"Year 10"
"S011783"|"AA Test Maths"|"60"|"100"|"20130529102247"|"AA00038"|""|"Year 10"
"S011783"|"AA Test Maths"|"86"|"100"|"20130529105338"|"AA00002"|""|"Year 10"
"S011848"|"AA Test Maths"|"81"|"100"|"20130405143012"|"AA00025"|""|"Year 8"
"S011783"|""|"42"|"50"|"20130529142452"|"AA00002"|""|""
"S011783"|"AA Test Maths"|"60"|"100"|"20130529105419"|"AA00002"|""|"Year 10"
"S011999"|"AA Test Maths"|"46"|"50"|"20130427111032"|"AA00019"|""|"Year 9"
"S009860"|"AA Test Eng"|"0"|"50"|"20130308002358"|""|""|""
"S009860"|"AA Test Maths"|"88"|"100"|"20130308002358"|""|""|""
"S009063"|"AA Test Eng"|"0"|"50"|"20130308002345"|""|""|""
"S009063"|"AA Test Maths"|"68"|"100"|"20130308002345"|""|""|""
"S011204"|"AA Test Eng"|"46"|"50"|"20130601104706"|"AA00011"|""|"Year 9"
"S011204"|"AA Test Maths"|"84"|"100"|"20130601104730"|"AA00011"|""|"Year 9"
"S011204"|"AA Test Maths"|"84"|"100"|"20130601104756"|"AA00011"|""|"Year 9"
"S009571"|"AA Test Maths"|"77"|"100"|"20130516171015"|"AA00038"|""|"Year 9"
"S009571"|"AA Test Maths"|"90"|"100"|"20130601103125"|"AA00038"|""|"Year 9"
"S011049"|"AA Test Eng"|"47"|"50"|"20130308002400"|""|""|""
"S011049"|"AA Test Maths"|"90"|"100"|"20130308002400"|""|""|""
"S011910"|"AA Test Maths"|"80"|"100"|"20130601151216"|"AA00038"|""|"Year 12"
"S007201"|"AA Test Eng"|"45"|"50"|"20130308002338"|""|""|""
"S007201"|"AA Test Maths"|"68"|"100"|"20130308002338"|""|""|""
"S009063"|"AA Test Maths"|"84"|"100"|"20130530173704"|"AA00025"|""|"Year 8"
"S004838"|"AA Test Eng"|"43"|"50"|"20130308002330"|""|""|""
"S004838"|"AA Test Maths"|"96"|"100"|"20130308002330"|""|""|""
"S012212"|"AA Test Maths"|"34"|"100"|"20130608120317"|"AA00038"|""|"Year 9"
"S006294"|"AA Test Maths"|"58"|"100"|"20130608141740"|"AA00011"|""|"Year 9"
"S006294"|"AA Test Maths"|"47"|"100"|"20130308002335"|""|""|""
"S006294"|"AA Test Eng"|"N/A"|"50"|"20130308002335"|""|""|""
"S012219"|"AA Test Eng"|"33"|"50"|"20130608120421"|"AA00011"|""|"Foundation"
"S012219"|"AA Test Maths"|"24"|"100"|"20130608120455"|"AA00011"|""|"Foundation"
"S009925"|"AA Test Maths"|"16"|"100"|"20130308002358"|""|""|""
"S009925"|"AA Test Eng"|"37"|"50"|"20130308002358"|""|""|""
"S009843"|"AA Test Maths"|"89"|"100"|"20130308002358"|""|""|""
"S009843"|"AA Test Eng"|"0"|"50"|"20130308002358"|""|""|""
"S009843"|"AA Test Eng"|"0"|"50"|"20130611175216"|"AA00003"|""|""
"S009450"|"AA Test Eng"|"32"|"50"|"20130308002357"|""|""|""
"S009450"|"AA Test Maths"|"75"|"100"|"20130308002357"|""|""|""
"S009620"|"AA Test Eng"|"43"|"50"|"20130308002357"|""|""|""
"S009620"|"AA Test Maths"|"64"|"100"|"20130308002357"|""|""|""
"S005168"|"AA Test Maths"|"61"|"100"|"20130308002331"|""|""|""
"S005168"|"AA Test Eng"|"N/A"|"50"|"20130308002331"|""|""|""
"S005168"|"AA Test Maths"|"84"|"100"|"20130613112550"|"AA00011"|""|"Year 9"
"S008709"|"AA Test Eng"|"45"|"50"|"20130308002344"|""|""|""
"S008709"|"AA Test Maths"|"87"|"100"|"20130308002344"|""|""|""
"S012010"|"AA Test Eng"|"36"|"50"|"20130420174452"|"AA00027"|""|"Year 10"
