"aa_id"|"examschool"|"examschooltype"|"subject"|"result"|"gov"|"cat"|"qualification"|"piece"|"composer"|"piority"|"lastupdate"|"staffid"|"remarks"|"event"
"S008171"|"Tonbridge School"|"Music Audition"|"Violin"|""|"N/A"|""|"ABRSM G7 [121] Sep 2009"|"Légende"|"Henryk Wieniawski"|1|"20120830211837"|""|""|"MUSIC AUDITION-TOP SCHOOLS WEEKEND 2012"
"S008171"|"Tonbridge School"|"Music Audition"|"Violin"|""|"N/A"|""|"ABRSM G8 [127] May 2011"|"Sonate Opus 24 1st Movement"|"Ludwig van Beethoven"|1|"20120830211837"|""|""|"MUSIC AUDITION-TOP SCHOOLS WEEKEND 2012"
"S008171"|"testing"|"Music Audition"|"Violin"|""|"N/A"|""|"ABRSM G8 [127] May 2011"|"Sonate Opus 24 1st Movement"|"Ludwig van Beethoven"|1|"20120830212130"|""|""|"MUSIC AUDITION-TOP SCHOOLS WEEKEND 2012"
"S009695"|""|"Music Audition"|"Viola"|""|"N/A"|""|""|"Notturno for Viola and Piano, Op.42 2nd Movement"|"Beethoven"|1|"20120913201203"|"AA00003"|""|"MUSIC AUDITION-TOP SCHOOLS WEEKEND 2012"
"S009695"|""|"Music Audition"|"Viola"|""|"N/A"|""|"ABRSM G8 [130] Apr 2012"|"Sonatensatz (Sonata Movement: Scherzo) in C minor, Op. posth"|"Brahms"|1|"20120913201203"|"AA00003"|""|"MUSIC AUDITION-TOP SCHOOLS WEEKEND 2012"
"S009695"|""|"Music Audition"|"Guzheng (Chinese zither)"|""|"N/A"|""|"Central Conservatory of Music Diploma [pass] Jul 2012 - Cert to be issued in Oct 2012"|"Fantasia"|"Wang Jianmin"|3|"20120913204014"|"AA00003"|""|"MUSIC AUDITION-TOP SCHOOLS WEEKEND 2012"
"S009695"|""|"Music Audition"|"Viola & Guzheng (Chinese zither)"|""|"N/A"|""|"Guzheng- Central Conservatory of Music Diploma [pass] Jul 2012 (Cert to be issued in Oct 2012)"|"Fantasia"|"Wang Jianmin"|3|"20120913205740"|"AA00003"|""|"MUSIC AUDITION-TOP SCHOOLS WEEKEND 2012"
"S009695"|""|"Music Audition"|"Guzheng (Chinese zither)"|""|"N/A"|""|"Central Conservatory of Music G9 [pass] Jul 2006"|""|""|3|"20120913204014"|"AA00003"|""|"MUSIC AUDITION-TOP SCHOOLS WEEKEND 2012"
"S009695"|""|"Music Audition"|"Viola & Guzheng (Chinese zither)"|""|"N/A"|""|"Guzheng- Central Conservatory of Music Diploma [pass] Jul 2012 (Cert to be issued in Oct 2012)"|"Fantasia"|"Wang Jianmin"|3|"20120913205844"|"AA00003"|""|"MUSIC AUDITION-TOP SCHOOLS WEEKEND 2012"
"S009695"|""|"Music Audition"|"Viola & Guzheng (Chinese zither)"|""|"N/A"|""|"Guzheng- Central Conservatory of Music G9 [pass] Jul 2006"|""|""|3|"20120913210411"|"AA00003"|""|"MUSIC AUDITION-TOP SCHOOLS WEEKEND 2012"
"S009695"|""|"Music Audition"|"Violin & Guzheng (Chinese zither)"|""|"N/A"|""|"Guzheng- Central Conservatory of Music Diploma [pass] Jul 2012 (Cert to be issued in Oct 2012)"|"Fantasia"|"Wang Jianmin"|3|"20120913210527"|"AA00003"|""|"MUSIC AUDITION-TOP SCHOOLS WEEKEND 2012"
"S009695"|""|"Music Audition"|"Violin & Guzheng (Chinese zither)"|""|"N/A"|""|"Guzheng- Central Conservatory of Music Diploma [pass] Jul 2012 (Cert to be issued in Oct 2012)"|""|""|3|"20120913210641"|"AA00003"|""|"MUSIC AUDITION-TOP SCHOOLS WEEKEND 2012"
"S009695"|""|"Music Audition"|"Violin & Guzheng (Chinese zither)"|""|"N/A"|""|"Guzheng- Central Conservatory of Music Diploma [pass] Jul 2012 (Cert to be issued in Oct 2012)"|"Violin- Concerto in E Major, BWV 1042, 1st Movement"|""|3|"20120913210753"|"AA00003"|""|"MUSIC AUDITION-TOP SCHOOLS WEEKEND 2012"
"S009695"|""|"Music Audition"|"Violin"|""|"N/A"|""|"No exam taken"|"Concerto in E Major, BWV 1042, 1st Movement"|"Bach"|3|"20120913202734"|"AA00003"|""|"MUSIC AUDITION-TOP SCHOOLS WEEKEND 2012"
"S009695"|""|"Music Audition"|"Violin & Guzheng (Chinese zither)"|""|"N/A"|""|"Guzheng- Central Conservatory of Music Diploma [pass] Jul 2012 (Cert to be issued in Oct 2012)"|"Violin- Concerto in E Major, BWV 1042, 1st Movement"|"Bach"|3|"20120913210807"|"AA00003"|""|"MUSIC AUDITION-TOP SCHOOLS WEEKEND 2012"
"S009695"|""|"Music Audition"|"Violin & Guzheng (Chinese zither)"|""|"N/A"|""|"Guzheng- Central Conservatory of Music G9 [pass] Jul 2006"|""|""|3|"20120913210541"|"AA00003"|""|"MUSIC AUDITION-TOP SCHOOLS WEEKEND 2012"
"S009695"|""|"Music Audition"|"Violin & Guzheng (Chinese zither)"|""|"N/A"|""|""|""|""|3|"20120913211028"|"AA00003"|""|"MUSIC AUDITION-TOP SCHOOLS WEEKEND 2012"
"S009695"|""|"Music Audition"|"Violin & Guzheng (Chinese zither)"|""|"N/A"|""|"Guzheng- Central Conservatory of Music Diploma [pass] Jul 2012 (Cert to be issued in Oct 2012)"|"Violin- Concerto in E Major, BWV 1042, 1st Movement"|"Bach"|3|"20120913211019"|"AA00003"|""|"MUSIC AUDITION-TOP SCHOOLS WEEKEND 2012"
"S009695"|""|"Music Audition"|"Violin & Guzheng (Chinese zither)"|""|"N/A"|""|""|"Violin- Concerto in E Major, BWV 1042, 1st Movement"|"Bach"|3|"20120913211234"|"AA00003"|""|"MUSIC AUDITION-TOP SCHOOLS WEEKEND 2012"
"S009695"|""|"Music Audition"|"Violin & Guzheng (Chinese zither)"|""|"N/A"|""|""|"Violin- Concerto in E Major, BWV 1042, 1st Movement / Guzheng- Fantasia"|"Violin- Bach / Guzheng- Wang JianMin"|3|"20120913211435"|"AA00003"|""|"MUSIC AUDITION-TOP SCHOOLS WEEKEND 2012"
"S009695"|""|"Music Audition"|"Violin & Guzheng (Chinese zither)"|""|"N/A"|""|""|"Violin- Concerto in E Major, BWV 1042, 1st Movement / Guzheng- Fantasia"|"Violin- Bach / Guzheng- Wang JianMin"|3|"20120913211524"|"AA00003"|""|"MUSIC AUDITION-TOP SCHOOLS WEEKEND 2012"
"S009695"|""|"Music Audition"|"Violin & Guzheng (Chinese zither)"|""|"N/A"|""|"Violin- No exam taken"|"Violin- Concerto in E Major, BWV 1042, 1st Movement / Guzheng- Fantasia"|"Violin- Bach / Guzheng- Wang JianMin"|3|"20120913211549"|"AA00003"|""|"MUSIC AUDITION-TOP SCHOOLS WEEKEND 2012"
"S009695"|""|"Music Audition"|"Violin & Guzheng (Chinese zither)"|""|"N/A"|""|"Violin- No exam taken"|""|""|3|"20120913211101"|"AA00003"|""|"MUSIC AUDITION-TOP SCHOOLS WEEKEND 2012"
"S009695"|""|"Music Audition"|"Violin & Guzheng (Chinese zither)"|""|"N/A"|""|"Violin- No exam taken"|"Violin- Concerto in E Major, BWV 1042, 1st Movement / Guzheng- Fantasia"|"Violin- Bach / Guzheng- Wang JianMin"|3|"20120913211605"|"AA00003"|""|"MUSIC AUDITION-TOP SCHOOLS WEEKEND 2012"
"S009695"|""|"Music Audition"|"Violin & Guzheng (Chinese zither)"|""|"N/A"|""|"Violin- No exam taken"|"Violin- Concerto in E Major, BWV 1042, 1st Movement / Guzheng- Fantasia"|"Violin- Bach / Guzheng- Wang JianMin"|3|"20120913211733"|"AA00003"|""|"MUSIC AUDITION-TOP SCHOOLS WEEKEND 2012"
"S009695"|""|"Music Audition"|"Violin & Guzheng (Chinese zither)"|""|"N/A"|""|"Guzheng- Central Conservatory of Music Diploma [Pass] Jul 2012"|""|""|3|"20120913212341"|"AA00003"|""|"MUSIC AUDITION-TOP SCHOOLS WEEKEND 2012"
"S009704"|""|"Music Audition"|"Percussion"|""|"N/A"|""|"ABRSM G8 [123] Oct 2011"|"Czardas"|"Monti"|1|"20120913215138"|"AA00003"|""|"MUSIC AUDITION-TOP SCHOOLS WEEKEND 2012"
"S005378"|""|"Music Audition"|"Oboe"|""|"N/A"|""|"ABRSM G6 [mark sheet misplaced] 2011"|"Oboe Sonata 1st Movement"|"Saint-Saëns"|1|"20120913191418"|"AA00003"|""|"MUSIC AUDITION-TOP SCHOOLS WEEKEND 2012"
"S007907"|""|"Music Audition"|"Piano"|""|"N/A"|""|"ABRSM G8 [140] Oct 2007"|"Sonate KV 310 2nd Movement"|"Mozart"|1|"20120908193353"|"AA00003"|""|"MUSIC AUDITION-TOP SCHOOLS WEEKEND 2012"
"S007907"|""|"Music Audition"|"Piano"|""|"N/A"|""|"Trinity ATCL [93] May 2011"|"Rondo aapriccioso Op.14"|"Mendelssohn-Bartholdy"|1|"20120908193821"|"AA00003"|"Programme for Musically Gifted"|"MUSIC AUDITION-TOP SCHOOLS WEEKEND 2012"
"S007907"|""|"Music Audition"|"Violin"|""|"N/A"|""|"ABRSM G8 exam to be taken in Oct 2012"|"Sonata in G major Op.13 3rd Movement"|"Edvard Grieg"|2|"20120908193727"|"AA00003"|""|"MUSIC AUDITION-TOP SCHOOLS WEEKEND 2012"
"S010006"|""|"Music Audition"|"Violin"|""|"N/A"|""|"ABRSM G8 [137] Oct 2010"|"Czardas"|"Monti"|1|"20120916185428"|"AA00003"|""|"MUSIC AUDITION-TOP SCHOOLS WEEKEND 2012"
"S010006"|""|"Music Audition"|"Violin"|""|"N/A"|""|"Trinity LTCL [75] Oct 2011"|"Preludium and Allegro"|"Kreisler"|1|"20120916185433"|"AA00003"|"Member of Dr Yip's
Member of APA"|"MUSIC AUDITION-TOP SCHOOLS WEEKEND 2012"
"S010101"|""|"Music Audition"|"Violin"|""|"N/A"|""|"ABRSM G8 [113] May 2012"|"Concerto in E major Op.3 No.12 1st Movement"|"Antonio Vivaldi"|1|"20120916190002"|"AA00003"|""|"MUSIC AUDITION-TOP SCHOOLS WEEKEND 2012"
"S009625"|""|"Music Audition"|"Piano"|""|"N/A"|""|"Trinity ATCL [93] Nov 2010"|"Impromptu in B-flat D.935 3rd Movement"|"Schubert"|1|"20120916191720"|"AA00003"|""|"MUSIC AUDITION-TOP SCHOOLS WEEKEND 2012"
"S009625"|""|"Music Audition"|"Piano"|""|"N/A"|""|"Trinity ATCL [93] Nov 2010"|"Impromptu in B-flat D.935 3rd Movement"|"Schubert"|1|"20120916192720"|"AA00003"|"Member of Diocesan Girls' School - String Orchestra
Member of Diocesan Girls' School - School Orchestra"|"MUSIC AUDITION-TOP SCHOOLS WEEKEND 2012"
"S006360"|""|"Music Audition"|"Piano"|""|"N/A"|""|"Trinity ATCL [73] Oct 2011"|"Barber Excursions 1 & 3"|"Samuel Barber"|1|"20120916193303"|"AA00003"|""|"MUSIC AUDITION-TOP SCHOOLS WEEKEND 2012"
"S009570"|""|"Music Audition"|"Piano"|""|"N/A"|""|"ABRSM G8 [120] Nov 2011"|"Intermezzo in A major Op.118"|"Brahms"|2|"20120916194405"|"AA00003"|""|"MUSIC AUDITION-TOP SCHOOLS WEEKEND 2012"
"S004683"|""|"Music Audition"|"Flute"|""|"N/A"|""|"ABRSM G8 [110] Oct 2011"|"Sonata for Flute and Obbligato Harpsichord BWV 1030 - Presto"|"Bach"|1|"20120916195141"|"AA00003"|""|"MUSIC AUDITION-TOP SCHOOLS WEEKEND 2012"
"S004683"|""|"Music Audition"|"Flute"|""|"N/A"|""|"ABRSM G8 [110] Oct 2011"|"Sonata for Flute and Obbligato Harpsichord BWV 1030 - Presto"|"Bach"|1|"20120916195735"|"AA00003"|"Member of OSMA"|"MUSIC AUDITION-TOP SCHOOLS WEEKEND 2012"
"S009640"|""|"Music Audition"|"Trombone"|""|"N/A"|""|"ABRSM G8 [136] Sep 2009"|"Concerto for Trombone (arr. & ed Christopher Mowat)"|"Rimsky-Korsakov"|1|"20120916214147"|"AA00003"|""|"MUSIC AUDITION-TOP SCHOOLS WEEKEND 2012"
"S009640"|""|"Music Audition"|"Euphonium"|""|"N/A"|""|"ABRSM G7 [112] Apr 2010"|""|""|2|"20120916214418"|"AA00003"|""|"MUSIC AUDITION-TOP SCHOOLS WEEKEND 2012"
"S008171"|"testing"|"Music Audition"|"Violin"|""|"N/A"|""|"ABRSM G7 [121] Sep 2009"|"Légende"|"Henryk Wieniawski"|1|"20120830212112"|""|""|"MUSIC AUDITION-TOP SCHOOLS WEEKEND 2012"
"S008171"|"testing"|"Music Audition"|"Violin"|""|"N/A"|""|"ABRSM G8 [127] May 2011"|"Sonate Opus 24 1st Movement"|"Ludwig van Beethoven"|1|"20120830214937"|""|""|"MUSIC AUDITION-TOP SCHOOLS WEEKEND 2012"
"S008171"|"testing"|"Music Audition"|"Violin"|""|"N/A"|""|"ABRSM G7 [121] Sep 2009"|"Légende"|"Henryk Wieniawski"|1|"20120916215748"|"AA00003"|""|"MUSIC AUDITION-TOP SCHOOLS WEEKEND 2012"
"S008171"|"testing"|"Music Audition"|"Violin"|""|"N/A"|""|"ABRSM G7 [121] Sep 2009"|"Melodies 2nd Movement"|"Sergey Prokofiev"|1|"20120916215909"|"AA00003"|""|"MUSIC AUDITION-TOP SCHOOLS WEEKEND 2012"
"S040680"|""|"Music Audition"|"Piano"|""|"N/A"|""|"ABRSM Grade 5 [141]"|""|""|2|"20210906163023"|"AA00032"|""|"MUSIC AUDITION-TOP SCHOOLS WEEKEND 2021"
"S008171"|"testing"|"Music Audition"|"Violin"|""|"N/A"|""|"ABRSM G8 [127] May 2011"|"Sonate Opus 24 1st Movement"|"Beethoven"|1|"20120916215803"|"AA00003"|""|"MUSIC AUDITION-TOP SCHOOLS WEEKEND 2012"
"S008171"|"testing"|"Music Audition"|"Piano"|""|"N/A"|""|"Trinity ATCL [61] Apr 2011"|"Intermezzo"|"Johannes Brahms"|2|"20120830215730"|""|""|"MUSIC AUDITION-TOP SCHOOLS WEEKEND 2012"
"S008171"|"testing"|"Music Audition"|"Piano"|""|"N/A"|""|"ABRSM G8 [124] Oct 2009"|""|""|2|"20120830215730"|""|""|"MUSIC AUDITION-TOP SCHOOLS WEEKEND 2012"
"S006827"|""|"Music Audition"|"Piano"|""|"N/A"|""|"ABRSM G8 [133] Apr 2011"|"Sonata in C minor Op.13 1st Movement"|"Beethoven"|2|"20120916220943"|"AA00003"|""|"MUSIC AUDITION-TOP SCHOOLS WEEKEND 2012"
"S006827"|""|"Music Audition"|"Violin"|""|"N/A"|""|"Trinity LTCL [95] May 2012"|"Sonata for Piano and Violin in A major 4th Movement"|"César Franck"|1|"20120916220654"|"AA00003"|""|"MUSIC AUDITION-TOP SCHOOLS WEEKEND 2012"
"S002666"|""|"Music Audition"|"Vocal"|""|"N/A"|""|"N/A (please refer to the attached singing certificate)"|"Caro Mio Ben Thou All My Bliss Arietta"|"Giordanello"|2|"20120916222252"|"AA00003"|""|"MUSIC AUDITION-TOP SCHOOLS WEEKEND 2012"
"S002666"|""|"Music Audition"|"French Horn"|""|"N/A"|""|"ABRSM G5 [mark sheet misplaced] 2012"|"March of the Gimps Gnomemarsh Marche des bioreux"|"Richard Bissill"|1|"20120916221937"|"AA00003"|""|"MUSIC AUDITION-TOP SCHOOLS WEEKEND 2012"
"S009810"|""|"Music Audition"|"Violin"|""|"N/A"|""|"ABRSM G8 [120] Nov 2010"|"Cavatina from ""Six Morceaux"""|"Joseph Joachim Raff"|1|"20120916223209"|"AA00003"|""|"MUSIC AUDITION-TOP SCHOOLS WEEKEND 2012"
"S009685"|""|"Music Audition"|"Piano"|""|"N/A"|""|"Please refer to the attached certificates"|"Variations Brillantes in B-Dur Op.12"|"Chopin"|1|"20120916224515"|"AA00003"|""|"MUSIC AUDITION-TOP SCHOOLS WEEKEND 2012"
"S009647"|""|"Music Audition"|"Piano"|""|"N/A"|""|"ABRSM G6 [126] Oct 2010"|"Concerto in E major Op.3 No.12 1st Movement"|"Antonio Vivaldi"|2|"20120916230216"|"AA00003"|""|"MUSIC AUDITION-TOP SCHOOLS WEEKEND 2012"
"S009647"|""|"Music Audition"|"Violin"|""|"N/A"|""|"ABRSM G8 [113] Oct 2011"|"Sonata in D, K.284/205b 1st Movement"|"Mozart"|1|"20120916225933"|"AA00003"|""|"MUSIC AUDITION-TOP SCHOOLS WEEKEND 2012"
"S009793"|""|"Music Audition"|"Percussion"|""|"N/A"|""|"DipABRSM [75] May 2011"|"Yellow After The Rain (Solo Marimba piece)"|"Mitchell Peters"|1|"20120916230918"|"AA00003"|""|"MUSIC AUDITION-TOP SCHOOLS WEEKEND 2012"
"S009954"|""|"Music Audition"|"Cello"|""|"N/A"|""|"Trinity ATCL [87] May 2012"|"Concerto C major 1st Movement"|"Haydn"|1|"20120916235655"|"AA00003"|""|"MUSIC AUDITION-TOP SCHOOLS WEEKEND 2012"
"S007538"|""|"Music Audition"|"Piano"|""|"N/A"|""|"ABRSM G6 [113] Apr 2009"|"Sonata in C K.545 1st Movement"|"Mozart"|2|"20120917001241"|"AA00003"|""|"MUSIC AUDITION-TOP SCHOOLS WEEKEND 2012"
"S006132"|""|"Music Audition"|"Vocal"|""|"N/A"|""|"N/A"|"When daisies pied"|"Thomas Arne"|2|"20120918222412"|"AA00003"|""|"MUSIC AUDITION-TOP SCHOOLS WEEKEND 2012"
"S003935"|""|"Music Audition"|"Piano"|""|"N/A"|""|"Trinity ATCL [86] Nov 2010"|"Chopin"|"Scherzo No.2"|1|"20120908211653"|"AA00003"|"Member of Diocesan Boys' School Senior Choir (member and accompanist)
Member of Diocesan Boys' School and Diocesan Girls' School Senior Mixed Choir (member and accompanist)"|"MUSIC AUDITION-TOP SCHOOLS WEEKEND 2012"
"S009576"|""|"Music Audition"|"Violin"|""|"N/A"|""|"ABRSM G5 [122] Aug 2009"|"Sonata No.1 in B minor, BWV 1014 4th Movement"|"Bach"|1|"20120908210125"|"AA00003"|""|"MUSIC AUDITION-TOP SCHOOLS WEEKEND 2012"
"S006132"|""|"Music Audition"|"Vocal"|""|"N/A"|""|""|"When daisies pied"|"J. Michael Diack"|2|"20120908204416"|"AA00003"|""|"MUSIC AUDITION-TOP SCHOOLS WEEKEND 2012"
"S006132"|""|"Music Audition"|"Alto Saxophone"|""|"N/A"|""|"Trinity ATCL [65] May 2012"|"Histoires pour Saxophone et Piano 1st, 2nd, 6th, 7th, 8th & 9th Movement"|"Jacques Ibert"|1|"20120908204522"|"AA00003"|"Member of School Band
Member of School Treble Choir"|"MUSIC AUDITION-TOP SCHOOLS WEEKEND 2012"
"S007907"|""|"Music Audition"|"Piano"|""|"N/A"|""|"Trinity ATCL [93] May 2011"|"Rondo aapriccioso Op.14"|"Mendelssohn-Bartholdy"|1|"20120916170824"|"AA00003"|"Programme for Musically Gifted"|"MUSIC AUDITION-TOP SCHOOLS WEEKEND 2012"
"S010006"|""|"Music Audition"|"Violin"|""|"N/A"|""|"Trinity LTCL [75] Oct 2011"|"Preludium and Allegro"|"Kreisler"|1|"20120916185613"|"AA00003"|"Member of Dr Yip's
Member of APA"|"MUSIC AUDITION-TOP SCHOOLS WEEKEND 2012"
