"topschool_id"|"topschoolname"|"topschoolstartdate"|"topschoolenddate"|"topschoollocation"|"starttime"|"endtime"|"duration"|"lastupdate"|"staffid"|"remarks"
24|"TOP SCHOOLS WEEKEND 2019 (Monday)"|"20190923"|"20190923"|"INTERVIEW VENUE: Academic Asia, 14/F, China Taiping Tower Phase II, 8 Sunning Road, Causeway Bay, HK
面試地點： Academic Asia, 香港銅鑼灣新寧道8號中國太平大廈2期14樓"|"083000"|"200000"|15|"20200922151529"|"AA00079"|"On the day of interview/s, please report to 14/F for registration and submit a recent passport-size photo to the interviewer of each school. Please put your name at the back of the photo. The duration of the interview is 15 mins.  面試當日，請到14樓登記及親身遞交一張近照給學校代表（護照尺寸），請在相片後面寫上學生名字。面試為15分鐘。
*Exam dates are for your reference, shortlisted students will be invited to register with the schools after the interviews and attend their own entrance exam. If exam dates are clashed, we will make separate arrangements. 考試日期只供參考，面試成功的學生將獲邀報名及應考學校的入學試。如入學試日期相同，我們將另行安排。
Result of the interviews will be announced online, the login ID and password will be given on the day of interview. 面試結果將於網上公佈，面試當日，學生將收到信件內附有登入賬號和密碼。"
28|"TOP SCHOOLS WEEKEND 2026"|"20260919"|"20260921"|"TBC"|"093000"|"183000"|0|"20200815150759"|"AA00079"|""
29|"TOP SCHOOLS WEEKEND 2027"|"20270918"|"20270920"|"TBC"|"093000"|"183000"|0|"20200815150844"|"AA00079"|""
30|"TOP SCHOOLS WEEKEND 2028"|"20280923"|"20280925"|"TBC"|"093000"|"183000"|0|"20200815150938"|"AA00079"|""
31|"TOP SCHOOLS WEEKEND 2029"|"20290922"|"20290922"|"TBC"|"093000"|"183000"|0|"20200815153932"|"AA00079"|""
32|"TOP SCHOOLS WEEKEND 2030"|"20300921"|"20300923"|"TBC"|"093000"|"183000"|0|"20200815155740"|"AA00079"|""
18|"TOP SCHOOLS WEEKEND 2019"|"20190921"|"20190922"|"INTERVIEW VENUE: Level 26-28, The Park Lane Hotel, 310 Gloucester Road, Causeway Bay, Hong Kong
面試地點：香港銅鑼灣告士打道310號 香港栢寧酒店 26-28樓"|"083000"|"200000"|15|"20200922151510"|"AA00079"|"On the day of interview/s, please report to 27/F for registration and submit a recent passport-size photo to the interviewer of each school. Please put your name at the back of the photo.The duration of the interview is 15 mins. For student attending music audition, the duration is 30 mins.  面試當日，請到27樓登記及親身遞交一張近照給學校代表（護照尺寸），請在相片後面寫上學生名字。面試為15分鐘, 音樂獎學金試奏為30分鐘。
*Exam dates are for your reference, shortlisted students will be invited to register with the schools after the interviews and attend their own entrance exam. If exam dates are clashed, we will make separate arrangements. 考試日期只供參考，面試成功的學生將獲邀報名及應考學校的入學試。如入學試日期相同，我們將另行安排。
Result of the interviews will be announced online, the login ID and password will be given on the day of interview. 面試結果將於網上公佈，面試當日，學生將收到信件內附有登入賬號和密碼。"
16|"TOP SCHOOLS WEEKEND 2016 SATURDAY INTERVIEW IN AA OFFICE"|"20160917"|"20160917"|"INTERVIEW VENUE: 14/F, China Taiping Tower Phase II, 8 Sunning Road, Causeway Bay, Hong Kong
面試地點：香港銅鑼灣新寧道8號中國太平大廈2期14樓"|"160000"|"201500"|15|"20160904115822"|""|"On the day of interview/s, please submit a recent passport-size photo to the interviewer of each school. Don’t forget to put your name at the back of the photo. 面試當日，請親身遞交一張近照給學校代表（護照尺寸），請在相片後面寫上學生名字。
*Exam dates are for your reference, shortlisted students will be invited to register with the schools after the interviews and attend their own entrance exam. If exam dates are clashed, we will make separate arrangements. 考試日期只供參考，面試成功的學生將獲邀註冊及應考學校的入學試。如入學試日期相同，我們將另行安排。
Result of the interviews will be announced online, students will be given a letter with the login ID and password when they attend the interview/s in September 2016. 面試結果將於網上公佈，面試當日，學生將收到信件內附有登入賬號和密碼。"
5|"TOP SCHOOLS WEEKEND 2012 TUESDAY"|"20120925"|"20120925"|"Room 2007-9, Hang Lung Centre, 2-20 Paterson Street, Causeway Bay, Hong Kong"|"093000"|"130000"|15|"20120918184950"|""|"On the day of interview/s, please submit a recent passport-size photo to the interviewer of each school, don't forget to put your name at the back of the photo.
面試當日，請親身遞交一張近照給學校代表(護照尺寸)，請在相片後面寫上學生名字。"
14|"TOP SCHOOLS WEEKEND 2017"|"20170923"|"20170925"|"INTERVIEW VENUE: 2/F & 3/F, The Excelsior Hotel, 281 Gloucester Road, Causeway Bay, Hong Kong 
面試地點：香港銅鑼灣告士打道 281 號,怡東酒店2 及3樓"|"093000"|"183000"|15|"20190925162324"|"AA00079"|"On the day of interview/s, please report to 3/F for registration and submit a recent passport-size photo to the interviewer of each school. Don’t forget to put your name at the back of the photo. 面試當日，請到3樓登記及親身遞交一張近照給學校代表（護照尺寸），請在相片後面寫上學生名字。
*Exam dates are for your reference, shortlisted students will be invited to register with the schools after the interviews and attend their own entrance exam. If exam dates are clashed, we will make separate arrangements. 考試日期只供參考，面試成功的學生將獲邀報名及應考學校的入學試。如入學試日期相同，我們將另行安排。
Result of the interviews will be announced online, students will be given a letter with the login ID and password when they attend the interview/s in September 2017. 面試結果將於網上公佈，面試當日，學生將收到信件內附有登入賬號和密碼。"
21|"TOP SCHOOLS WEEKEND 2017 TUESDAY"|"20170926"|"20170926"|"INTERVIEW VENUE: 14/F, China Taiping Tower Phase II, 8 Sunning Road, Causeway Bay, Hong Kong
面試地點：香港銅鑼灣新寧道8號中國太平大廈2期14樓"|"090000"|"144500"|15|"20190925162339"|"AA00079"|"On the day of interview/s, please submit a recent passport-size photo to the interviewer of each school. Don’t forget to put your name at the back of the photo. 面試當日，請親身遞交一張近照給學校代表（護照尺寸），請在相片後面寫上學生名字。
*Exam dates are for your reference, shortlisted students will be invited to register with the schools after the interviews and attend their own entrance exam. If exam dates are clashed, we will make separate arrangements. 考試日期只供參考，面試成功的學生將獲邀註冊及應考學校的入學試。如入學試日期相同，我們將另行安排。
Result of the interviews will be announced online, students will be given a letter with the login ID and password when they attend the interview/s in September 2017. 面試結果將於網上公佈，面試當日，學生將收到信件內附有登入賬號和密碼。"
11|"TOP SCHOOLS WEEKEND 2014 TUESDAY"|"20140930"|"20140930"|"INTERVIEW VENUE: 14/F, China Taiping Tower Phase II, 8 Sunning Road, Causeway Bay, Hong Kong
面試地點：香港銅鑼灣新寧道8號中國太平大廈2期14樓"|"093000"|"133000"|15|"20140925111656"|"AA00003"|"On the day of interview/s, please submit a recent passport-size photo to the interviewer of each school. Don’t forget to put your name at the back of the photo. 面試當日，請親身遞交一張近照給學校代表（護照尺寸），請在相片後面寫上學生名字。
*Exam dates are for your reference, shortlisted students will be invited to register with the schools after the interviews and attend their own entrance exam. If exam dates are clashed, we will make separate arrangements. 考試日期只供參考，面試成功的學生將獲邀註冊及應考學校的入學試。如入學試日期相同，我們將另行安排。
Result of the interviews will be announced online, students will be given a letter with the login ID and password when they attend the interview/s in September 2014. 面試結果將於網上公佈，面試當日，學生將收到信件內附有登入賬號和密碼。"
12|"TOP SCHOOLS WEEKEND 2014 WEDNESDAY"|"20141001"|"20141001"|"INTERVIEW VENUE: 14/F, China Taiping Tower Phase II, 8 Sunning Road, Causeway Bay, Hong Kong
面試地點：香港銅鑼灣新寧道8號中國太平大廈2期14樓"|"154500"|"181500"|15|"20140925111706"|"AA00003"|"On the day of interview/s, please submit a recent passport-size photo to the interviewer of each school. Don’t forget to put your name at the back of the photo. 面試當日，請親身遞交一張近照給學校代表（護照尺寸），請在相片後面寫上學生名字。
*Exam dates are for your reference, shortlisted students will be invited to register with the schools after the interviews and attend their own entrance exam. If exam dates are clashed, we will make separate arrangements. 考試日期只供參考，面試成功的學生將獲邀註冊及應考學校的入學試。如入學試日期相同，我們將另行安排。
Result of the interviews will be announced online, students will be given a letter with the login ID and password when they attend the interview/s in September 2014. 面試結果將於網上公佈，面試當日，學生將收到信件內附有登入賬號和密碼。"
9|"TOP SCHOOLS WEEKEND 2016"|"20160917"|"20160919"|"INTERVIEW VENUE: 3/F, The Excelsior Hotel, 281 Gloucester Road, Causeway Bay, Hong Kong
面試地點：香港銅鑼灣告士打道 281 號,怡東酒店3樓"|"093000"|"183000"|15|"20160904114710"|"AA00007"|"On the day of interview/s, please submit a recent passport-size photo to the interviewer of each school. Don’t forget to put your name at the back of the photo. 面試當日，請親身遞交一張近照給學校代表（護照尺寸），請在相片後面寫上學生名字。
*Exam dates are for your reference, shortlisted students will be invited to register with the schools after the interviews and attend their own entrance exam. If exam dates are clashed, we will make separate arrangements. 考試日期只供參考，面試成功的學生將獲邀註冊及應考學校的入學試。如入學試日期相同，我們將另行安排。
Result of the interviews will be announced online, students will be given a letter with the login ID and password when they attend the interview/s in September 2016. 面試結果將於網上公佈，面試當日，學生將收到信件內附有登入賬號和密碼。"
