"topschool_id"|"school_id"|"lastupdate"|"staffid"|"remarks"|"eventremarks"|"regfee"|"payableto"
4|1|"20120630155733"|""|""|""|""|""
4|21|"20120630155747"|""|""|""|""|""
4|4|"20120630155830"|""|""|""|""|""
4|3|"20120630155853"|""|""|""|""|""
4|16|"20120630155908"|""|""|""|""|""
4|6|"20120630155928"|""|""|""|""|""
4|7|"20120630155937"|""|""|""|""|""
4|533|"20120630155954"|""|""|""|""|""
4|9|"20120630160006"|""|""|""|""|""
4|11|"20120630160015"|""|""|""|""|""
4|12|"20120630160025"|""|""|""|""|""
4|22|"20120630160033"|""|""|""|""|""
4|13|"20120630160050"|""|""|""|""|""
5|4|"20120911162408"|"AA00003"|""|""|""|""
6|2|"20130927095637"|""|"* Complete the Registration Form and return to Academic Asia with the Reg Fee. The Reg Fee can be paid either by bankers draft or sterling pound cheque.
* Please also submit a copy of your daughter's birth certificate with the Reg Form.
* Please note that after you have registered, Badminton School will write to your present school to ask for a reference, please inform your present school."|""|"GBP100"|"Badminton School Limited"
6|3|"20130927095652"|""|"* Complete the Registration Form and return to Academic Asia with the Reg Fee. The Reg Fee can be paid either by bankers draft or sterling pound cheque.
* Please also submit a copy of your child's passport with the Reg Form.
* Photo is needed for completing the Reg Form."|""|"GBP100"|"Bromsgrove School"
6|1|"20130927112710"|""|"* Complete the Registration Form and return to Academic Asia with the Reg Fee. The Reg Fee can be paid either by bankers draft or sterling pound cheque.
* Photo is needed for completing the Reg Form."|""|"GBP175"|"Abingdon School"
6|6|"20130927124802"|""|"The result is for your reference. The Application Procedure has been completed over the last few days. Good Luck to your exam this Sunday."|""|"GBP225"|"Harrow School General Fund"
6|533|"20130927095740"|""|"* Complete the Registration Form and return to Academic Asia with the Reg Fee. The Reg Fee can be paid either by bankers draft or sterling pound cheque."|""|"GBP100"|"The King’s School"
6|9|"20130927095748"|""|"* Complete the Registration Form and return to Academic Asia with the Reg Fee. The Reg Fee can be paid either by bankers draft or sterling pound cheque."|""|"GBP190"|"Lancing College"
6|11|"20130927095757"|""|"* Complete the Registration Form and return to Academic Asia with the Reg Fee. The Reg Fee can be paid either by bankers draft or sterling pound cheque."|""|"GBP100"|"Shrewsbury School"
6|22|"20130927095812"|""|"* Complete the Registration Form and return to Academic Asia with the Reg Fee. The Reg Fee can be paid either by bankers draft or sterling pound cheque."|""|"GBP125"|"Uppingham School"
6|13|"20130927095820"|""|"* Complete the Registration Form and return to Academic Asia with the Reg Fee. The Reg Fee can be paid either by bankers draft or sterling pound cheque."|""|"GBP60"|"Warwick School"
6|16|"20130927113329"|"AA00019"|"* Complete the Registration Form, Entry Form and Questionnaire and return to Academic Asia with the Reg Fee. The Reg Fee can be paid either by bankers draft or sterling pound cheque.
* For Entry Form: If you will be sitting the examination at your present school, please complete PART A only. If you are sitting the examination with Academic Asia, please take the form to school to complete PART A and leave PART B to us to complete."|""|"GBP150"|"Epsom College"
6|12|"20130927115143"|""|"* Tonbridge School prefers to receive original Reg Form, please go to Academic Asia office to collect a copy for completion.
* After you collect the original Reg Form, please complete the Registration Form and return to Academic Asia with the Reg Fee. The Reg Fee can be paid either by bankers draft or sterling pound cheque."|""|"GBP150"|"Tonbridge School"
6|21|"20130927095645"|""|"* Complete the Registration Form and return to Academic Asia with the Reg Fee. The Reg Fee can be paid either by bankers draft or sterling pound cheque.
* Please also submit a copy of your child's passport and parents business cards with the Reg Form."|""|"GBP350"|"Brighton College"
6|7|"20130927095731"|""|"* Complete the Registration Form and return to Academic Asia with the Reg Fee. The Reg Fee can be paid either by bankers draft or sterling pound cheque.
* Please also submit a copy of your child's birth certificate with the Reg Form.
* Please be reminded that after registration, Headington SchooI will conduct a second interview in HK. The interviewer is Mrs Herrmann, the charge will be HKD1600, please make payment direct to her. The Interview Venue: Island Shangri La Hotel. Time: Weekday mornings. The details will be informed later."|""|"GBP150 (Y5 & 6) / 250 (Y7-12)"|"Headington School"
6|4|"20130927114401"|"AA00002"|"* Complete the Registration Form and return to Academic Asia with the Reg Fee. The Reg Fee can be paid either by bankers draft or sterling pound cheque."|""|"GBP150 (Y9 & Y10)/ 200 (Sixth Form)"|"GBC General"
10|4|"20130927124506"|""|"* Complete the Registration Form and return to Academic Asia with the Reg Fee. The Reg Fee can be paid either by bankers draft or sterling pound cheque."|""|"GBP150 (Y9 & Y10)/ 200 (Sixth)"|"GBC General"
7|11|"20141007113159"|"AA00007"|"* Complete the Registration Form and return to Academic Asia with the Reg Fee. The Reg Fee can be paid either by bankers draft or sterling pound cheque.
* Please ignore the deadline of application (3 Oct 2014) on the application form, the deadline is revised to 10 Oct 2014 Friday."|""|"GBP100"|"Shrewsbury School"
7|3|"20141001125920"|"AA00029"|"The result is for your reference. The Application Procedure has been completed over the last few days. Good Luck to your exam this Sunday."|""|"GBP100"|"Bromsgrove School"
